,Wages ;  New South Wales ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Victoria ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Queensland ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  South Australia ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Western Australia ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Tasmania ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Northern Territory ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Australian Capital Territory ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Total (State) ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  New South Wales ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Victoria ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Queensland ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  South Australia ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Western Australia ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Tasmania ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Northern Territory ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Australian Capital Territory ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Total (State) ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  New South Wales ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Victoria ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Queensland ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  South Australia ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Western Australia ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Tasmania ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Northern Territory ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Australian Capital Territory ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Wages ;  Total (State) ;  Total (Industry) ;  Current Price ;  TOTAL (SCP_SCOPE) ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001,Mar-2001
Series End,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018
No. Obs,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Series ID,A3531131C,A3531135L,A3531139W,A3531143L,A3531147W,A3531151L,A3531155W,A3531159F,A3531227W,A3531163W,A3531167F,A3531171W,A3531175F,A3531179R,A3531183F,A3531187R,A3531191F,A3531235W,A3531195R,A3531199X,A3531203C,A3531207L,A3531211C,A3531215L,A3531219W,A3531223L,A3531243W
Mar-2001,21495,14304,8379,3721,5104,997,441,844,55287,22104,14842,8794,3843,5236,1044,459,875,57070,22224,14843,8867,3816,5203,901,456,874,57263
