Australian Bureau of Statistics

"2011 Census - Household Income and Expenditure"
"Family Household Composition (Dwelling) (HCFMD) by Local Government Areas (2011 Boundaries) by Total Household Income (weekly) (HIND) and Mortgage Repayments (monthly) Ranges (MRERD)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

" One family household: Couple family with no children"
"Total Household Income (weekly) (HIND)","Negative Income",,,,,,,,,,,,,,,,,,,,,"Nil Income",,,,,,,,,,,,,,,,,,,,,"$1-$199 ($1-$10,399)",,,,,,,,,,,,,,,,,,,,,"$200-$299 ($10,400-$15,599)",,,,,,,,,,,,,,,,,,,,,"$300-$399 ($15,600-$20,799)",,,,,,,,,,,,,,,,,,,,,"$400-$599 ($20,800-$31,199)",,,,,,,,,,,,,,,,,,,,,"$600-$799 ($31,200-$41,599)",,,,,,,,,,,,,,,,,,,,,"$800-$999 ($41,600-$51,999)",,,,,,,,,,,,,,,,,,,,,"$1,000-$1,249 ($52,000-$64,999)",,,,,,,,,,,,,,,,,,,,,"$1,250-$1,499 ($65,000-$77,999)",,,,,,,,,,,,,,,,,,,,,"$1,500-$1,999 ($78,000-$103,999)",,,,,,,,,,,,,,,,,,,,,"$2,000-$2,499 ($104,000-$129,999)",,,,,,,,,,,,,,,,,,,,,"$2,500-$2,999 ($130,000-$155,999)",,,,,,,,,,,,,,,,,,,,,"$3,000-$3,499 ($156,000-$181,999)",,,,,,,,,,,,,,,,,,,,,"$3,500-$3,999 ($182,000-$207,999)",,,,,,,,,,,,,,,,,,,,,"$4,000-$4,999 ($208,000-$259,999)",,,,,,,,,,,,,,,,,,,,,"$5,000 or more ($260,000 or more)",,,,,,,,,,,,,,,,,,,,,"Partial income stated",,,,,,,,,,,,,,,,,,,,,"All incomes not stated",,,,,,,,,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,
"Mortgage Repayments (monthly) Ranges (MRERD)","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable",
"Local Government Areas (2011 Boundaries)",
"Albury (C)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,6,4,7,6,5,3,0,0,0,0,0,0,0,0,0,0,4,601,0,0,3,3,4,5,9,4,9,3,6,0,0,0,0,0,0,0,0,3,445,3,3,4,7,7,9,14,13,14,3,4,0,9,4,0,0,0,0,0,3,424,0,0,3,7,3,3,16,19,22,11,16,3,4,0,0,0,0,3,0,0,290,4,0,0,5,4,6,14,14,27,10,13,13,12,0,0,3,0,0,0,5,263,4,4,3,4,5,13,13,34,45,53,43,23,26,3,3,11,8,0,0,15,346,0,0,0,3,4,11,10,20,31,28,43,26,17,9,10,18,14,0,4,15,268,0,0,0,0,0,3,9,3,12,18,13,11,14,7,5,14,3,3,0,4,124,0,0,0,3,3,3,4,6,11,5,11,11,14,9,0,4,3,3,3,0,91,0,0,0,0,0,0,0,0,3,4,3,0,3,3,0,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,29,6,5,0,3,5,11,5,3,15,11,14,4,8,6,0,3,8,3,0,7,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13,20,47,35,78,104,127,191,156,186,96,99,49,25,60,48,22,10,71,3372,
"Armidale Dumaresq (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,256,3,0,0,3,0,8,4,3,0,3,0,0,0,0,0,0,0,0,0,3,225,0,0,0,6,3,3,4,0,3,9,0,0,0,0,0,0,0,0,0,0,228,3,0,0,0,0,0,6,13,3,0,7,0,3,0,0,0,0,0,0,0,153,0,0,0,3,0,4,3,7,11,8,7,0,0,0,0,0,0,0,0,0,124,0,0,0,4,0,13,11,14,9,18,9,12,9,0,4,0,3,0,0,3,180,0,0,0,0,6,3,7,7,3,7,9,7,14,4,3,3,6,5,0,0,145,3,0,0,3,0,0,0,6,3,5,3,3,0,3,3,3,3,0,0,0,78,0,0,0,0,5,3,3,3,3,4,3,3,7,0,0,5,0,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,5,0,0,3,0,4,0,6,6,0,5,4,4,0,0,0,3,3,3,6,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,3,25,19,37,39,59,50,56,58,28,43,12,13,18,25,11,3,26,1732,
"Ashfield (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,241,0,0,3,0,3,0,0,0,5,0,0,3,5,3,0,0,3,0,0,0,227,0,0,0,0,3,0,0,3,5,4,0,0,3,4,0,6,4,0,0,0,188,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,4,0,0,0,236,0,0,0,0,0,3,6,3,4,0,4,5,9,3,3,11,7,4,0,0,321,4,5,0,0,0,0,3,14,0,6,8,11,18,6,8,10,29,4,3,3,336,3,3,0,0,0,3,0,3,5,3,10,5,7,12,8,17,12,8,4,4,198,0,0,3,0,0,0,3,5,3,4,6,10,11,6,9,13,28,7,7,3,149,0,0,0,0,0,0,3,3,0,0,0,3,5,6,4,10,14,6,4,0,70,0,0,0,0,0,3,4,0,3,0,0,0,9,3,5,3,13,9,9,0,48,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,15,12,15,0,46,0,0,0,0,0,0,3,5,3,5,3,0,8,0,0,5,10,0,0,3,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,11,9,10,18,23,41,37,35,42,45,83,44,46,81,140,50,40,25,2801,
"Auburn (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,66,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,87,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,35,5,0,3,5,3,7,5,5,6,3,5,3,8,0,0,0,0,0,0,9,539,3,0,0,0,0,3,4,4,3,4,6,4,4,0,0,3,0,0,0,0,363,4,0,0,3,0,5,4,4,9,12,6,4,10,0,3,4,0,0,0,3,285,0,0,0,3,0,0,5,3,5,9,9,9,5,0,0,3,0,0,0,0,216,3,0,0,3,3,0,3,5,8,7,9,6,13,6,3,5,14,5,3,3,215,0,0,0,3,3,5,5,4,6,17,8,11,15,10,8,22,12,3,3,0,294,0,0,0,0,3,3,4,3,6,16,15,12,36,15,18,26,21,6,3,8,266,3,0,0,3,0,0,0,3,4,4,9,4,17,11,8,17,21,12,4,6,148,0,0,0,0,0,0,0,0,3,9,11,4,8,7,12,24,45,9,3,3,117,0,0,0,0,0,3,0,0,0,0,3,3,11,3,0,9,21,4,4,0,41,0,0,0,0,0,0,0,0,0,3,4,0,4,5,4,10,6,3,3,0,39,0,0,0,0,0,0,0,0,0,0,3,0,7,5,5,0,11,4,0,4,32,0,0,0,3,3,0,3,5,3,3,11,6,6,0,7,4,13,5,3,9,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,12,24,15,35,43,53,71,94,90,72,145,63,75,130,181,69,38,53,3064,
"Ballina (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,4,4,3,12,0,3,3,0,3,3,0,0,3,0,0,0,3,670,4,0,0,0,4,4,5,7,3,0,3,4,3,0,0,0,0,0,0,4,622,9,0,0,0,0,8,3,7,6,9,4,7,4,3,0,0,7,0,0,13,605,8,0,7,5,0,6,7,12,9,9,13,9,4,0,0,3,3,3,0,0,308,4,7,0,4,0,0,10,7,10,7,10,5,8,0,3,3,7,7,0,4,297,0,0,3,7,4,5,11,10,13,11,15,11,19,6,3,14,18,3,0,3,334,3,0,0,5,3,10,5,12,13,15,18,9,21,10,10,10,15,0,10,4,205,0,0,3,3,0,4,0,3,3,3,3,8,9,3,0,5,10,9,0,6,103,0,0,0,0,0,0,3,6,3,3,5,5,5,4,0,13,16,7,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,21,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,34,0,0,0,0,0,4,5,4,3,3,4,4,3,3,4,8,3,3,7,8,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,10,34,19,40,55,77,75,72,84,61,95,38,24,63,89,31,18,54,3771,
"Balranald (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,4,10,3,11,7,6,3,3,0,0,0,0,0,0,0,7,185,
"Bankstown (C)",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,122,4,0,0,0,0,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,269,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,83,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,112,14,0,7,5,9,6,5,8,9,9,10,7,8,6,0,4,0,0,0,15,2044,3,0,4,9,3,5,3,10,7,3,9,6,11,3,6,4,4,0,0,6,1182,12,0,0,3,6,7,9,13,10,15,19,10,13,6,3,16,8,0,0,9,943,6,3,0,5,4,5,7,12,12,10,20,6,24,7,5,7,10,0,0,10,537,3,0,0,0,7,4,7,8,14,17,19,13,37,11,16,14,21,6,0,13,478,6,3,4,8,3,8,10,18,24,25,39,34,72,19,26,58,46,17,0,14,587,3,0,0,4,4,7,10,14,17,29,41,25,59,40,33,83,110,21,3,11,425,0,0,3,3,4,7,5,10,5,10,13,8,25,14,14,47,55,15,9,10,236,0,3,0,0,0,4,0,4,8,10,8,10,26,14,17,31,67,13,10,3,156,0,0,0,0,3,0,3,0,3,3,3,0,5,3,8,11,25,6,6,0,52,0,0,0,0,3,3,0,0,0,0,10,7,11,3,9,15,10,7,0,0,38,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,14,4,9,3,41,3,0,0,3,0,0,3,4,6,6,15,4,14,9,8,10,12,4,3,13,427,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,4,4,0,0,17,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,11,21,42,41,69,67,118,134,141,207,144,320,134,137,318,393,106,57,137,8042,
"Bathurst Regional (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,0,0,6,7,6,4,5,0,0,3,0,0,0,0,0,0,0,0,0,462,3,3,3,5,5,3,9,7,3,0,0,0,0,0,0,0,0,0,0,4,336,3,0,0,0,0,4,3,10,4,9,3,0,9,0,0,0,3,0,0,0,327,0,0,0,3,3,4,5,6,5,6,11,0,3,0,0,4,3,0,0,3,221,0,0,0,3,0,3,3,10,15,7,12,3,10,7,0,5,0,0,0,8,190,3,6,0,4,5,9,16,7,20,21,29,22,15,5,3,8,4,3,3,7,274,0,0,0,3,5,7,9,19,19,19,26,24,30,17,5,17,10,4,3,6,202,0,0,0,0,0,0,4,9,7,8,16,8,18,10,6,14,18,0,0,6,116,0,0,0,0,4,0,0,4,6,11,8,13,10,8,5,6,12,0,3,4,88,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,4,0,0,0,0,21,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,0,5,3,4,3,16,6,8,3,3,3,0,3,0,4,0,8,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,10,25,27,42,58,76,91,107,129,78,111,50,25,62,58,15,13,64,2585,
"Bega Valley (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,13,3,3,8,9,8,4,5,3,0,0,0,0,0,0,0,0,0,0,13,683,11,0,6,3,6,9,4,15,6,3,5,0,0,0,0,0,3,0,0,4,548,5,0,11,6,4,9,19,8,10,3,6,0,3,0,0,6,3,3,3,9,570,4,0,4,3,12,3,14,12,10,10,13,3,6,3,3,5,0,0,0,8,301,0,0,0,4,3,9,5,15,16,8,11,9,8,3,3,4,6,0,0,7,256,3,0,0,5,3,7,16,9,24,17,21,14,17,10,0,4,10,0,0,10,284,0,0,0,4,0,7,0,4,5,7,8,10,13,9,0,7,4,3,0,9,161,0,0,0,3,0,3,0,0,8,6,5,0,7,4,8,3,8,0,0,0,72,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,4,7,3,0,3,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,6,4,4,9,6,12,5,9,8,9,3,3,0,3,0,0,4,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,14,30,52,47,66,85,85,101,59,81,42,70,38,18,32,51,15,9,72,3433,
"Bellingen (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,4,4,3,0,4,3,3,4,0,0,0,0,0,0,0,0,0,0,205,3,0,0,0,3,4,3,3,3,4,0,0,0,0,0,0,0,0,0,3,181,3,0,0,0,0,7,0,3,3,3,0,0,3,0,0,0,0,0,0,5,96,0,0,0,0,0,0,7,0,3,8,4,0,3,0,0,0,0,0,0,0,76,4,0,0,3,0,3,4,0,6,4,10,7,4,0,0,0,3,3,0,0,87,0,0,0,0,0,0,0,4,0,8,0,3,8,4,0,5,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,4,3,8,3,0,3,0,0,3,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,5,12,17,17,27,24,28,31,22,10,27,7,4,9,14,3,10,18,1227,
