Australian Bureau of Statistics

"2011 Census - Household Income and Expenditure"
"Family Household Composition (Dwelling) (HCFMD) by Local Government Areas (2011 Boundaries) by Total Household Income (weekly) (HIND) and Mortgage Repayments (monthly) Ranges (MRERD)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

" One family household: Couple family with no children"
"Total Household Income (weekly) (HIND)","Negative Income",,,,,,,,,,,,,,,,,,,,,"Nil Income",,,,,,,,,,,,,,,,,,,,,"$1-$199 ($1-$10,399)",,,,,,,,,,,,,,,,,,,,,"$200-$299 ($10,400-$15,599)",,,,,,,,,,,,,,,,,,,,,"$300-$399 ($15,600-$20,799)",,,,,,,,,,,,,,,,,,,,,"$400-$599 ($20,800-$31,199)",,,,,,,,,,,,,,,,,,,,,"$600-$799 ($31,200-$41,599)",,,,,,,,,,,,,,,,,,,,,"$800-$999 ($41,600-$51,999)",,,,,,,,,,,,,,,,,,,,,"$1,000-$1,249 ($52,000-$64,999)",,,,,,,,,,,,,,,,,,,,,"$1,250-$1,499 ($65,000-$77,999)",,,,,,,,,,,,,,,,,,,,,"$1,500-$1,999 ($78,000-$103,999)",,,,,,,,,,,,,,,,,,,,,"$2,000-$2,499 ($104,000-$129,999)",,,,,,,,,,,,,,,,,,,,,"$2,500-$2,999 ($130,000-$155,999)",,,,,,,,,,,,,,,,,,,,,"$3,000-$3,499 ($156,000-$181,999)",,,,,,,,,,,,,,,,,,,,,"$3,500-$3,999 ($182,000-$207,999)",,,,,,,,,,,,,,,,,,,,,"$4,000-$4,999 ($208,000-$259,999)",,,,,,,,,,,,,,,,,,,,,"$5,000 or more ($260,000 or more)",,,,,,,,,,,,,,,,,,,,,"Partial income stated",,,,,,,,,,,,,,,,,,,,,"All incomes not stated",,,,,,,,,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,
"Mortgage Repayments (monthly) Ranges (MRERD)","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable",
"Local Government Areas (2011 Boundaries)",
"Alpine (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,3,4,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,3,6,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,201,0,0,4,3,4,0,3,3,3,3,0,0,0,0,0,0,3,0,0,3,166,3,0,0,7,0,4,3,3,3,7,3,0,0,0,0,0,3,0,0,0,97,3,0,0,0,0,4,0,4,4,0,3,5,0,0,0,0,3,0,0,3,99,0,0,0,0,3,3,8,7,5,3,9,5,3,0,0,3,5,0,0,3,98,0,0,0,0,0,0,3,4,5,12,5,0,3,4,4,7,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,4,0,5,3,3,3,6,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,15,27,21,18,30,33,20,34,32,10,26,4,3,17,14,3,9,17,1237,
"Ararat (RC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,220,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,170,0,0,0,3,8,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,8,3,0,4,6,3,0,0,0,0,0,0,0,0,0,0,0,71,5,0,0,0,0,3,4,7,3,0,0,0,0,0,0,0,3,0,0,3,81,0,0,0,4,3,13,3,8,4,11,9,0,5,0,0,3,0,0,0,0,62,0,0,0,0,3,0,3,14,4,5,4,4,0,0,0,0,0,0,0,0,64,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,3,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,14,24,23,31,38,39,30,14,17,5,15,6,0,3,10,3,0,22,1056,
"Ballarat (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,8,3,20,17,6,17,14,9,3,5,6,3,0,0,0,0,0,0,0,5,1277,4,3,13,18,14,22,13,17,10,10,6,4,0,0,0,0,0,0,0,4,1016,3,5,5,14,8,23,13,20,15,9,10,3,6,0,0,3,0,0,0,10,868,4,3,4,10,10,15,22,24,35,24,21,4,8,3,3,3,4,0,0,8,496,6,0,0,9,8,17,23,32,34,33,29,17,12,7,0,4,0,0,0,9,540,6,0,5,5,10,27,43,65,66,73,73,44,53,17,14,11,15,3,5,18,585,3,7,0,6,3,19,25,40,83,63,70,47,60,22,7,23,20,3,0,14,412,3,3,0,3,5,9,7,19,18,17,19,18,25,9,10,11,13,3,0,7,190,3,0,0,3,4,7,13,11,16,17,19,14,18,5,6,10,5,9,0,4,155,0,0,0,0,0,0,3,3,3,9,3,5,5,4,0,6,3,0,0,0,43,0,0,0,0,0,0,0,3,0,7,0,7,3,3,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,60,0,0,8,10,3,9,11,16,19,16,16,6,21,6,3,11,4,3,0,25,344,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,8,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,24,54,97,78,173,191,256,310,273,273,165,223,69,49,87,78,35,10,112,6474,
"Banyule (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,13,0,6,0,3,3,8,5,6,0,3,0,3,0,0,0,0,0,0,3,1160,3,9,5,9,3,4,5,3,3,4,10,0,3,0,0,0,0,0,0,6,948,6,0,3,5,3,8,10,10,4,3,7,0,6,0,0,3,4,3,0,8,1017,7,0,0,5,5,8,13,13,15,13,10,12,8,6,3,6,8,0,0,8,605,3,3,0,0,3,7,7,13,8,5,15,9,18,3,7,11,16,5,3,13,616,8,4,5,8,0,5,17,20,29,24,29,26,46,34,23,41,29,4,4,20,846,11,0,7,6,12,10,10,20,23,30,39,33,70,42,34,80,105,19,10,18,748,5,0,0,3,4,19,14,13,21,24,27,17,52,25,27,56,77,12,9,6,392,5,0,5,3,5,7,3,13,14,21,15,24,44,27,27,40,86,33,10,11,334,4,0,0,4,3,3,3,0,0,3,6,13,16,14,8,28,41,14,6,3,107,3,0,0,0,0,0,0,7,5,7,8,7,14,13,3,15,33,14,3,0,84,3,0,0,0,0,3,3,3,3,3,0,3,10,3,8,6,24,9,18,3,75,5,8,3,3,3,11,0,11,9,8,11,7,19,10,11,16,24,8,7,11,426,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,33,32,53,54,96,101,125,151,147,173,158,319,180,144,297,450,121,76,126,7936,
"Bass Coast (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,4,3,4,4,7,4,4,6,3,0,0,0,0,0,0,0,0,0,8,621,0,4,3,3,8,4,7,3,8,4,0,4,0,0,0,0,0,0,0,0,446,3,4,7,6,9,10,10,7,12,3,8,3,3,3,0,3,0,0,0,5,470,0,0,0,3,4,8,3,12,16,10,11,3,3,0,3,3,0,0,0,5,210,0,3,0,4,5,12,9,5,4,8,8,4,5,4,0,3,0,3,0,3,195,9,0,0,3,3,8,14,14,17,16,12,13,14,7,4,11,3,0,0,6,214,5,0,3,4,3,3,4,8,5,12,14,12,13,0,3,13,11,3,0,7,126,3,0,0,0,0,0,3,3,3,5,3,3,3,4,3,3,3,0,0,4,81,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,5,3,0,0,47,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,31,3,0,0,0,6,4,3,7,5,3,6,3,3,3,3,0,4,0,0,16,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,28,31,34,64,67,66,72,70,73,38,60,21,21,36,35,8,10,64,2900,
"Baw Baw (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,13,3,10,15,6,7,8,9,9,0,3,0,0,0,0,0,0,0,0,4,670,7,0,3,13,9,11,8,9,0,0,0,3,3,0,0,0,3,0,0,6,519,4,0,4,7,3,7,9,15,5,7,7,0,3,3,0,5,6,0,0,3,495,3,0,3,7,3,11,9,17,10,15,11,6,0,0,0,0,0,0,3,0,252,3,3,0,3,7,5,12,18,18,15,12,7,12,6,0,3,0,4,0,11,280,3,0,3,7,9,13,15,28,21,37,31,31,23,10,0,13,12,0,0,9,258,3,0,3,3,3,10,22,22,24,26,24,22,36,10,7,11,8,7,3,9,179,0,0,3,0,0,3,17,4,7,8,12,10,8,3,0,12,7,0,3,3,91,0,0,0,0,0,0,0,4,4,3,12,4,7,0,0,8,18,0,3,3,87,0,0,0,0,0,0,0,3,0,4,0,0,5,3,5,0,3,0,0,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,0,6,3,3,7,9,3,6,3,8,0,0,3,6,8,4,8,180,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12,33,57,54,83,105,139,116,113,123,93,118,47,20,57,66,20,19,90,3381,
"Bayside (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,94,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,4,0,7,3,4,0,3,3,3,0,0,3,0,0,0,5,3,3,8,505,5,0,0,9,3,3,0,0,6,0,0,0,0,0,3,0,4,0,3,3,527,4,3,0,7,0,3,3,4,3,0,3,0,3,4,0,8,0,0,0,3,652,9,4,0,0,0,4,5,0,6,0,3,0,14,0,0,3,3,0,0,4,451,3,0,0,5,0,4,3,9,5,4,6,4,11,3,0,6,3,6,3,7,474,8,6,0,9,0,4,16,5,20,12,9,3,18,3,11,14,20,7,6,8,643,8,7,4,8,9,3,7,8,15,10,19,6,26,8,10,20,35,12,19,9,635,5,0,0,3,5,4,4,10,8,15,10,10,29,13,11,35,51,27,28,9,558,5,0,4,4,3,6,6,8,6,11,9,9,20,17,17,23,69,31,38,9,442,0,0,0,0,4,0,0,4,4,6,10,11,8,6,3,18,36,20,15,9,208,0,0,0,3,0,0,3,10,3,3,4,7,13,7,9,13,40,28,22,3,141,0,0,4,3,0,3,4,0,4,8,0,3,6,3,8,14,39,34,55,4,291,3,3,0,3,0,0,3,3,4,8,8,9,12,7,3,8,30,19,13,14,458,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,28,17,56,40,46,61,70,87,84,75,62,172,76,74,172,322,185,211,110,6365,
"Benalla (RC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,3,5,10,3,4,3,0,0,0,0,0,0,0,0,0,0,0,3,267,4,0,4,4,3,8,3,3,3,3,0,0,3,0,0,0,0,0,0,3,229,0,0,0,4,9,4,9,4,0,0,0,0,3,0,0,0,0,0,0,0,191,3,0,4,3,0,8,3,3,6,7,3,5,3,0,0,0,0,0,3,0,100,3,0,0,3,0,10,3,3,10,11,8,4,3,0,0,0,4,0,0,0,87,0,0,0,0,0,3,6,10,19,5,9,3,3,0,0,0,0,0,0,0,107,0,0,0,3,3,6,5,9,6,3,8,0,6,4,0,3,0,0,0,0,92,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,3,0,0,0,3,0,0,0,4,3,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,13,20,26,42,49,48,54,35,33,22,35,3,6,13,12,8,5,20,1313,
"Boroondara (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,107,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,156,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,68,5,0,0,4,0,3,3,0,0,0,4,0,3,0,0,0,3,0,0,11,680,7,3,0,0,0,4,3,0,3,8,8,0,3,0,0,0,4,3,0,4,631,6,3,0,3,9,6,4,6,5,4,3,0,6,0,0,0,6,4,4,10,927,3,0,3,4,3,3,6,3,4,3,9,3,3,0,0,8,3,7,3,6,638,8,7,0,6,0,10,0,3,10,0,0,4,4,0,3,6,9,9,4,3,826,4,0,4,5,9,14,7,17,10,20,12,11,20,6,8,12,25,7,11,3,1314,7,8,3,3,3,9,7,21,16,13,7,14,35,15,15,31,40,19,16,18,1321,15,3,10,7,4,11,8,15,11,8,13,14,29,18,13,26,52,29,33,12,1014,9,4,3,3,8,7,6,18,14,15,19,14,37,9,23,35,80,43,41,9,979,5,0,3,3,0,0,4,5,7,7,14,5,14,18,13,20,41,34,36,9,413,3,5,0,3,0,5,0,7,6,5,8,3,16,11,10,18,41,34,25,9,325,14,0,0,5,0,4,6,6,7,3,8,7,24,11,7,13,47,52,68,14,498,7,3,0,6,3,0,8,3,3,6,12,3,16,0,3,7,35,20,26,23,688,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,39,30,54,41,69,59,109,102,94,115,93,225,84,103,175,381,257,273,146,10811,
"Brimbank (C)",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,3,132,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,63,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,123,10,10,9,22,18,15,13,22,21,5,7,9,9,3,0,5,0,0,0,15,2527,11,5,10,4,19,4,10,15,14,6,23,9,7,3,3,4,0,0,3,12,1200,8,3,0,10,4,9,19,11,23,15,23,10,16,3,3,6,8,0,0,13,1000,13,3,3,12,6,10,10,22,28,28,35,9,25,12,7,11,9,3,0,16,586,3,4,0,10,3,4,17,8,22,38,28,16,32,23,20,9,9,6,3,19,560,6,4,0,4,10,14,20,34,43,40,62,44,81,28,21,40,34,11,3,25,707,5,3,3,10,8,10,19,35,37,40,67,65,101,66,39,84,55,16,4,28,439,3,0,0,0,4,9,9,12,24,17,20,27,44,23,21,37,30,13,3,15,230,3,0,0,0,3,4,5,7,5,23,23,19,35,15,22,23,26,13,4,5,128,0,0,0,0,0,0,0,3,8,5,5,4,13,17,0,9,9,4,0,4,46,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,3,13,0,5,0,24,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,3,3,0,3,0,35,6,4,0,3,7,13,4,10,14,14,23,16,13,6,4,6,5,0,0,18,463,6,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,30,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,34,41,79,82,99,138,196,237,246,323,242,400,206,146,245,211,69,32,202,9019,
