Australian Bureau of Statistics

"2011 Census - Household Income and Expenditure"
"Family Household Composition (Dwelling) (HCFMD) by Local Government Areas (2011 Boundaries) by Total Household Income (weekly) (HIND) and Rent (weekly) Ranges (RNTRD)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

" One family household: Couple family with no children"
"Total Household Income (weekly) (HIND)","Negative Income",,,,,,,,,,,,,,,,,,,,,,"Nil Income",,,,,,,,,,,,,,,,,,,,,,"$1-$199 ($1-$10,399)",,,,,,,,,,,,,,,,,,,,,,"$200-$299 ($10,400-$15,599)",,,,,,,,,,,,,,,,,,,,,,"$300-$399 ($15,600-$20,799)",,,,,,,,,,,,,,,,,,,,,,"$400-$599 ($20,800-$31,199)",,,,,,,,,,,,,,,,,,,,,,"$600-$799 ($31,200-$41,599)",,,,,,,,,,,,,,,,,,,,,,"$800-$999 ($41,600-$51,999)",,,,,,,,,,,,,,,,,,,,,,"$1,000-$1,249 ($52,000-$64,999)",,,,,,,,,,,,,,,,,,,,,,"$1,250-$1,499 ($65,000-$77,999)",,,,,,,,,,,,,,,,,,,,,,"$1,500-$1,999 ($78,000-$103,999)",,,,,,,,,,,,,,,,,,,,,,"$2,000-$2,499 ($104,000-$129,999)",,,,,,,,,,,,,,,,,,,,,,"$2,500-$2,999 ($130,000-$155,999)",,,,,,,,,,,,,,,,,,,,,,"$3,000-$3,499 ($156,000-$181,999)",,,,,,,,,,,,,,,,,,,,,,"$3,500-$3,999 ($182,000-$207,999)",,,,,,,,,,,,,,,,,,,,,,"$4,000-$4,999 ($208,000-$259,999)",,,,,,,,,,,,,,,,,,,,,,"$5,000 or more ($260,000 or more)",,,,,,,,,,,,,,,,,,,,,,"Partial income stated",,,,,,,,,,,,,,,,,,,,,,"All incomes not stated",,,,,,,,,,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,,
"Rent (weekly) Ranges (RNTRD)","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable",
"Local Government Areas (2011 Boundaries)",
"Albury (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,7,16,32,27,12,12,3,8,0,0,0,0,0,0,0,0,0,0,0,514,4,3,3,4,19,15,16,21,8,8,3,3,0,0,0,0,0,0,0,0,3,388,3,0,0,5,15,8,18,10,4,10,6,0,0,0,0,0,0,0,0,0,0,432,0,0,0,5,9,16,13,21,14,16,8,3,0,4,0,0,0,0,0,0,0,305,0,0,0,7,6,9,11,16,10,16,8,7,0,3,0,0,0,0,0,0,3,299,3,0,0,3,3,9,9,22,11,29,20,17,4,5,0,0,0,0,0,0,4,516,0,0,0,0,6,5,3,14,8,15,16,7,11,0,9,0,0,0,0,0,0,463,0,0,0,0,0,3,0,7,0,0,3,6,5,6,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,3,4,11,12,3,8,3,3,0,0,0,0,0,0,0,0,8,270,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,14,47,103,100,93,131,73,106,59,51,33,24,9,5,0,11,0,3,27,3914,
"Armidale Dumaresq (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,12,7,13,9,3,11,3,0,0,0,0,0,0,0,0,0,0,206,6,3,0,0,4,11,10,6,9,6,4,0,0,0,0,0,0,0,0,0,0,189,5,0,0,3,3,4,14,3,3,10,7,3,3,0,0,0,0,0,0,0,0,215,0,0,0,0,0,4,11,9,0,6,4,4,0,0,3,0,0,0,0,0,3,139,0,0,0,0,0,3,0,4,6,9,5,3,0,3,0,0,0,0,0,0,0,133,0,0,0,5,0,3,5,11,8,10,16,3,3,0,3,0,0,0,0,0,0,229,0,0,0,0,0,0,3,3,3,0,3,5,0,4,4,4,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,4,0,4,4,0,6,0,3,0,3,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,3,14,27,40,59,58,38,57,46,34,12,15,10,15,0,0,0,0,10,1818,
"Ashfield (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,67,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,19,3,0,3,0,9,4,12,5,3,3,7,8,6,10,3,3,0,5,0,0,3,265,3,0,0,0,0,4,3,3,3,11,5,13,6,23,5,15,0,5,0,0,3,152,3,0,0,0,0,0,0,0,6,5,9,13,10,15,10,6,3,5,5,5,0,162,0,0,0,0,0,0,0,4,4,6,3,20,17,25,10,14,5,9,0,7,3,86,5,0,0,0,0,0,3,0,0,9,8,16,19,33,23,12,7,20,3,0,0,110,4,0,0,0,0,0,0,0,5,8,7,31,17,58,32,33,13,24,8,3,0,143,0,0,0,0,0,0,0,0,3,10,7,23,10,44,36,37,13,43,10,9,3,215,4,0,0,0,0,0,0,0,0,0,0,15,0,14,22,16,5,35,13,5,0,168,3,0,0,0,0,0,0,0,0,0,0,3,5,4,12,19,4,19,3,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,10,0,16,3,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,5,4,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,5,0,0,90,4,0,0,0,0,0,0,4,0,4,5,8,4,9,12,18,11,11,4,3,5,120,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,8,16,15,24,31,24,51,56,156,108,263,181,186,82,220,61,32,29,2044,
"Auburn (C)",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,4,6,8,0,0,0,7,4,0,0,46,0,4,0,3,3,0,0,0,0,0,3,3,0,3,0,3,0,3,0,0,3,66,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,5,0,0,0,22,6,3,0,8,29,13,11,3,6,11,9,19,12,10,3,10,3,11,3,0,6,436,3,0,3,5,3,3,3,8,14,17,6,20,6,25,4,19,6,15,3,4,8,238,7,0,3,0,4,0,3,3,4,17,8,15,9,18,6,9,0,20,3,0,3,219,3,0,0,0,0,0,3,3,4,16,9,20,8,19,6,14,4,18,0,3,0,146,0,0,0,0,0,0,3,4,3,5,3,22,14,11,14,18,0,20,0,3,3,189,0,0,0,0,0,0,0,3,0,9,13,28,11,25,14,34,10,33,6,0,3,255,3,0,0,0,0,0,0,0,4,11,5,9,3,18,16,24,15,66,9,3,3,278,0,0,0,0,0,0,0,0,0,3,0,0,3,9,7,19,3,47,8,4,3,169,0,0,0,0,0,0,0,3,0,0,0,3,0,3,7,13,6,34,18,9,0,175,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,16,7,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,8,3,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,50,0,0,0,4,0,5,3,3,5,6,3,7,0,6,3,18,3,19,4,8,9,169,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,9,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,16,14,23,52,28,23,40,45,101,69,163,71,155,81,192,55,337,73,33,49,2700,
"Ballina (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3,3,9,22,3,4,7,9,14,10,11,3,0,3,3,0,0,3,0,0,611,3,0,0,3,4,7,4,10,6,13,5,10,3,10,3,6,0,3,0,0,3,569,3,0,4,4,4,8,7,3,6,13,11,14,7,6,3,0,3,0,0,0,0,597,4,0,0,0,0,3,0,4,4,9,14,10,7,11,0,3,4,7,0,0,0,324,3,0,0,0,0,0,3,3,0,0,4,17,9,8,4,0,0,0,0,3,0,324,0,0,3,0,0,3,3,5,0,5,10,16,12,11,11,11,5,12,3,0,0,394,4,0,0,0,0,0,0,0,0,3,3,14,6,12,3,4,3,3,0,0,0,305,3,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,7,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,8,0,5,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,6,0,0,0,0,0,8,0,5,3,9,0,3,3,0,0,249,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,11,17,41,25,28,36,31,68,57,110,54,81,38,49,19,40,12,5,11,3997,
"Balranald (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,9,9,4,4,0,0,0,0,0,0,0,0,0,0,0,3,3,205,
"Bankstown (C)",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,5,0,3,7,4,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,4,93,0,6,3,14,24,3,7,0,0,0,3,0,3,4,3,0,0,3,0,0,4,208,0,3,4,0,3,3,0,3,0,0,0,0,0,7,3,0,0,3,0,0,3,60,0,0,3,0,3,0,4,5,0,0,5,5,0,5,0,0,0,0,0,0,3,89,17,9,4,57,158,37,24,22,10,27,3,17,5,27,12,11,3,3,0,0,13,1710,5,7,3,7,36,16,18,13,5,15,16,27,17,35,9,9,3,14,0,0,6,1023,9,0,0,10,22,6,7,8,3,5,7,20,7,28,11,15,0,5,3,0,3,939,0,0,0,3,4,3,4,0,5,11,7,24,19,20,17,18,0,19,5,6,4,532,8,0,0,0,0,3,0,0,3,6,11,26,15,30,13,21,3,10,0,0,4,534,9,3,0,3,0,0,0,0,3,8,6,35,22,43,32,38,9,14,3,0,7,791,11,0,0,3,0,0,0,0,0,4,10,19,15,30,21,36,12,20,7,0,4,739,4,0,0,0,0,0,0,0,0,3,0,0,3,13,3,11,3,19,3,0,0,422,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,11,0,12,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,133,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,3,3,3,9,11,3,4,3,0,4,0,9,4,26,6,12,3,7,3,6,5,427,3,0,3,8,3,4,4,0,0,6,0,6,0,3,3,5,0,3,0,3,17,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,36,28,118,270,89,72,56,33,96,69,191,122,281,138,188,48,151,30,13,84,8512,
"Bathurst Regional (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,6,3,6,11,7,10,8,3,4,5,4,0,0,0,0,0,0,0,0,3,420,0,0,0,5,5,5,11,11,14,0,4,4,0,5,0,0,0,0,0,0,0,317,3,0,4,0,6,6,4,11,3,6,0,3,3,3,0,0,0,0,0,0,0,323,0,0,0,3,4,6,14,16,4,6,5,7,5,0,0,0,0,0,0,0,0,217,3,0,0,0,3,4,5,12,6,17,3,3,3,0,0,0,0,0,0,0,0,211,3,3,0,0,5,3,6,8,11,17,9,11,8,0,3,5,0,0,0,0,0,370,3,0,0,0,0,0,3,7,12,6,6,11,3,3,3,0,0,0,0,0,0,364,0,0,0,0,0,3,0,3,0,7,3,3,3,5,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4,4,4,5,3,3,0,3,0,3,0,0,0,0,0,0,3,190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,12,25,35,40,50,85,61,73,46,50,25,29,15,9,0,4,0,0,14,3073,
"Bega Valley (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,12,3,3,6,3,3,11,10,5,3,5,0,0,0,0,0,0,0,0,0,3,691,3,0,4,3,7,10,8,14,15,11,5,4,0,0,0,0,0,0,0,3,0,531,5,3,0,5,0,3,7,12,5,7,6,7,0,0,0,0,0,0,0,0,0,610,4,0,0,0,0,6,7,13,4,5,6,3,0,0,0,0,0,0,0,0,0,359,3,0,0,0,0,4,4,8,3,4,8,3,0,3,0,0,0,0,0,0,0,309,7,3,0,3,0,4,6,3,10,6,4,6,0,4,0,0,0,0,0,0,3,399,0,0,0,0,0,4,3,5,3,7,3,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,3,5,4,4,8,3,4,0,3,0,0,0,0,0,0,0,262,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,8,24,16,36,60,75,52,56,38,36,4,18,3,4,3,3,0,3,16,3929,
