Australian Bureau of Statistics

"2011 Census - Household Income and Expenditure"
"Family Household Composition (Dwelling) (HCFMD) by Local Government Areas (2011 Boundaries) by Total Household Income (weekly) (HIND) and Rent (weekly) Ranges (RNTRD)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

" One family household: Couple family with no children"
"Total Household Income (weekly) (HIND)","Negative Income",,,,,,,,,,,,,,,,,,,,,,"Nil Income",,,,,,,,,,,,,,,,,,,,,,"$1-$199 ($1-$10,399)",,,,,,,,,,,,,,,,,,,,,,"$200-$299 ($10,400-$15,599)",,,,,,,,,,,,,,,,,,,,,,"$300-$399 ($15,600-$20,799)",,,,,,,,,,,,,,,,,,,,,,"$400-$599 ($20,800-$31,199)",,,,,,,,,,,,,,,,,,,,,,"$600-$799 ($31,200-$41,599)",,,,,,,,,,,,,,,,,,,,,,"$800-$999 ($41,600-$51,999)",,,,,,,,,,,,,,,,,,,,,,"$1,000-$1,249 ($52,000-$64,999)",,,,,,,,,,,,,,,,,,,,,,"$1,250-$1,499 ($65,000-$77,999)",,,,,,,,,,,,,,,,,,,,,,"$1,500-$1,999 ($78,000-$103,999)",,,,,,,,,,,,,,,,,,,,,,"$2,000-$2,499 ($104,000-$129,999)",,,,,,,,,,,,,,,,,,,,,,"$2,500-$2,999 ($130,000-$155,999)",,,,,,,,,,,,,,,,,,,,,,"$3,000-$3,499 ($156,000-$181,999)",,,,,,,,,,,,,,,,,,,,,,"$3,500-$3,999 ($182,000-$207,999)",,,,,,,,,,,,,,,,,,,,,,"$4,000-$4,999 ($208,000-$259,999)",,,,,,,,,,,,,,,,,,,,,,"$5,000 or more ($260,000 or more)",,,,,,,,,,,,,,,,,,,,,,"Partial income stated",,,,,,,,,,,,,,,,,,,,,,"All incomes not stated",,,,,,,,,,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,,
"Rent (weekly) Ranges (RNTRD)","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650 and over","Not stated","Not applicable",
"Local Government Areas (2011 Boundaries)",
"Adelaide (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,3,0,0,0,7,4,0,0,3,3,3,3,3,3,0,10,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,3,3,0,8,3,5,0,0,0,5,0,4,0,0,0,35,3,0,3,0,4,0,6,3,5,0,3,9,6,5,7,7,0,8,0,0,3,38,0,0,0,4,0,0,3,8,3,7,8,6,3,5,0,3,0,0,4,0,3,68,0,0,0,0,0,3,7,6,3,6,10,4,12,7,3,3,0,3,0,0,0,46,0,0,0,0,0,0,0,0,4,0,8,10,5,21,4,4,3,4,0,0,0,59,3,0,0,0,0,0,0,8,4,11,8,11,11,35,8,19,3,6,4,4,0,107,3,0,0,0,0,0,0,4,0,6,8,15,12,19,15,15,3,26,0,3,0,138,3,0,0,0,0,0,0,0,0,3,9,7,5,8,12,5,3,13,7,11,0,146,0,0,0,0,0,0,0,0,0,3,3,9,0,10,12,10,7,26,5,3,0,147,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,7,0,10,6,3,0,59,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,6,4,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,0,82,0,0,0,0,0,0,0,3,7,8,3,5,3,4,11,3,3,13,3,6,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,6,11,14,20,41,27,60,67,85,64,118,86,91,36,118,39,40,21,1138,
"Adelaide Hills (DC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,357,4,0,0,0,3,0,0,5,3,3,0,3,0,0,0,0,0,0,0,0,3,373,0,0,0,0,0,0,3,4,3,4,0,7,0,0,0,0,0,0,0,0,0,429,6,0,0,0,0,4,0,0,3,8,0,3,3,6,0,0,0,0,0,0,0,304,0,0,0,0,0,4,0,7,3,4,3,3,6,0,0,3,0,0,0,0,0,310,8,0,0,3,0,0,0,5,3,7,5,5,10,5,0,3,0,0,0,0,0,468,6,0,0,3,0,0,0,0,0,6,4,6,0,0,0,0,0,3,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,276,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,3,4,5,4,0,4,0,0,0,3,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,8,10,8,8,30,22,39,17,32,18,25,13,10,3,15,4,3,17,3923,
"Alexandrina (DC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,3,9,8,8,9,3,12,0,0,0,0,0,0,0,0,0,0,0,602,4,3,0,4,3,8,9,14,13,9,4,0,0,3,0,0,0,0,0,0,0,511,3,0,0,3,8,9,4,9,0,9,4,6,0,0,0,0,0,0,0,0,4,476,0,3,0,0,0,3,3,5,3,11,3,0,0,0,0,0,0,0,0,0,0,225,5,0,0,0,0,3,3,3,6,9,6,3,0,0,0,0,0,0,0,0,0,239,8,0,0,0,0,3,0,3,4,9,0,0,0,5,0,0,0,0,0,0,0,295,6,0,0,0,0,0,0,4,3,0,3,0,3,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,6,0,4,3,0,0,0,0,0,0,0,0,0,3,212,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,6,13,20,34,27,64,38,71,29,19,10,8,3,3,0,0,0,4,7,3184,
"Anangu Pitjantjatjara (AC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,
"Barossa (DC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,4,13,3,7,3,7,0,0,0,0,0,0,0,0,0,0,0,3,370,8,0,3,0,3,5,3,3,0,3,5,5,0,0,0,0,0,0,0,0,3,281,0,0,0,3,3,3,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,299,3,0,0,3,0,3,3,10,12,8,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,3,0,0,0,0,5,7,0,3,0,0,0,0,0,0,0,0,0,201,3,0,0,3,0,3,4,4,3,17,3,0,0,0,0,0,0,0,0,0,0,306,3,0,0,0,0,0,4,8,0,3,0,7,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,5,0,0,8,3,3,5,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,10,16,31,18,19,32,30,49,28,24,4,5,0,0,0,0,0,0,6,2484,
"Barunga West (DC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,9,3,4,3,6,8,0,0,0,0,0,0,0,0,0,0,0,4,350,
"Berri and Barmera (DC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,9,15,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,6,9,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,5,0,0,0,9,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,115,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,3,20,50,43,28,21,4,13,7,3,0,0,0,0,0,0,0,0,11,1053,
"Burnside (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,4,0,4,0,3,3,3,4,3,7,3,3,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,5,3,5,4,6,7,4,0,3,4,0,0,3,0,0,0,302,4,0,0,0,0,4,0,3,8,6,14,9,0,3,0,3,0,0,0,0,0,403,3,0,0,0,0,0,4,4,3,6,3,13,3,3,0,0,0,4,0,0,0,261,0,0,0,0,0,4,0,3,3,10,10,11,3,3,0,4,0,0,0,0,0,282,3,0,0,0,0,3,3,4,3,11,18,15,8,6,4,5,3,3,3,0,0,412,3,3,0,0,3,0,3,3,13,10,13,16,10,8,0,4,3,3,3,0,0,394,8,0,0,0,0,4,0,3,4,0,4,4,3,0,3,3,3,9,3,0,0,371,3,0,0,0,0,0,0,0,0,3,4,3,0,0,0,5,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,198,3,0,0,0,0,0,0,5,0,5,3,5,7,4,4,0,0,3,0,0,3,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,11,3,13,23,20,36,45,66,86,97,38,33,22,27,8,46,12,10,16,3895,
"Campbelltown (C) (SA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,32,3,0,0,3,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,4,4,28,11,3,8,4,12,4,4,3,0,0,0,0,0,0,0,7,789,3,0,3,3,7,12,3,6,12,10,6,9,4,3,0,0,0,0,0,0,4,543,3,0,9,3,3,6,4,13,7,18,8,9,3,0,0,4,0,0,0,0,4,552,3,0,0,0,0,3,3,4,3,16,5,15,3,5,0,7,0,0,0,0,3,272,4,0,0,0,3,3,0,10,8,21,12,15,3,3,3,5,0,0,0,0,0,262,0,0,0,5,0,3,3,13,8,28,13,14,7,4,3,0,3,3,0,0,0,361,0,0,0,0,0,0,5,4,3,13,5,17,11,15,4,4,0,3,0,0,0,362,4,0,0,0,0,0,0,0,0,8,3,3,0,0,3,3,0,0,0,0,0,212,0,0,0,0,0,0,0,0,3,4,4,3,0,3,0,3,0,3,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,0,5,0,0,0,7,3,4,3,3,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,23,23,48,41,33,65,56,134,78,98,36,41,27,28,7,18,3,6,29,4121,
