"Taxation statistics 2015–16 Companies: Key items, by industry code, 2015-16 income year1",,,,,,,,,
,,,,,,,,,
Industry code,Business description,Number of companies,Total income no.,Total income $,Total expenses no.,Total expenses $,Taxable income or loss no.,Taxable income or loss $,
01110,Nursery Production (Under Cover),247,224,"290,475,296",232,"272,411,124",185,"22,140,577",
01120,Nursery Production (Outdoors),247,230,"219,248,508",242,"212,209,918",190,"5,226,068",
01130,Turf Growing,168,161,"208,539,972",163,"190,462,260",135,"18,904,528",
01140,Floriculture Production (Under Cover),53,51,"121,243,270",52,"117,857,128",39,"3,993,492",
01150,Floriculture Production (Outdoors),79,72,"65,478,367",74,"64,904,782",62,"2,248,304",
01210,Mushroom Growing,82,71,"273,376,773",72,"263,514,707",64,"11,756,760",
01220,Vegetable Growing (Under Cover),171,158,"689,793,169",160,"686,541,295",128,"-23,503,726",
01230,Vegetable Growing (Outdoors),503,466,"1,373,563,633",487,"1,318,612,775",398,"47,220,875",
01310,Grape Growing,837,768,"1,698,405,399",790,"1,601,289,906",610,"73,650,516",
01320,Kiwifruit Growing,10,10,"8,492,910",10,"8,235,735",10,"211,080",
01330,Berry Fruit Growing,106,102,"226,788,016",103,"214,620,973",86,"13,995,299",
01340,Apple and Pear Growing,75,69,"325,138,355",72,"326,375,614",56,"9,715,117",
01350,Stone Fruit Growing,77,72,"78,524,725",76,"72,304,332",61,"2,584,850",
01360,Citrus Fruit Growing,115,103,"190,661,687",107,"172,449,443",88,"11,202,619",
01370,Olive Growing,95,84,"176,381,795",94,"169,140,006",71,"17,720,103",
01390,Other Fruit and Tree Nut Growing,373,332,"2,159,524,077",353,"1,870,638,302",290,"207,481,640",
01410,Sheep Farming (Specialised),497,435,"328,779,214",434,"281,348,516",363,"27,777,412",
01420,Beef Cattle Farming (Specialised),"2,345","2,155","3,496,115,603","2,221","2,794,470,655","1,700","253,930,451",
01430,Beef Cattle Feedlots (Specialised),83,80,"1,264,266,480",81,"1,232,932,856",71,"40,253,491",
01440,Sheep-Beef Cattle Farming,936,872,"1,180,267,614",894,"947,546,881",686,"40,185,419",
01450,Grain-Sheep or Grain-Beef Cattle Farming,"1,008",888,"960,005,673",877,"990,155,735",749,"-4,171,490",
01460,Rice Growing,57,50,"25,392,219",49,"19,131,982",39,"4,447,114",
01490,Other Grain Growing,865,739,"1,055,549,861",752,"955,777,998",658,"64,102,683",
01510,Sugar Cane Growing,255,240,"535,470,834",236,"509,453,219",197,"4,809,210",
01520,Cotton Growing,170,152,"1,250,132,942",155,"1,190,442,645",120,"51,334,479",
01590,Other Crop Growing n.e.c.,265,243,"527,893,626",256,"514,274,416",216,"35,956,623",
01600,Dairy Cattle Farming,592,549,"1,620,005,120",549,"1,500,414,015",478,"161,018,027",
01710,Poultry Farming (Meat),206,191,"5,435,301,469",197,"5,234,565,638",163,"146,406,417",
01720,Poultry Farming (Eggs),139,123,"944,610,591",134,"869,262,241",115,"93,219,239",
01800,Deer Farming,13,11,"4,067,659",12,"3,764,966",9,"-28,937",
01910,Horse Farming,713,646,"640,543,431",690,"706,355,971",546,"-69,030,973",
01920,Pig Farming,115,107,"862,025,217",106,"735,487,098",96,"114,639,712",
01930,Beekeeping,98,91,"38,411,892",95,"31,062,165",79,"6,260,924",
01990,Other Livestock Farming n.e.c.,394,340,"262,114,530",378,"241,309,397",302,"-4,060,545",
02011,Oyster Farming,137,121,"289,473,105",134,"313,124,399",101,"3,508,412",
02019,Offshore Longline and Rack Aquaculture n.e.c.,94,75,"544,572,590",86,"549,828,041",68,"15,813,591",
02020,Offshore Caged Aquaculture,<10,na,"460,084,418",na,"394,582,706",na,"64,952,264",
02031,Lobster Farming or Breeding,10,8,"4,886,676",10,"3,068,870",8,"123,079",
02039,Other Onshore Aquaculture,108,84,"181,143,387",105,"184,603,605",79,"16,191,386",
03010,Forestry,366,325,"2,218,182,562",352,"1,844,563,715",290,"53,129,354",
03020,Logging,635,602,"985,819,841",614,"833,815,298",496,"22,133,970",
04111,Rock Lobster Fishing,211,181,"234,848,081",192,"187,801,337",182,"46,722,246",
04112,Crab Potting,12,10,"2,567,258",11,"2,232,638",10,"229,806",
04120,Prawn Fishing,107,91,"96,208,676",105,"82,811,959",89,"8,675,101",
04130,Line Fishing,86,75,"65,384,727",79,"53,278,428",66,"11,315,953",
04140,"Fish Trawling, Seining and Netting",73,68,"36,915,802",70,"32,990,719",57,"2,360,678",
04191,Abalone Fishing,180,164,"142,162,359",170,"116,019,185",146,"26,371,253",
04192,Marine Fishing n.e.c.,293,267,"504,669,318",279,"487,148,338",230,"67,388,011",
04199,Other Fishing n.e.c.,94,87,"135,958,358",91,"130,744,728",83,"13,937,181",
04200,Hunting and Trapping,41,38,"8,898,086",41,"8,492,202",29,"313,673",
05100,Forestry Support Services,296,268,"426,833,154",288,"431,176,608",238,"18,618,670",
05210,Cotton Ginning,14,13,"773,393,791",13,"773,061,591",11,"-1,731,661",
05220,Shearing Services,270,258,"169,205,628",265,"163,407,968",221,"7,000,157",
05290,Other Agriculture and Fishing Support Services,"3,269","2,992","8,118,441,907","3,124","7,809,703,207","2,575","240,764,622",
06000,Coal Mining,169,132,"33,470,453,596",147,"38,227,253,524",116,"-1,655,410,177",
07000,Oil and Gas Extraction,389,323,"77,542,872,816",370,"85,083,409,836",300,"-7,045,587,757",
08010,Iron Ore Mining,51,43,"27,093,514,512",47,"19,136,909,061",46,"14,393,491,473",
08020,Bauxite Mining,14,13,"5,144,456,433",13,"4,574,224,290",12,"1,120,241,569",
08030,Copper Ore Mining,20,18,"1,918,915,631",20,"1,970,564,057",18,"-29,378,540",
08040,Gold Ore Mining,220,165,"17,599,482,827",212,"14,125,087,489",183,"981,704,150",
08050,Mineral Sand Mining,69,55,"3,008,551,038",66,"3,272,334,521",60,"-58,816,837",
08060,Nickel Ore Mining,12,11,"747,084,504",11,"1,213,355,344",9,"-119,254,616",
08070,Silver-Lead-Zinc Ore Mining,<10,na,"1,686,417,756",na,"2,958,092,910",na,"-63,072,100",
08090,Other Metal Ore Mining,72,51,"4,769,236,468",70,"7,221,648,536",60,"-432,155,016",
09110,Gravel and Sand Quarrying,318,292,"829,422,658",313,"710,357,627",261,"66,341,213",
09190,Other Construction Material Mining,401,349,"1,032,022,239",375,"936,715,655",324,"90,831,601",
09901,Diamond Mining,13,8,"4,276,773",13,"13,446,422",11,"-2,801,572",
09902,Opal Mining,75,62,"10,970,421",75,"9,893,298",58,"-171,553",
09903,Gemstone Mining (Except Opals and Diamonds),16,13,"6,651,026",16,"9,184,587",13,"-1,858,722",
09909,Other Non-Metallic Mineral Mining and Quarrying n.e.c.,367,299,"77,598,042,553",352,"64,766,617,427",306,"9,213,544,906",
10111,Petroleum Exploration (Own Account),196,159,"2,081,861,065",187,"10,778,355,341",166,"-2,297,044,937",
10112,Petroleum Exploration Services,63,56,"1,991,425,305",63,"2,426,359,597",47,"750,002,231",
10121,Mineral Exploration (Own Account),"1,239",833,"3,191,416,909","1,165","5,139,615,537","1,063","-1,315,736,093",
10122,Mineral Exploration Services,473,367,"1,192,266,021",448,"2,066,053,775",383,"-161,825,728",
10900,Other Mining Support Services,"2,368","2,020","21,188,502,170","2,264","20,787,019,629","1,901","544,822,641",
11110,Meat Processing,272,247,"18,164,554,462",265,"17,963,094,636",233,"278,378,135",
11120,Poultry Processing,167,159,"1,654,984,004",164,"1,443,290,097",149,"298,048,245",
11130,Cured Meat and Smallgoods Manufacturing,98,87,"1,695,398,906",90,"1,623,699,066",77,"81,524,757",
11200,Seafood Processing,92,83,"757,905,814",87,"742,013,661",70,"14,369,474",
11310,Milk and Cream Processing,67,63,"767,599,958",65,"734,937,538",56,"32,689,657",
11320,Ice Cream Manufacturing,89,80,"411,592,860",86,"386,118,383",66,"11,850,169",
11330,Cheese and Other Dairy Product Manufacturing,208,187,"9,798,769,953",203,"9,427,464,207",176,"401,146,978",
11400,Fruit and Vegetable Processing,282,258,"1,426,445,917",272,"1,361,545,422",232,"90,526,577",
11500,Oil and Fat Manufacturing,79,65,"393,830,016",78,"401,546,827",68,"4,314,432",
11610,Grain Mill Product Manufacturing,41,38,"2,999,037,627",39,"2,878,400,067",34,"160,611,634",
11620,"Cereal, Pasta and Baking Mix Manufacturing",73,62,"1,576,051,796",70,"1,578,170,402",58,"52,351,085",
11710,Bread Manufacturing (Factory based),273,265,"857,162,928",266,"817,992,920",227,"47,905,668",
11720,Cake and Pastry Manufacturing (Factory based),276,265,"1,169,864,173",269,"1,099,439,694",212,"73,482,359",
11730,Biscuit Manufacturing (Factory based),41,40,"1,476,462,625",40,"1,384,893,399",35,"113,830,943",
11740,Bakery Product Manufacturing (Non-factory based),621,580,"525,030,544",593,"507,637,539",515,"17,489,447",
11810,Sugar Manufacturing,17,16,"3,025,215,566",17,"2,948,941,804",16,"-72,044,583",
11820,Confectionery Manufacturing,164,156,"689,805,196",161,"663,767,053",126,"52,423,611",
11910,"Potato, Corn and Other Crisp Manufacturing",29,29,"206,852,141",28,"181,128,362",23,"21,728,178",
11920,Prepared Animal and Bird Feed Manufacturing,156,144,"727,096,511",153,"700,297,972",128,"29,540,185",
11990,Other Food Product Manufacturing n.e.c.,"1,233","1,130","18,363,842,382","1,191","17,304,195,101","1,028","1,055,033,528",
12110,"Soft Drink, Cordial and Syrup Manufacturing",260,220,"5,937,902,877",245,"5,711,264,006",208,"380,823,458",
12120,Beer Manufacturing,251,225,"6,910,748,841",245,"6,388,418,185",204,"310,447,817",
12130,Spirit Manufacturing,66,51,"587,139,514",63,"594,659,751",54,"23,760,679",
12140,Wine and Other Alcoholic Beverage Manufacturing,"1,283","1,164","6,053,596,551","1,245","5,411,486,886","1,030","247,816,169",
12200,Cigarette and Tobacco Product Manufacturing,13,13,"23,789,580",13,"23,643,354",10,"94,802",
13110,Wool Scouring,14,13,"188,420,383",13,"173,492,365",12,"117,516,624",
13120,Natural Textile Manufacturing,22,20,"68,854,099",22,"73,095,781",19,"-2,824,703",
13130,Synthetic Textile Manufacturing,47,42,"64,952,965",46,"64,787,267",37,"-707,100",
13200,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",126,114,"343,804,872",122,"331,339,867",96,"19,007,102",
13310,Textile Floor Covering Manufacturing,59,56,"798,838,655",59,"755,889,558",51,"28,504,889",
13320,"Rope, Cordage and Twine Manufacturing",44,42,"60,003,665",43,"56,981,431",39,"5,034,417",
13330,Cut and Sewn Textile Product Manufacturing,546,526,"893,476,000",540,"849,406,898",442,"43,535,783",
13340,Textile Finishing and Other Textile Product Manufacturing,279,265,"569,689,837",270,"538,577,266",212,"26,523,892",
13400,Knitted Product Manufacturing,43,36,"50,518,281",41,"48,070,336",35,"2,603,480",
13510,Clothing Manufacturing,"1,378","1,227","1,585,468,743","1,306","1,519,194,798","1,015","62,396,308",
13520,Footwear Manufacturing,92,81,"230,322,035",89,"211,921,638",73,"20,426,497",
14110,Log Sawmilling,260,235,"1,281,838,657",246,"1,205,608,369",204,"66,782,586",
14120,Wood Chipping,54,50,"541,667,566",52,"490,432,558",40,"106,905,911",
14130,Timber Resawing and Dressing,311,290,"1,463,504,459",304,"1,388,613,019",248,"84,050,124",
14910,Prefabricated Wooden Building Manufacturing,89,86,"217,347,571",88,"210,079,545",73,"7,672,941",
14920,Wooden Structural Fitting and Component Manufacturing,"1,667","1,596","3,062,949,236","1,613","2,840,531,261","1,288","220,582,132",
