RBA Balance Sheet as at 30 June 2011,,,,
,AUD $m,AUD,,
Assets,,,,
Cash,1209,1209000000,,
AUD investments,31834,31834000000,,
Foreign currency investments,37727,37727000000,,
Gold,3599,3599000000,,
Other assets,944,944000000,,
Total Assets,75313,75313000000,,
,,,,
Liabilities,,,,
Deposits,17504,17504000000,,
Distribution payable to the Commonwealth,0,0,,
Australian banknotes on issue,50059,50059000000,,
Other liabilities,2411,2411000000,,
Total Liabilities,69974,69974000000,,
,,,,
Equity,,,,
Capital,40,40000000,,
Reserves,5299,5299000000,,
Total Equity,5339,5339000000,,
,,,,
,,,,
,,,,
Net holdings of FX (per note 15),,,,
USD,16977,16977150000,45%,United States Dollar
EUR,16977,16977150000,45%,Euro
JPY,1886,1886350000,5%,Japanese Yen
CAD,1886,1886350000,5%,Canadian Dollar
CNY,0,0,0%,Chinese Yuan Renminbi
GBP,0,0,0%,UK Pound
KRW,0,0,0%,South Korean Won
Total,37727,37727000000,,
