,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DATA BY REGION, 2011-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 9 November 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ECONOMY AND INDUSTRY, Local Government Area, 2011-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NUMBER OF BUSINESSES,,,,,BUSINESS ENTRIES,,,,,BUSINESS EXITS,,,,,NUMBER OF BUSINESSES BY INDUSTRY,,,,,,,,,,,,,,,,,,,,,BUILDING APPROVALS,,,,,,,,,,RESIDENTIAL PROPERTY PRICES,,,,INSOLVENCIES,,,SELECTED CAUSES OF PERSONAL INSOLVENCIES,,,OCCUPATIONS OF DEBTORS ENTERING BUSINESS OR NON-BUSINESS RELATED PERSONAL INSOLVENCIES,,,,,,,,,REGISTERED MOTOR VEHICLES - Number by type of vehicle,,,,,,,,,,REGISTERED MOTOR VEHICLES - Number by type of fuel,,,,REGISTERED MOTOR VEHICLES - Year of manufacture,,,EMPLOYED BY INDUSTRY,,,,,,,,,,,,,,,,,,,
,,,Number of non-employing businesses,1-4 employees,5-19 employees,20 or more employees,Total number of businesses,Number of non-employing business entries ,1-4 employees,5-19 employees,20 or more employees,Total number of business entries,Number of non-employing business exits,1-4 employees,5-19 employees,20 or more employees,Total number of business exits ,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale trade,Retail trade,Accommodation & Food Services,"Transport, Postal and Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring, & Real Estate Services",Professional Scientific & Technical Services,Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Currently unknown,Total,Private sector houses,Private sector dwellings excluding houses,Total private sector dwelling units,Total dwelling units,Value of private sector houses,Value of private sector dwellings excluding houses,Value of total private sectors dwelling units,Value of total residential building,Value of total non residential building,Value of total building,Houses - number of transfers,Houses - median sale price,Attached Dwellings - number of transfers,Attached Dwellings - median sale price,Total debtors entering business related personal insolvencies,Total debtors entering non-business related personal insolvencies,Total debtors entering personal insolvencies,Business related insolvencies caused by economic conditions,Non-business related insolvencies caused by excessive use of credit (no.),Non-business related insolvencies caused by unemployment or loss of income (no.),Managers,Professionals ,Technicians and trades workers ,Community and personal service workers,Clerical and administrative workers,Sales workers ,Machinery operators and drivers ,Labourers ,Debtors with other or unknown occupations ,Passenger vehicles,Campervans,Light commercial vehicles,Light rigid trucks,Heavy rigid trucks,Articulated trucks,Non-freight carrying trucks,Buses,Motorcycles,Petrol,Diesel,LPG/Dual/Other,Electric,Total Registered Motor Vehicles,Less than 5 years,5 to 10 years,Over 10 years,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal and Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring, & Real Estate Services",Professional Scientific & Technical Services,Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other services,Total employed
CODE,LABEL,YEAR,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,$m,$m,$m,$m,$m,$m,no.,$,no.,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,no. 
10050,Albury (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,"22,434"
10050,Albury (C),2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,91,108,7,23,30,7,5,-,12,-,22,10,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2013,"2,529","1,144",512,141,"4,325",-,-,-,-,-,-,-,-,-,-,228,3,197,77,724,145,329,196,266,18,356,560,390,132,20,44,295,47,244,51,"4,325",-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,74,88,8,15,31,6,-,10,-,10,-,13,11,12,"25,136",104,"5,595",188,532,224,16,154,"1,591","26,247","5,971","1,297",3,"33,539","7,045","9,727","16,767",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2014,"2,566","1,127",522,140,"4,356",416,143,27,3,591,388,108,34,6,538,232,3,184,148,699,147,296,204,248,19,364,566,398,136,19,43,310,41,245,53,"4,356",-,-,-,-,-,-,-,-,-,-,797,"285,000",247,"185,000",-,-,110,-,-,37,7,6,12,-,13,16,14,-,13,"25,291",113,"5,822",190,547,221,14,166,"1,643","26,066","6,632","1,246",3,"34,006","7,608","9,386","17,012",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2015,"2,577","1,200",523,138,"4,431",317,160,18,3,498,305,93,33,3,432,228,4,179,146,741,147,290,206,254,20,377,565,388,143,22,48,335,41,257,49,"4,431",-,-,-,-,-,-,-,-,-,-,847,"307,000",292,"187,000",13,92,105,3,27,36,7,9,12,16,9,-,12,18,12,"26,039",118,"6,188",202,590,243,19,174,"1,687","26,513","7,501","1,199",-,"35,242","7,916","9,519","17,807",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2016,"2,585","1,224",513,138,"4,460",291,152,17,3,466,308,95,28,-,422,232,3,174,145,754,150,292,217,260,19,390,553,389,135,20,45,335,44,258,46,"4,460",-,-,-,-,-,-,-,-,-,-,922,"320,000",256,"195,500",-,-,102,3,-,30,-,4,-,-,-,11,16,-,-,"26,382",116,"6,527",207,612,234,22,175,"1,751","26,635","8,229","1,118",-,"36,001","8,468","9,363","18,170",1.4,0.2,9.2,0.8,9.2,2.3,11.5,8.4,4.6,1.2,1.9,1.3,4.3,3,7.3,9.6,15.2,1,4.1,"22,907"
10050,Albury (C),2017,"2,682","1,227",513,136,"4,557",351,152,19,-,526,323,101,24,3,448,218,6,179,150,789,150,279,215,261,25,388,557,414,135,22,50,363,41,260,52,"4,557",310,20,330,330,119,4,122,122,68,190,-,-,-,-,16,78,94,6,26,31,9,6,23,-,9,-,5,7,12,"26,917",121,"6,860",219,623,257,14,174,"1,745","26,722","9,230","1,025",6,"36,932","8,794","9,671","18,467",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.3,0.5,3.3,0.8,5.7,2.4,11.9,8.1,2.2,0.9,2.6,1.1,5.4,2.3,5.1,18.7,12.4,1,3.4,"12,193"
10130,Armidale Regional (A),2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,23,28,-,6,7,-,3,-,3,5,-,-,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2013,"1,738",749,358,54,"2,892",-,-,-,-,-,-,-,-,-,-,907,9,60,4,325,73,191,117,113,7,145,286,235,72,6,27,149,32,100,34,"2,892",-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,17,30,7,-,4,4,4,4,-,7,-,-,3,3,"14,255",45,"4,744",149,556,56,10,133,"1,012","15,794","4,935",222,-,"20,988","3,835","5,954","11,199",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2014,"1,758",767,340,43,"2,905",193,86,16,-,290,209,53,17,3,277,908,9,59,4,328,80,177,124,118,3,146,297,225,71,5,31,152,38,98,28,"2,905",-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,23,26,-,8,5,-,4,4,3,3,-,-,3,5,"14,369",48,"4,877",148,570,66,14,132,"1,041","15,683","5,318",220,-,"21,268","4,077","5,723","11,468",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2015,"1,814",777,330,41,"2,965",194,88,15,-,304,185,60,14,-,257,909,6,61,4,339,78,183,134,116,6,166,307,240,72,5,33,149,30,105,34,"2,965",-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,27,37,8,11,10,7,-,4,4,6,5,-,-,6,"14,662",57,"4,979",159,581,63,11,133,"1,076","15,764","5,710",202,3,"21,702","4,163","5,626","11,913",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2016,"1,770",783,334,41,"2,917",159,65,6,-,226,210,61,12,3,283,883,12,64,7,341,78,167,129,119,9,164,301,249,67,8,32,147,30,99,34,"2,917",-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,23,28,-,6,10,3,6,-,4,-,-,3,6,4,"14,729",57,"5,117",172,591,64,12,131,"1,102","15,602","6,133",185,-,"21,983","4,421","5,506","12,056",10.8,0.5,2.6,0.7,5.7,1.6,10.8,7.8,2.2,0.9,2.1,1,5.2,3.3,4.8,19.4,13.7,0.7,3.3,"12,327"
10130,Armidale Regional (A),2017,"1,779",763,318,48,"2,908",159,74,10,-,242,193,44,16,3,249,875,8,61,8,337,73,163,129,119,4,172,292,247,71,6,37,159,27,84,35,"2,908",34,6,40,40,13,1,14,14,46,60,-,-,-,-,-,27,30,-,15,5,-,-,6,8,5,-,-,-,-,"14,757",57,"5,206",174,604,67,8,134,"1,112","15,442","6,548",180,3,"22,110","4,342","5,523","12,245",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3,0.5,5.8,0.9,9.1,2.7,13,9,2.9,1.3,2.3,1.8,5.1,3,5.7,10.5,15.4,1.4,3.7,"16,590"
10250,Ballina (A),2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,48,63,6,14,9,5,6,7,7,11,4,-,10,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2013,"2,510","1,109",368,61,"4,049",-,-,-,-,-,-,-,-,-,-,602,6,165,4,703,122,292,190,161,30,255,426,381,142,10,49,239,64,161,49,"4,049",-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,41,64,11,6,12,6,10,10,5,5,9,4,6,9,"22,911",208,"4,642",168,432,30,12,135,"1,345","24,341","5,165",330,-,"29,876","6,111","8,879","14,886",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
