,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DATA BY REGION, 2011-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 9 November 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FAMILY AND COMMUNITY, Local Government Area, 2011-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GIFTS/DONATIONS REPORTED BY TAXPAYERS,,METHOD OF TRAVEL TO WORK,,,,,,,,,,,,,HOUSEHOLDS BY TYPE,,,,,FAMILIES BY TYPE,,,,,,,,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS,,,,,,,,ACCESS TO INTERNET AT HOME,,RENT & MORTGAGE PAYMENTS,,UNPAID CHILD CARE ,,,,UNPAID WORK,,COUNT OF ALL CHILDREN IN FAMILY,HOUSING SUITABILITY,,,DWELLING STRUCTURE,,,,TENURE TYPE,,,HOUSEHOLD STRESS,,,,COMMUTING TO WORK,,,,SOCIO-ECONOMIC INDEXES FOR AREAS (SEIFA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Persons,Median,Used one method - Train or tram,Used one method - Bus,Used one method - Car (as driver or passenger),Used one method - Motor bike/scooter,Used one method - Bicycle,Used one method - Other (inc. Taxis),Used one method - Walked only,Total used one method,Total used more than one method,Other - Worked from home,Other - Employed but did not go to work,Other - Method of travel not stated,Total employed,Lone person households,Group households,Family households,Total households,Average Household Size,Couple families with children under 15 and/or dependent students,Couple families with non-dependent children only,Couple families without children,"One parent families, children under 15 &/or dependent students","One parent families, non-dependent children only",Other families,Total families,Average Family Size,Married in a registered marriage,Married in a de facto marriage,Not married,Married,Never Married,Widowed,Divorced,Separated,Internet accessed from dwelling,Internet not accessed from dwelling,Average monthly household rental payment,Average monthly household mortgage payment,Persons who did not provide child care (%),Persons who cared for own child/children ,Persons who cared for other child/children ,Persons who cared for own child/children and other child/children ,Persons who provided unpaid assistance to a person with a disability ,Persons undertaking voluntary work for an organisation or group,Average number of all children in a family,Dwellings with extra bedrooms needed,Dwellings with bedrooms spare,Dwellings with no bedrooms needed or spare,Separate house ,"Semi-detached, row or terrace house, townhouse etc. ",Flat or apartment ,Other dwelling ,Owned Outright,Owned with a mortgage,Rented,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Average commuting distance from Place of Usual Residence,Median commuting distance from Place of Usual Residence,Average commuting distance to place of work,Median commuting distance to place of work,Australia SEIFA decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),Australia SEIFA decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),Australia SEIFA decile ranking - Index of Education and Occupation (IEO),Australia SEIFA decile ranking - Index of Economic Resources (IER) ,State SEIFA decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),State SEIFA decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),State SEIFA decile ranking - Index of Education and Occupation (IEO),State SEIFA decile ranking - Index of Economic Resources (IER),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,LABEL,YEAR,no.,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$,$,%,%,%,%,%,%,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,kms,kms,kms,kms,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2011,10526,55,16,119,17170,153,278,153,797,18867,151,670,342,2404,22434,5583,830,12204,18617,2.4,4253,745,4936,1608,608,177,12318,2.9,15975,3361,14791,46.1,34.8,6.6,9.2,3.3,-,-,903,1568,64.6,19.4,7.7,1,11.6,21,1.9,-,-,-,14406,1054,3051,91,29.2,34.4,32.7,92.4,7.6,89.1,10.9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2012,9743,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2013,9628,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2014,9694,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2015,9867,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2016,9906,85,20,126,18093,118,218,134,760,19601,194,723,181,2208,22907,6020,801,12674,19495,2.3,4354,799,5235,1582,676,167,12829,2.9,16384,3867,15318,45.7,34.7,6.3,9.7,3.6,79.2,18,1049,1535,63,19.3,7.6,0.9,12.1,22,1.9,357,15294,2745,15634,3323,377,90,30.2,32.3,33.7,95.1,4.9,87.5,12.5,9.8,5.8,11.8,6.8,5,5,6,3,6,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2011,4844,105,6,93,8358,92,116,129,754,9730,119,853,162,1329,12193,2906,464,6828,10200,2.4,2344,417,2828,918,306,106,6913,3,8817,2012,8149,43.5,39.4,6.2,7.7,3.2,-,-,914,1527,66.5,17.4,6.9,1,11.5,27,1.9,-,-,-,8621,518,986,72,35.3,27.2,33.8,93.9,6.1,87.5,12.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2012,4426,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2013,4331,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2014,4300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2015,4402,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2016,4229,150,12,49,8706,102,117,129,663,9928,129,887,129,1254,12327,2983,482,6803,10276,2.4,2256,416,2867,853,389,126,6912,2.9,8637,2143,8355,42.9,40.3,6,7.8,3.2,78.8,18.5,1103,1564,66.5,16.9,6.3,0.6,11.3,27,1.9,239,7795,1607,8689,915,532,50,34.4,26,36.1,95.9,4.1,86,14,10.7,3.5,12.4,3.9,6,7,9,3,6,7,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2011,9346,76,10,96,11654,104,251,127,677,13178,130,1130,257,1895,16590,4260,557,10777,15597,2.4,3307,671,4915,1313,619,125,10954,2.8,14575,2787,11716,49.8,27.9,8.1,10.9,3.2,-,-,1225,1845,66.5,18.4,7.5,1,13.2,22.6,1.8,-,-,-,11095,1996,1994,500,40.2,26.7,29.2,91.5,8.5,86.8,13.2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2012,8141,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2013,7762,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2014,7865,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2015,7836,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2016,7768,120,17,97,12739,108,213,126,548,14043,171,1302,210,1737,17463,4594,555,11067,16220,2.3,3321,764,5187,1225,662,138,11297,2.8,14835,3289,12367,48.9,28.8,7.9,11,3.4,80.3,16.7,1476,1809,64.8,17.6,7.3,0.7,12.8,22.9,1.8,303,12692,2245,11223,3615,799,480,41,26.5,28,93.8,6.2,87.1,12.9,16.1,11.3,14.9,8.5,8,8,8,7,8,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2011,212,78,-,8,624,5,13,11,96,770,14,117,29,98,1028,223,13,592,828,2.4,192,57,249,56,24,8,591,3,826,172,552,51.8,30.5,6.9,7.3,3.9,-,-,518,1061,62.8,19,6.4,0.9,11.8,28.4,2,-,-,-,766,22,25,14,39.9,26.4,29.2,94.9,5.1,92.7,7.3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2012,190,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2014,176,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
