            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Personal Income for Small Areas, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tuesday 19 June 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 ESTIMATES OF PERSONAL INCOME, Employee Income, 2011-16, Local Government Area (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,Median age of earners (years),,,,,,Income ($),,,,,,Median ($),,,,,,Mean ($),,,,,,Main source (% of earners) ,,,,,
LGA,LGA NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
10050,Albury (C)," 23,558 "," 23,960 "," 24,234 "," 24,502 "," 25,423 "," 25,821 ", 39 , 39 , 39 , 40 , 39 , 39 ," 1,035,216,120 "," 1,095,282,231 "," 1,142,620,884 "," 1,184,106,329 "," 1,259,828,634 "," 1,313,181,493 "," 39,510 "," 40,988 "," 41,956 "," 42,894 "," 44,000 "," 45,382 "," 43,943 "," 45,713 "," 47,149 "," 48,327 "," 49,555 "," 50,857 ", 77.7 , 77.9 , 77.5 , 77.3 , 76.7 , 76.8 
10130,Armidale Regional (A)," 12,366 "," 12,658 "," 12,892 "," 13,174 "," 13,594 "," 13,844 ", 40 , 40 , 40 , 40 , 40 , 39 ," 496,553,993 "," 525,242,405 "," 556,620,158 "," 585,371,520 "," 630,680,166 "," 656,009,657 "," 34,393 "," 35,297 "," 36,810 "," 37,646 "," 39,261 "," 39,733 "," 40,155 "," 41,495 "," 43,176 "," 44,434 "," 46,394 "," 47,386 ", 73.3 , 73.6 , 73.7 , 73.9 , 73.6 , 74.1 
10250,Ballina (A)," 17,096 "," 17,254 "," 17,752 "," 18,503 "," 19,288 "," 19,767 ", 42 , 43 , 43 , 43 , 43 , 43 ," 690,237,760 "," 732,780,478 "," 780,465,568 "," 837,842,864 "," 890,858,622 "," 950,952,218 "," 33,776 "," 35,583 "," 36,671 "," 37,805 "," 38,805 "," 40,397 "," 40,374 "," 42,470 "," 43,965 "," 45,281 "," 46,187 "," 48,108 ", 65.8 , 65.9 , 66.1 , 66.7 , 66.1 , 66.4 
10300,Balranald (A), 888 , 880 , 926 , 987 , 964 , 966 , 42 , 41 , 41 , 42 , 43 , 42 ," 30,802,447 "," 32,137,753 "," 33,964,019 "," 37,125,771 "," 38,555,702 "," 40,824,632 "," 30,424 "," 33,741 "," 32,996 "," 33,586 "," 36,575 "," 39,057 "," 34,687 "," 36,520 "," 36,678 "," 37,615 "," 39,996 "," 42,262 ", 67.0 , 66.5 , 67.1 , 69.4 , 66.9 , 68.8 
10470,Bathurst Regional (A)," 17,891 "," 18,425 "," 18,809 "," 19,036 "," 19,738 "," 19,871 ", 39 , 40 , 40 , 40 , 40 , 40 ," 832,199,739 "," 904,177,058 "," 948,613,705 "," 977,887,371 "," 1,042,624,324 "," 1,084,052,406 "," 40,870 "," 42,914 "," 43,769 "," 44,641 "," 46,378 "," 47,994 "," 46,515 "," 49,073 "," 50,434 "," 51,370 "," 52,823 "," 54,554 ", 79.5 , 79.5 , 79.2 , 79.4 , 78.9 , 78.9 
10500,Bayside (A)," 64,254 "," 65,367 "," 67,087 "," 69,664 "," 74,591 "," 76,639 ", 37 , 37 , 37 , 37 , 36 , 36 ," 3,240,761,301 "," 3,451,015,530 "," 3,672,331,242 "," 3,920,435,032 "," 4,306,715,461 "," 4,597,691,305 "," 43,616 "," 45,857 "," 47,780 "," 49,070 "," 50,093 "," 51,928 "," 50,437 "," 52,794 "," 54,740 "," 56,276 "," 57,738 "," 59,992 ", 80.6 , 80.6 , 80.5 , 80.8 , 80.6 , 80.6 
10550,Bega Valley (A)," 13,380 "," 13,746 "," 13,896 "," 14,187 "," 14,689 "," 14,801 ", 45 , 44 , 45 , 45 , 45 , 45 ," 503,607,861 "," 543,438,026 "," 568,463,082 "," 597,312,445 "," 632,360,402 "," 661,384,572 "," 32,723 "," 34,345 "," 35,283 "," 36,506 "," 37,331 "," 38,672 "," 37,639 "," 39,534 "," 40,908 "," 42,103 "," 43,050 "," 44,685 ", 65.1 , 65.6 , 65.3 , 65.6 , 65.0 , 65.0 
10600,Bellingen (A)," 4,676 "," 4,784 "," 4,849 "," 5,089 "," 5,240 "," 5,348 ", 44 , 45 , 45 , 45 , 45 , 45 ," 173,005,119 "," 186,030,226 "," 198,799,180 "," 217,299,561 "," 229,799,012 "," 244,374,063 "," 31,200 "," 33,022 "," 34,358 "," 35,747 "," 36,667 "," 38,420 "," 36,999 "," 38,886 "," 40,998 "," 42,700 "," 43,855 "," 45,694 ", 62.5 , 63.6 , 63.8 , 65.4 , 64.0 , 64.7 
10650,Berrigan (A)," 3,379 "," 3,474 "," 3,491 "," 3,589 "," 3,647 "," 3,514 ", 43 , 43 , 43 , 43 , 43 , 42 ," 126,151,601 "," 133,551,174 "," 138,061,194 "," 147,102,359 "," 152,841,675 "," 156,532,290 "," 32,961 "," 33,755 "," 34,576 "," 36,399 "," 37,235 "," 39,500 "," 37,334 "," 38,443 "," 39,548 "," 40,987 "," 41,909 "," 44,545 ", 65.3 , 65.3 , 65.2 , 65.9 , 64.7 , 67.7 
10750,Blacktown (C)," 144,421 "," 148,782 "," 154,158 "," 159,785 "," 170,360 "," 177,584 ", 37 , 37 , 37 , 37 , 37 , 37 ," 6,945,288,711 "," 7,431,681,192 "," 7,953,888,614 "," 8,452,947,470 "," 9,241,911,618 "," 10,016,926,415 "," 44,785 "," 46,443 "," 47,728 "," 48,767 "," 49,863 "," 51,696 "," 48,091 "," 49,950 "," 51,596 "," 52,902 "," 54,249 "," 56,407 ", 88.0 , 88.0 , 87.6 , 87.6 , 87.0 , 87.0 
10800,Bland (A)," 2,298 "," 2,362 "," 2,444 "," 2,421 "," 2,466 "," 2,339 ", 40 , 40 , 40 , 41 , 41 , 41 ," 88,513,579 "," 99,247,225 "," 104,176,047 "," 105,988,073 "," 111,233,962 "," 109,057,227 "," 31,603 "," 33,815 "," 34,447 "," 34,792 "," 36,203 "," 37,929 "," 38,518 "," 42,018 "," 42,625 "," 43,779 "," 45,107 "," 46,626 ", 61.9 , 62.5 , 63.4 , 62.8 , 61.7 , 63.4 
10850,Blayney (A)," 3,021 "," 3,147 "," 3,175 "," 3,249 "," 3,379 "," 3,307 ", 42 , 41 , 42 , 42 , 42 , 42 ," 143,892,634 "," 158,099,824 "," 162,483,158 "," 167,203,969 "," 178,713,094 "," 180,799,362 "," 40,742 "," 41,711 "," 42,860 "," 43,597 "," 44,611 "," 46,806 "," 47,631 "," 50,238 "," 51,176 "," 51,463 "," 52,889 "," 54,672 ", 73.8 , 74.6 , 75.0 , 74.4 , 73.9 , 74.8 
10900,Blue Mountains (C)," 36,364 "," 36,731 "," 37,131 "," 37,906 "," 39,508 "," 39,915 ", 43 , 43 , 43 , 43 , 44 , 43 ," 1,881,340,513 "," 1,985,318,812 "," 2,057,760,579 "," 2,150,952,755 "," 2,292,312,288 "," 2,413,506,304 "," 44,049 "," 45,916 "," 47,138 "," 48,125 "," 49,242 "," 51,018 "," 51,736 "," 54,050 "," 55,419 "," 56,744 "," 58,021 "," 60,466 ", 75.9 , 75.8 , 75.7 , 75.6 , 75.1 , 75.1 
10950,Bogan (A)," 1,209 "," 1,248 "," 1,249 "," 1,315 "," 1,382 "," 1,323 ", 39 , 39 , 39 , 39 , 39 , 40 ," 50,082,082 "," 54,267,212 "," 57,922,292 "," 62,197,818 "," 68,840,177 "," 68,481,495 "," 34,452 "," 37,024 "," 38,542 "," 39,861 "," 41,037 "," 42,090 "," 41,424 "," 43,483 "," 46,375 "," 47,299 "," 49,812 "," 51,762 ", 67.6 , 70.3 , 69.5 , 70.7 , 69.6 , 70.3 
