"Australian Exporters: by Export Value Range, Industry, State, and Destination Country",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Goods and Services Credit ($m),404125,"per 5368.0 Table 1 'Credits, Total goods and services' for FY 2018",,,,,,
,DATA SOURCE,5368.0.55.006 Tables 6 & 7,,5368.0.55.006 Table 1.1,,,5368.0.55.006 Table 5.1,,,,,,,,,,"5368.0.55.006 Table 5.2, and 5368.0 Table 1",,,,,,,,
,,,,Number of Goods Exporters,,,Industry of exporter,,,,,,,,,,Value of Goods and Services Exports in FY 2018 by Industry of exporter (ratio per cell multiplied by Total Goods and Services),,,,,,,,
Destination Country,Value Range,State,Size,Total,,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL
,,,,no.,%,,no.,no.,no.,no.,no.,no.,no.,no.,no.,,$,$,$,$,$,$,$,$,$
,,,,121141,100%,,2808,1067,26592,4511,40073,14104,3887,28099,121141,,6499440065,130451703391,147569644371,502870100,98282282969,3836613746,4574566960,12407878398,404125000000
ARGENTINA,$100m or more,NSW,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$50m and less than $100m,NSW,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$10m and less than $50m,NSW,Large,1,1%,,0,0,0,0,1,0,0,0,1,,0,0,0,0,254829,0,0,0,254829
ARGENTINA,$1m and less than $10m,NSW,Large,6,3%,,0,0,1,0,2,1,0,2,6,,0,0,1902599,0,1218235,41998,0,183063,3345895
ARGENTINA,"$875,000 and less than $1m",NSW,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$750,000 and less than $875,000",NSW,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$500,000 and less than $750,000",NSW,Medium,2,1%,,0,0,1,0,1,0,0,1,3,,0,0,2675,0,4861,0,0,2657,10193
ARGENTINA,"$250,000 and less than $500,000",NSW,Medium,5,2%,,0,0,1,0,2,1,0,1,5,,0,0,5719,0,10393,1427,0,5681,23220
ARGENTINA,"$100,000 and less than $250,000",NSW,Medium,9,4%,,0,0,2,0,3,1,0,2,8,,0,0,9835,0,17872,2454,0,9770,39931
ARGENTINA,"$55,000 and less than $100,000",NSW,Medium,15,6%,,0,0,3,1,6,2,1,3,16,,0,0,16565,1231,30101,4132,7226,16456,75712
ARGENTINA,"$10,000 and less than $55,000",NSW,Small,15,6%,,0,0,3,1,5,2,1,4,16,,0,0,1078,171,2777,578,487,1945,7036
ARGENTINA,"Less than $10,000",NSW,Small,25,11%,,1,0,4,1,9,4,1,7,27,,239,0,1865,296,4802,999,842,3362,12405
ARGENTINA,$100m or more,VIC,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$50m and less than $100m,VIC,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$10m and less than $50m,VIC,Large,1,0%,,0,0,0,0,1,0,0,0,1,,0,0,0,0,1237809,0,0,0,1237809
ARGENTINA,$1m and less than $10m,VIC,Large,5,2%,,0,0,1,0,2,1,0,1,5,,0,0,7394014,0,5917478,294656,0,560459,14166607
ARGENTINA,"$875,000 and less than $1m",VIC,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
