E1 HOUSEHOLD AND BUSINESS BALANCE SHEETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Household dwellings,Household consumer durables,Household total non-financial assets,Household deposits,Household superannuation,Household equities,Household other financial assets,Household total financial assets,Household total assets,Household total liabilities,Household net worth,Household dwelling stock,Year-ended household dwelling stock growth,Business bank deposits,Business foreign equities,Business other financial assets,Business total financial assets,Business loans,Business bills of exchange liabilities,Business equities liabilities,Business bonds liabilities,Business other liabilities,Business total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Household sector; Non-financial assets – Residential land and dwellings;  Current prices,Household sector; Non-financial assets – Consumer durables;  Current prices,Household sector; Non-financial assets – Total; Current prices,Household sector; Financial assets – Deposits; Current prices,Household sector; Financial assets – Reserves of life offices and pension funds;  Current prices,Household sector; Financial assets – Shares and other equity; Current prices,Household sector; Financial assets – Other; Current prices,Household sector; Financial assets – Total; Current prices,Household sector; Assets – Total; Current prices,Household sector; Liabilities – Total; Current prices,Household sector; Net worth – Total assets less total liabilities; Current prices,Household sector; Total stock of dwellings,Household sector; Total stock of dwellings; Year-ended change (in per cent),Private non-financial corporations; Financial assets – Deposits accepted by banks; Current prices,Private non-financial corporations; Financial assets – Shares and other equity issued by rest of world; Current prices,Private non-financial corporations; Financial assets – Other; Current prices,Private non-financial corporations; Financial assets – Total; Current prices,Private non-financial corporations; Financial liabilities – Short and long term loans and placements; Current prices,Private non-financial corporations; Financial liabilities – Accepted drawings of bills of exchange; Current prices,Private non-financial corporations; Financial liabilities – Listed and unlisted shares and other equity; Current prices,Private non-financial corporations; Financial liabilities – Bonds issued in Australia and offshore; Current prices,Private non-financial corporations; Financial liabilities – Other; Current prices,Private non-financial corporations; Financial liabilities – Total; Current prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,'000,Per cent,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,$ billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS/RBA,ABS/RBA,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publication date,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,28-Sep-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,BSPNSHNFD,BSPNSHNFO,BSPNSHNFT,BSPNSHUFAD,BSPNSHUFAR,BSPNSHUFAS,BSPNSHUFAO,BSPNSHUFAT,BSPNSHUA,BSPNSHUL,BSPNSHUNW,BSPNSHUDS,BSPNSHUDSYP,BSPNSPNFAD,BSPNSPNFAF,BSPNSPNFAO,BSPNSPNFAT,BSPNSPNLL,BSPNSPNLB,BSPNSPNLS,BSPNSPNLD,BSPNSPNLO,BSPNSPNLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
