,  Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DATA BY REGION, 2011-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 9 November 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"INCOME (INCLUDING GOVERNMENT ALLOWANCES), Local Government Area, 2011-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ESTIMATES OF PERSONAL INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROSS CAPITAL GAINS REPORTED BY TAXPAYERS,,,,SELECTED GOVERNMENT PENSIONS & ALLOWANCES,,,,,,,,,,,,,TOTAL PERSONAL INCOME (WEEKLY) - PERSONS OVER 15 YEARS,,,,,,,"EQUIVALISED TOTAL HOUSEHOLD INCOME - FAMILY, LONE PERSON AND GROUP HOUSEHOLDS"
,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
10050,Albury (C),2011,"23,558",39,"1,035,216,120","39,510","43,943",77.7,"3,712",49,"96,006,844","11,365","25,864",7,"18,604",47,"135,312,253",307,"7,273",13.4,906,59,"19,067,652","14,060","21,046",1.5,"26,796",42,"1,272,114,935","39,888","47,474",4.62,1.75,0.38,0.16,0.446,8.2,20,30.3,24.3,27.1,27.8,20.8,"1,694",32.5,"2,162","19,189","5,394",-,-,-,336,"2,162","1,398",967,-,"1,169",280,-,-,-,-,-,-,-,-,-,690
10050,Albury (C),2012,"23,960",39,"1,095,282,231","40,988","45,713",77.9,"3,751",49,"92,630,139","10,450","24,695",6.9,"19,035",47,"141,159,449",303,"7,416",13.3,909,58,"22,210,237","16,864","24,434",1.6,"26,948",43,"1,331,182,577","41,383","49,398",4.45,1.74,0.39,0.18,0.44,7.8,19.7,30,24.5,27.5,28,20,"1,401",40.3,"1,653","28,790","5,616",8,398,260,381,"2,173","1,510",956,-,981,290,"3,954","3,085",-,-,-,-,-,-,-,-
10050,Albury (C),2013,"24,234",39,"1,142,620,884","41,956","47,149",77.5,"3,775",49,"87,510,415","10,649","23,182",7,"19,297",47,"145,921,348",299,"7,562",13.3,948,58,"21,920,509","15,790","23,123",1.7,"27,054",43,"1,371,738,639","42,556","50,704",4.3,1.74,0.41,0.18,0.439,7.8,19.6,29.9,25.2,27.6,27.9,19.4,"1,724",24.1,"1,077","13,967","5,797",7,390,251,420,"2,223","1,799",768,-,876,426,"3,944","3,171",-,-,-,-,-,-,-,-
10050,Albury (C),2014,"24,502",40,"1,184,106,329","42,894","48,327",77.3,"3,825",49,"99,224,115","10,952","25,941",6.9,"19,603",47,"151,636,908",304,"7,735",13.6,"1,040",58,"27,098,181","16,719","26,056",1.9,"27,381",43,"1,429,404,940","43,695","52,204",4.36,1.75,0.4,0.17,0.44,7.7,19.7,30.1,24.9,27.5,27.9,19.7,"1,974",35.0,"1,838","17,744","6,019",-,375,240,486,"2,286","1,991",796,-,829,438,"3,924","3,234",-,-,-,-,-,-,-,-
10050,Albury (C),2015,"25,423",39,"1,259,828,634","44,000","49,555",76.7,"3,916",49,"109,427,273","11,574","27,944",7.2,"20,067",47,"168,507,390",277,"8,397",13.9,"1,096",58,"29,836,814","16,495","27,223",1.9,"28,134",43,"1,512,916,776","44,586","53,775",4.41,1.76,0.4,0.17,0.448,8.3,20.4,30.8,25.2,27.5,27.4,19.9,"2,013",95.9,"2,204","47,648","6,305",-,349,228,546,"2,302","2,142",803,-,743,481,"3,885","3,244",-,-,-,-,-,-,-,-
10050,Albury (C),2016,"25,821",39,"1,313,181,493","45,382","50,857",76.8,"3,985",49,"109,457,331","12,133","27,467",7,"20,093",47,"169,818,553",262,"8,452",13.8,"1,139",58,"27,558,286","15,610","24,195",2,"28,814",43,"1,567,136,014","45,504","54,388",4.42,1.75,0.4,0.16,0.442,7.8,19.6,30,24.8,27.8,27.5,19.9,"2,095",59.3,"1,961","28,283","6,454",-,316,205,587,"2,252","2,057",810,-,690,379,"3,877","3,149",30.2,27.1,21.3,3.3,1.6,6,0.4,776
10050,Albury (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,392",-,291,191,627,"2,193","2,170",856,186,598,437,"3,859","3,068",-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2011,"12,366",40,"496,553,993","34,393","40,155",73.3,"3,264",51,"45,699,126","5,835","14,001",10,"10,814",48,"73,212,860",398,"6,770",14.7,424,58,"9,392,511","14,393","22,152",1.4,"14,536",45,"617,100,765","34,905","42,453",5.82,1.87,0.32,0.13,0.488,7.4,20.3,31.7,29.4,29,23.3,18.4,"1,150",35.5,"2,581","30,841","2,730",-,-,-,264,"1,290",898,599,-,"1,601",198,-,-,-,-,-,-,-,-,-,641
10130,Armidale Regional (A),2012,"12,658",40,"525,242,405","35,297","41,495",73.6,"3,228",52,"47,437,719","5,535","14,696",9.3,"11,068",48,"78,810,568",364,"7,121",15.1,417,59,"10,596,006","17,272","25,410",1.3,"14,679",45,"652,575,155","36,245","44,456",5.58,1.88,0.34,0.13,0.487,7.6,20.6,31.9,30.4,28.6,23.3,17.8,"1,003",21.7,"1,972","21,671","2,781",6,179,147,286,"1,305",886,557,-,"1,632",182,"2,358","1,805",-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2013,"12,892",40,"556,620,158","36,810","43,176",73.7,"3,211",52,"35,766,278","4,583","11,139",9,"10,856",49,"81,156,159",438,"7,476",15.2,413,58,"10,304,580","15,553","24,951",1.3,"14,623",46,"669,716,440","37,366","45,799",5.51,1.88,0.34,0.14,0.486,7.6,20.4,31.7,31,28.6,23,17.5,"1,187",27.1,"1,626","22,832","2,878",4,167,143,323,"1,312","1,020",474,-,"1,459",264,"2,342","1,846",-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2014,"13,174",40,"585,371,520","37,646","44,434",73.9,"3,161",53,"35,540,002","3,571","11,243",8.4,"11,088",49,"82,177,322",453,"7,411",15.8,418,58,"10,750,801","16,526","25,720",1.3,"14,902",46,"695,045,704","38,249","46,641",5.66,1.91,0.34,0.13,0.492,7.1,20.1,31.6,30.7,28.7,22.6,18,"1,314",51.3,"2,149","39,070","2,960",-,137,130,322,"1,336","1,076",468,-,"1,411",283,"2,223","1,789",-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2015,"13,594",40,"630,680,166","39,261","46,394",73.6,"3,208",53,"45,864,613","4,694","14,297",8.9,"10,955",49,"88,782,252",487,"8,104",15.6,412,58,"11,528,927","16,314","27,983",1.3,"15,124",45,"742,729,287","39,635","49,109",5.46,1.89,0.35,0.13,0.485,7.6,20.5,31.8,30.4,27.9,23.4,18.3,"1,361",35.5,"2,307","26,111","3,042",-,121,119,328,"1,292","1,156",440,-,"1,327",265,"2,142","1,745",-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2016,"13,844",39,"656,009,657","39,733","47,386",74.1,"3,147",53,"57,068,263","7,434","18,134",9.3,"11,201",49,"82,946,846",396,"7,405",14.7,408,58,"10,661,203","19,341","26,130",1.3,"15,363",45,"772,508,672","40,733","50,284",5.5,1.9,0.34,0.14,0.476,7,19.8,31.2,29.5,28.6,23.4,18.5,"1,323",33.4,"1,833","25,231","3,098",-,108,104,346,"1,277","1,123",439,-,"1,399",227,"2,112","1,683",32.4,25.2,17.9,3.7,1.6,8.3,0.6,744
10130,Armidale Regional (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2011,"17,096",42,"690,237,760","33,776","40,374",65.8,"4,884",50,"81,037,815","8,224","16,593",10.9,"16,474",51,"138,226,320",627,"8,391",19.9,"1,007",59,"26,187,119","19,320","26,005",2.6,"22,250",48,"928,095,569","32,909","41,712",6.26,1.95,0.31,0.11,0.506,8.6,22,33.4,31.4,29.1,21.8,17.8,"1,748",49.0,"3,270","28,021","5,727",-,-,-,468,"1,974","1,192",720,-,618,179,-,-,-,-,-,-,-,-,-,623
10250,Ballina (A),2012,"17,254",43,"732,780,478","35,583","42,470",65.9,"4,900",51,"88,946,595","8,408","18,152",10.9,"16,850",51,"137,374,613",550,"8,153",19.9,"1,043",59,"25,286,686","18,498","24,244",2.6,"22,308",48,"973,881,845","34,565","43,656",5.95,1.94,0.33,0.12,0.495,8,21.4,32.9,31.8,29.3,21.5,17.4,"1,488",36.4,"2,580","24,481","5,863",28,645,396,475,"2,044","1,311",690,-,454,207,"3,427","2,685",-,-,-,-,-,-,-,-
10250,Ballina (A),2013,"17,752",43,"780,465,568","36,671","43,965",66.1,"4,831",51,"88,472,840","8,245","18,314",10.7,"16,691",52,"149,888,187",577,"8,980",19.7,"1,036",59,"27,094,640","19,588","26,153",2.6,"22,240",49,"1,028,657,336","36,520","46,253",5.56,1.91,0.34,0.13,0.498,9,22.4,33.6,31.4,29.3,22,17.4,"1,697",55.1,"1,708","32,466","6,163",27,581,368,517,"2,059","1,542",499,-,312,286,"3,353","2,674",-,-,-,-,-,-,-,-
10250,Ballina (A),2014,"18,503",43,"837,842,864","37,805","45,281",66.7,"4,918",52,"103,986,173","9,452","21,144",10.7,"17,339",52,"152,993,038",555,"8,824",19.3,"1,057",59,"28,038,661","20,000","26,527",2.6,"22,990",49,"1,103,019,924","37,741","47,978",5.57,1.94,0.35,0.13,0.486,8.1,21.5,32.7,30.8,29.2,21.9,18.1,"1,881",62.4,"3,087","33,158","6,329",24,551,355,554,"2,090","1,570",527,-,269,252,"3,384","2,695",-,-,-,-,-,-,-,-
10250,Ballina (A),2015,"19,288",43,"890,858,622","38,805","46,187",66.1,"5,024",52,"115,372,608","10,408","22,964",11.1,"18,017",52,"165,668,170",525,"9,195",19.5,"1,024",59,"29,312,889","20,771","28,626",2.5,"23,555",49,"1,159,458,563","38,458","49,223",5.54,1.94,0.35,0.13,0.488,8,21.6,32.9,30.9,29.4,21.6,18.1,"2,038",68.1,"4,032","33,417","6,634",24,499,322,577,"2,026","1,529",487,-,251,225,"3,209","2,578",-,-,-,-,-,-,-,-
10250,Ballina (A),2016,"19,767",43,"950,952,218","40,397","48,108",66.4,"5,158",51,"134,232,566","12,443","26,024",11.6,"18,510",52,"170,579,262",472,"9,216",18.9,"1,012",59,"29,211,375","20,784","28,865",2.4,"24,406",48,"1,248,911,041","39,782","51,172",5.52,1.95,0.35,0.13,0.488,8.4,21.7,33,30,28.8,22.6,18.6,"2,126",80.8,"3,467","37,992","6,906",23,478,294,550,"1,889","1,510",457,-,186,182,"3,148","2,417",32.2,27.8,18.6,3.2,2.1,5.5,0.3,745
