,Residential Property Price Index ;  Sydney ;,Residential Property Price Index ;  Melbourne ;,Residential Property Price Index ;  Brisbane ;,Residential Property Price Index ;  Adelaide ;,Residential Property Price Index ;  Perth ;,Residential Property Price Index ;  Hobart ;,Residential Property Price Index ;  Darwin ;,Residential Property Price Index ;  Canberra ;,Residential Property Price Index ;  Weighted average of eight capital cities ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Perth ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Hobart ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Darwin ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Canberra ;,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Weighted average of eight capital cities ;,Residential Property Price Index percentage change from previous quarter ;  Sydney ;,Residential Property Price Index percentage change from previous quarter ;  Melbourne ;,Residential Property Price Index percentage change from previous quarter ;  Brisbane ;,Residential Property Price Index percentage change from previous quarter ;  Adelaide ;,Residential Property Price Index percentage change from previous quarter ;  Perth ;,Residential Property Price Index percentage change from previous quarter ;  Hobart ;,Residential Property Price Index percentage change from previous quarter ;  Darwin ;,Residential Property Price Index percentage change from previous quarter ;  Canberra ;,Residential Property Price Index percentage change from previous quarter ;  Weighted average of eight capital cities ;
Unit,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003,Sep-2003
Series End,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018
No. Obs,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Series ID,A83728383L,A83728392R,A83728401F,A83728410J,A83728419C,A83728428F,A83728437J,A83728446K,A83728455L,A83728389A,A83728398C,A83728407V,A83728416W,A83728425X,A83728434A,A83728443C,A83728452F,A83728461J,A83728386V,A83728395W,A83728404L,A83728413R,A83728422T,A83728431V,A83728440W,A83728449T,A83728458V
Sep-2003,85.3,60.7,64.2,62.2,48.3,61.2,40.5,68.3,69.0,,,,,,,,,,,,,,,,,,
Dec-2003,88.2,62.1,69.4,63.9,50.6,66.5,43.3,70.9,71.6,,,,,,,,,,3.4,2.3,8.1,2.7,4.8,8.7,6.9,3.8,3.8
Mar-2004,87.0,60.8,70.7,64.8,52.5,68.7,45.5,69.9,71.3,,,,,,,,,,-1.4,-2.1,1.9,1.4,3.8,3.3,5.1,-1.4,-0.4
Jun-2004,84.4,60.9,71.7,65.9,53.7,71.8,45.2,70.1,70.6,,,,,,,,,,-3.0,0.2,1.4,1.7,2.3,4.5,-0.7,0.3,-1.0
Sep-2004,84.2,60.9,71.2,67.1,54.7,72.3,46.8,68.6,70.6,-1.3,0.3,10.9,7.9,13.3,18.1,15.6,0.4,2.3,-0.2,0.0,-0.7,1.8,1.9,0.7,3.5,-2.1,0.0
Dec-2004,84.8,62.4,72.0,68.6,57.1,74.6,49.7,69.7,71.8,-3.9,0.5,3.7,7.4,12.8,12.2,14.8,-1.7,0.3,0.7,2.5,1.1,2.2,4.4,3.2,6.2,1.6,1.7
Mar-2005,83.2,62.5,72.6,68.6,59.4,75.8,53.6,70.3,71.7,-4.4,2.8,2.7,5.9,13.1,10.3,17.8,0.6,0.6,-1.9,0.2,0.8,0.0,4.0,1.6,7.8,0.9,-0.1
Jun-2005,82.6,63.2,73.3,69.3,62.6,76.9,54.7,69.9,72.2,-2.1,3.8,2.2,5.2,16.6,7.1,21.0,-0.3,2.3,-0.7,1.1,1.0,1.0,5.4,1.5,2.1,-0.6,0.7
