,General government - National ;  Health ;,General government - National ;  Sickness benefits ;,General government - National ;  Benefits to ex-servicemen and their dependants ;,General government - National ;  Permanent disablement benefits ;,General government - National ;  Old age benefits ;,General government - National ;  Unemployment benefits ;,General government - National ;  Family and child benefits ;,General government - National ;  Other ;,General government - National ;  Total social security ;,General government - National ;  Other social assistance benefit payments ;,General government - National ;  Total personal benefits payments ;,General government - State and local ;  Total personal benefits payments ;,General government ;  Total personal benefits payments ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Sep-1961,Sep-1961,Sep-1961,Sep-1961,Sep-1961,Sep-1961,Sep-1961,Sep-1961,Sep-1961,Sep-1959,Sep-1959,Sep-1959,Sep-1959
Series End,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018
No. Obs,228,228,228,228,228,228,228,228,228,236,236,236,236
Series ID,A2301964W,A2301965X,A2301966A,A2301967C,A2301968F,A2301969J,A2301970T,A2301971V,A2301972W,A2301973X,A2301974A,A2301975C,A2301976F
Sep-1959,,,,,,,,,,5,145,5,150
Dec-1959,,,,,,,,,,6,155,5,160
Mar-1960,,,,,,,,,,5,144,5,149
Jun-1960,,,,,,,,,,6,156,6,162
Sep-1960,,,,,,,,,,5,156,6,162
Dec-1960,,,,,,,,,,6,165,6,171
Mar-1961,,,,,,,,,,6,159,6,165
Jun-1961,,,,,,,,,,7,179,6,185
Sep-1961,7,0,17,22,53,27,48,1,167,4,180,7,186
Dec-1961,7,0,19,23,56,27,49,1,174,4,186,7,192
Mar-1962,7,0,18,23,55,27,49,1,173,4,185,7,191
Jun-1962,7,0,19,24,59,27,49,1,179,4,191,7,198
Sep-1962,6,0,19,22,54,27,51,1,175,3,185,7,192
Dec-1962,7,0,19,24,58,27,50,1,180,4,192,8,200
Mar-1963,7,0,19,23,56,27,51,1,178,4,189,8,197
Jun-1963,8,0,19,25,60,27,50,1,182,4,195,8,202
Sep-1963,7,1,21,24,59,30,52,1,188,4,199,8,207
Dec-1963,8,1,22,26,63,30,52,1,194,5,208,9,217
Mar-1964,7,1,20,24,59,30,52,1,187,4,198,8,206
Jun-1964,8,1,20,30,72,30,66,1,219,5,234,10,244
Sep-1964,8,1,21,26,63,31,57,1,199,5,212,9,221
Dec-1964,8,1,22,28,68,31,60,1,210,6,224,10,233
Mar-1965,8,1,22,26,63,31,58,1,203,5,215,9,224
Jun-1965,8,1,22,29,69,31,58,1,211,6,223,10,232
Sep-1965,8,1,23,28,68,33,61,1,214,7,227,10,237
Dec-1965,9,1,23,28,67,33,63,1,215,7,229,11,240
Mar-1966,8,1,23,29,69,33,62,1,217,8,231,11,242
Jun-1966,9,1,23,30,72,33,61,1,220,8,236,11,248
Sep-1966,9,1,25,30,71,36,67,1,229,9,244,10,254
Dec-1966,9,1,25,30,71,36,64,1,227,9,242,12,253
Mar-1967,9,1,25,33,80,36,67,1,242,9,256,13,269
Jun-1967,10,1,25,32,76,36,68,1,238,10,254,12,266
Sep-1967,9,1,26,31,76,37,65,1,236,9,252,13,264
Dec-1967,9,1,26,31,75,37,67,1,236,9,251,14,266
Mar-1968,9,1,26,32,79,37,71,1,246,9,261,14,275
Jun-1968,10,1,25,33,80,37,71,1,247,10,263,14,277
