            Australian Bureau of Statistics,,,,
"5368.0.55.006 Characteristics of Australian Exporters, 2016-17",,,,
Released at 11.30am (Canberra time) 20 June 2018,,,,
"Table 1.2 Value of Goods Exports, by Value Range of Exports",,,,
,,,,
,2013-14 ,2014-15,2015-16,2016-17
Value of exports,$m,$m,$m,$m
Goods,,,,
$100m or more,"233,466","211,835","198,718","244,294"
$50m and less than $100m,"9,800","11,123","10,665","11,931"
$10m and less than $50m,"15,202","16,063","17,516","17,884"
$1m and less than $10m,"10,473","11,264","11,984","12,222"
"$750,000 and less than $1m",692,724,783,759
"$500,000 and less than $750,000",786,873,923,940
"$250,000 and less than $500,000","1,010","1,070","1,152","1,162"
"$100,000 and less than $250,000",794,864,906,907
"$10,000 and less than $100,000",634,665,701,703
"Less than $10,000",63,71,74,77
Total goods exporters,"272,921","254,551","243,423","290,880"
,,,,
"Where figures have been rounded, discrepancies may occur between sums of the component items and totals.",,,,
,,,,
,,,,
© Commonwealth of Australia 2018,,,,
