            Australian Bureau of Statistics,,,,,
"5368.0.55.006 Characteristics of Australian Exporters, 2016-17",,,,,
Released at 11.30am (Canberra time) 20 June 2018,,,,,
"Table 5.1 Number of Goods Exporters, by Industry of Exporter and Business Size",,,,,
,,,,,
,,2013-14,2014-15,2015-16,2016-17
Industry of exporter,Size of exporters (a),no.,no.,no.,no.
Goods exporters with a TAU (b),,,,,
"Agriculture, forestry and fishing",,,,,
,Large,90,100,113,110
,Medium,283,295,342,353
,Small,523,575,564,516
,Total,896,970,"1,019",979
Mining,,,,,
,Large,230,235,211,215
,Medium,126,119,125,104
,Small,120,132,132,148
,Total,476,486,468,467
Manufacturing,,,,,
,Large,"1,398","1,468","1,503","1,528"
,Medium,"3,591","3,642","3,683","3,679"
,Small,"3,793","3,946","3,939","3,879"
,Total,"8,782","9,056","9,125","9,086"
Construction,,,,,
,Large,218,243,228,240
,Medium,558,610,609,585
,Small,661,709,785,746
,Total,"1,437","1,562","1,622","1,571"
Wholesale Trade,,,,,
,Large,"1,773","1,854","1,943","2,051"
,Medium,"4,888","4,909","5,075","5,154"
,Small,"5,990","6,150","6,384","6,447"
,Total,"12,651","12,913","13,402","13,652"
Retail Trade,,,,,
,Large,461,479,508,515
,Medium,"1,216","1,317","1,491","1,536"
,Small,"2,321","2,465","2,621","2,717"
,Total,"3,998","4,261","4,620","4,768"
"Transport, postal and warehousing",,,,,
,Large,322,339,341,323
,Medium,460,478,502,478
,Small,524,562,618,601
,Total,"1,306","1,379","1,461","1,402"
Other (c),,,,,
,Large,"1,284","1,359","1,419","1,472"
,Medium,"2,570","2,713","2,941","2,920"
,Small,"4,948","5,234","5,496","5,252"
,Total,"8,802","9,306","9,856","9,644"
Total goods exporters with a TAU,,,,,
,Large,"5,776","6,077","6,266","6,454"
,Medium,"13,692","14,083","14,768","14,809"
,Small,"18,880","19,773","20,539","20,306"
,Total,"38,348","39,933","41,573","41,569"
Goods exporters without a TAU,,,,,
All Industries (d),,,,,
,Large,6,8,9,10
,Medium,37,43,59,45
,Small,"6,343","8,697","9,651","10,368"
,Total,"6,386","8,748","9,719","10,423"
Total goods exporters,,,,,
,Large,"5,782","6,085","6,275","6,464"
,Medium,"13,729","14,126","14,827","14,854"
,Small,"25,223","28,470","30,190","30,674"
,Total Goods Exporters,"44,734","48,681","51,292","51,992"
,,,,,
"Where figures have been rounded, discrepancies may occur between sums of the component items and totals.",,,,,
(a) Refer to Business size criteria in the Explanatory Notes of the publication.,,,,,
(b) Type of Activity Unit.,,,,,
"(c) Includes goods exporters in Electricity, gas, water and waste services; Accommodation and food services; Information media and telecommunications; Financial and insurance services; Rental, hiring and real estate services; Professional, scientific and technical services; Administrative and support services; Public administration and safety; Education and training; Health, care and social assistance; Arts and recreation services; as well as businesses that lack a classification under ANZSIC 2006 and businesses yet to confirm their main industry of activity with the Australian Taxation Office.",,,,,
(d) Industry of exporter is not available for exporters without a TAU.,,,,,
,,,,,
,,,,,
© Commonwealth of Australia 2018,,,,,
,,,,,
