            Australian Bureau of Statistics,,,,,,,,,,,,,,,
"5368.0.55.006 Characteristics of Australian Exporters, 2016-17",,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 July 2018,,,,,,,,,,,,,,,
"Table 9 Goods Exporters, by Country of Destination",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,2013-14 (TAU),,,,2014-15 (TAU),,,,2015-16 (TAU),,,,2016-17 (TAU),,
Country,Number of Exporters,Number of Transactions,Total Value of Exports (a),,Number of Exporters,Number of Transactions,Total Value of Exports (a),,Number of Exporters,Number of Transactions,Total Value of Exports (a),,Number of Exporters,Number of Transactions,Total Value of Exports (a)
,no.,no.,$m,,no.,no.,$m,,no.,no.,$m,,no.,no.,$m
AFGHANISTAN,37,117,5,,25,84,7,,26,80,18,,29,69,11
ALBANIA,20,62,3,,19,56,2,,21,76,3,,18,67,2
ALGERIA,33,79,46,,31,99,9,,31,188,14,,30,132,17
ANGOLA,70,207,8,,64,219,11,,44,122,6,,34,142,6
ANGUILLA,np,np,-,,np,np,-,,-,-,-,,-,-,-
ANTARCTICA,13,623,7,,19,607,8,,20,629,9,,15,596,7
ANTIGUA AND BARBUDA,13,35,-,,10,41,-,,11,44,-,,17,37,1
ARGENTINA,188,"2,126",132,,211,"1,311",223,,215,"1,012",261,,232,"1,139",268
ARMENIA,20,84,2,,29,70,1,,25,89,1,,21,94,1
AUSTRIA,399,"1,820",85,,403,"2,036",77,,435,"1,702",76,,412,"1,566",47
AZERBAIJAN,47,109,5,,53,248,13,,62,132,5,,45,169,6
BAHAMAS,22,133,4,,28,134,4,,32,176,5,,25,139,3
BAHRAIN,259,"5,883",707,,300,"5,488",884,,314,"5,866",771,,279,"5,279",899
BANGLADESH,231,"9,215",461,,268,"11,232",708,,306,"12,620",724,,336,"13,495","1,006"
BARBADOS,42,176,3,,45,224,3,,40,215,3,,42,212,2
BELARUS,9,65,1,,16,50,-,,12,20,-,,12,33,-
BELGIUM,813,"12,489","1,087",,835,"17,330","1,057",,880,"20,587","1,022",,894,"21,572","1,255"
BELIZE,8,16,-,,8,27,1,,6,13,1,,11,13,-
BENIN,15,61,1,,19,63,2,,12,50,1,,14,42,2
BERMUDA,16,147,-,,20,119,1,,36,165,1,,36,103,1
BHUTAN,13,28,-,,18,24,-,,22,31,-,,30,57,-
BOLIVIA,24,87,1,,26,41,1,,40,86,2,,52,97,3
BOSNIA AND HERZEGOVINA,10,14,1,,10,19,1,,14,45,1,,11,15,-
BOTSWANA,64,109,3,,49,130,6,,39,114,5,,50,113,2
BRAZIL,543,"5,031",772,,543,"4,237","1,190",,500,"2,877",965,,503,"3,424","1,518"
BRIT.IND.OCEAN TERRITORY,-,-,-,,-,-,-,,-,-,-,,-,-,-
BRUNEI DARUSSALAM,308,"9,895",39,,297,"9,605",46,,276,"10,481",45,,248,"9,989",40
BULGARIA,92,361,105,,92,418,147,,81,310,90,,90,346,54
BURKINA FASO,75,714,6,,75,428,12,,108,617,16,,145,895,17
BURUNDI,10,11,2,,9,9,1,,np,np,-,,np,np,-
CAMBODIA,207,"1,769",35,,240,"2,391",43,,232,"2,476",51,,230,"2,614",39
CAMEROON,41,67,2,,28,59,3,,23,58,6,,30,70,5
CANADA,"2,327","32,772","1,224",,"2,469","33,345","1,375",,"2,577","35,481","1,696",,"2,647","35,737","1,720"
CABO VERDE,-,-,-,,np,np,-,,np,np,-,,-,-,-
CAYMAN ISLANDS,8,114,-,,11,115,-,,12,107,-,,13,110,1
CENTRAL AFRICAN REPUB,np,np,-,,3,11,2,,6,44,3,,7,17,1
CHAD,16,79,1,,12,60,2,,np,np,3,,4,22,-
CHILE,579,"6,820",353,,550,"4,313",257,,541,"5,206",365,,550,"7,151",469
CHINA (EXCLUDING SARs AND TAIWAN),"5,893","144,815","91,441",,"6,231","164,654","74,814",,"7,078","206,946","74,860",,"7,214","245,990","94,997"
CHRISTMAS ISLAND,910,"6,395",57,,726,"4,506",30,,688,"3,649",31,,615,"4,310",39
COCOS (KEELING) ISLAND,336,"1,278",8,,288,"1,094",6,,334,"1,408",10,,325,"1,715",9
COLOMBIA,200,758,39,,191,967,33,,193,819,39,,218,"1,192",62
"COMOROS, REPUBLIC OF",np,np,-,,6,8,-,,np,np,-,,-,-,-
CONGO,26,40,1,,30,61,6,,22,57,2,,16,76,1
COOK ISLANDS,199,"1,463",6,,187,"1,199",10,,262,"1,133",8,,233,"3,419",8
COSTA RICA,48,219,3,,57,215,3,,56,325,8,,73,487,7
COTE D'IVOIRE,139,952,13,,132,668,12,,178,"1,118",17,,186,"1,362",40
CROATIA,75,104,2,,59,87,3,,68,115,11,,78,179,7
