            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Personal Income for Small Areas, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tuesday 19 June 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 ESTIMATES OF PERSONAL INCOME, Investment Income, 2011-16, Local Government Area (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,Median age of earners (years),,,,,,Income ($),,,,,,Median ($),,,,,,Mean ($),,,,,,Main source (% of earners) ,,,,,
LGA,LGA NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
10050,Albury (C)," 18,604 "," 19,035 "," 19,297 "," 19,603 "," 20,067 "," 20,093 ", 47 , 47 , 47 , 47 , 47 , 47 ," 135,312,253 "," 141,159,449 "," 145,921,348 "," 151,636,908 "," 168,507,390 "," 169,818,553 ", 307 , 303 , 299 , 304 , 277 , 262 ," 7,273 "," 7,416 "," 7,562 "," 7,735 "," 8,397 "," 8,452 ", 13.4 , 13.3 , 13.3 , 13.6 , 13.9 , 13.8 
10130,Armidale Regional (A)," 10,814 "," 11,068 "," 10,856 "," 11,088 "," 10,955 "," 11,201 ", 48 , 48 , 49 , 49 , 49 , 49 ," 73,212,860 "," 78,810,568 "," 81,156,159 "," 82,177,322 "," 88,782,252 "," 82,946,846 ", 398 , 364 , 438 , 453 , 487 , 396 ," 6,770 "," 7,121 "," 7,476 "," 7,411 "," 8,104 "," 7,405 ", 14.7 , 15.1 , 15.2 , 15.8 , 15.6 , 14.7 
10250,Ballina (A)," 16,474 "," 16,850 "," 16,691 "," 17,339 "," 18,017 "," 18,510 ", 51 , 51 , 52 , 52 , 52 , 52 ," 138,226,320 "," 137,374,613 "," 149,888,187 "," 152,993,038 "," 165,668,170 "," 170,579,262 ", 627 , 550 , 577 , 555 , 525 , 472 ," 8,391 "," 8,153 "," 8,980 "," 8,824 "," 9,195 "," 9,216 ", 19.9 , 19.9 , 19.7 , 19.3 , 19.5 , 18.9 
10300,Balranald (A), 725 , 726 , 732 , 771 , 764 , 781 , 49 , 49 , 50 , 49 , 50 , 49 ," 4,357,743 "," 5,248,517 "," 5,743,399 "," 4,963,832 "," 5,114,328 "," 6,477,254 ", 401 , 468 , 429 , 348 , 291 , 212 ," 6,011 "," 7,229 "," 7,846 "," 6,438 "," 6,694 "," 8,294 ", 12.7 , 11.1 , 12.2 , 10.3 , 11.9 , 10.5 
10470,Bathurst Regional (A)," 13,629 "," 14,166 "," 14,491 "," 14,426 "," 14,931 "," 15,045 ", 47 , 47 , 47 , 47 , 47 , 47 ," 77,979,982 "," 82,493,015 "," 86,752,057 "," 92,214,945 "," 98,054,992 "," 97,235,901 ", 275 , 270 , 272 , 270 , 247 , 208 ," 5,722 "," 5,823 "," 5,987 "," 6,392 "," 6,567 "," 6,463 ", 11.2 , 11.3 , 11.7 , 11.5 , 11.6 , 11.6 
10500,Bayside (A)," 50,015 "," 52,239 "," 53,574 "," 55,634 "," 60,766 "," 64,618 ", 42 , 42 , 42 , 42 , 41 , 40 ," 235,921,500 "," 254,586,075 "," 270,785,868 "," 298,636,852 "," 314,551,536 "," 315,249,750 ", 389 , 391 , 380 , 400 , 323 , 243 ," 4,717 "," 4,873 "," 5,054 "," 5,368 "," 5,176 "," 4,879 ", 10.3 , 10.2 , 10.2 , 10.0 , 10.3 , 10.1 
10550,Bega Valley (A)," 12,739 "," 13,301 "," 13,272 "," 13,453 "," 14,075 "," 14,058 ", 53 , 53 , 54 , 54 , 54 , 54 ," 95,931,233 "," 103,636,671 "," 101,720,123 "," 104,247,473 "," 111,394,258 "," 109,402,429 ", 653 , 614 , 564 , 608 , 542 , 506 ," 7,531 "," 7,792 "," 7,664 "," 7,749 "," 7,914 "," 7,782 ", 18.5 , 18.5 , 18.6 , 18.3 , 18.2 , 18.2 
10600,Bellingen (A)," 4,714 "," 4,720 "," 4,694 "," 4,712 "," 4,856 "," 4,950 ", 52 , 53 , 53 , 54 , 54 , 54 ," 26,811,822 "," 28,726,946 "," 29,181,167 "," 29,382,091 "," 30,403,407 "," 32,293,003 ", 588 , 543 , 515 , 576 , 527 , 476 ," 5,688 "," 6,086 "," 6,217 "," 6,236 "," 6,261 "," 6,524 ", 18.7 , 18.1 , 18.0 , 17.5 , 17.4 , 17.0 
10650,Berrigan (A)," 3,155 "," 3,250 "," 3,233 "," 3,278 "," 3,391 "," 3,134 ", 53 , 54 , 53 , 53 , 53 , 53 ," 24,042,893 "," 28,321,905 "," 27,579,476 "," 26,405,531 "," 29,268,352 "," 26,949,014 ", 852 , 776 , 825 , 755 , 640 , 468 ," 7,621 "," 8,714 "," 8,531 "," 8,055 "," 8,631 "," 8,599 ", 20.0 , 20.6 , 19.4 , 18.4 , 18.2 , 17.5 
