            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Personal Income for Small Areas, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tuesday 19 June 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 ESTIMATES OF PERSONAL INCOME, Total Income, 2011-16 Local Government Area (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,Median age of earners (years),,,,,,Income ($),,,,,,Median ($),,,,,,Mean ($),,,,,,,,,
LGA,LGA NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,,,,
10050,Albury (C)," 26,796 "," 26,948 "," 27,054 "," 27,381 "," 28,134 "," 28,814 ", 42 , 43 , 43 , 43 , 43 , 43 ," 1,270,000,000 "," 1,330,000,000 "," 1,370,000,000 "," 1,430,000,000 "," 1,510,000,000 "," 1,570,000,000 "," 39,888 "," 41,383 "," 42,556 "," 43,695 "," 44,586 "," 45,504 "," 47,474 "," 49,398 "," 50,704 "," 52,204 "," 53,775 "," 54,388 ",,,,
10130,Armidale Regional (A)," 14,536 "," 14,679 "," 14,623 "," 14,902 "," 15,124 "," 15,363 ", 45 , 45 , 46 , 46 , 45 , 45 ," 617,000,000 "," 653,000,000 "," 670,000,000 "," 695,000,000 "," 743,000,000 "," 773,000,000 "," 34,905 "," 36,245 "," 37,366 "," 38,249 "," 39,635 "," 40,733 "," 42,453 "," 44,456 "," 45,799 "," 46,641 "," 49,109 "," 50,284 ",,,,
10250,Ballina (A)," 22,250 "," 22,308 "," 22,240 "," 22,990 "," 23,555 "," 24,406 ", 48 , 48 , 49 , 49 , 49 , 48 ," 928,000,000 "," 974,000,000 "," 1,030,000,000 "," 1,100,000,000 "," 1,160,000,000 "," 1,250,000,000 "," 32,909 "," 34,565 "," 36,520 "," 37,741 "," 38,458 "," 39,782 "," 41,712 "," 43,656 "," 46,253 "," 47,978 "," 49,223 "," 51,172 ",,,,
10300,Balranald (A)," 1,120 "," 1,105 "," 1,130 "," 1,156 "," 1,147 "," 1,167 ", 46 , 46 , 45 , 45 , 46 , 45 ," 45,412,232 "," 49,187,688 "," 49,504,846 "," 49,188,074 "," 54,157,835 "," 60,805,605 "," 34,589 "," 36,824 "," 36,377 "," 38,656 "," 41,600 "," 42,282 "," 40,547 "," 44,514 "," 43,810 "," 42,550 "," 47,217 "," 52,104 ",,,,
10470,Bathurst Regional (A)," 20,041 "," 20,398 "," 20,543 "," 20,703 "," 21,192 "," 21,410 ", 43 , 43 , 43 , 44 , 44 , 44 ," 972,000,000 "," 1,040,000,000 "," 1,080,000,000 "," 1,120,000,000 "," 1,180,000,000 "," 1,220,000,000 "," 40,820 "," 43,341 "," 44,275 "," 45,164 "," 46,456 "," 47,746 "," 48,506 "," 51,228 "," 52,736 "," 54,031 "," 55,531 "," 57,023 ",,,,
10500,Bayside (A)," 75,792 "," 76,960 "," 78,583 "," 81,239 "," 86,552 "," 91,565 ", 39 , 40 , 40 , 40 , 39 , 38 ," 3,710,000,000 "," 3,940,000,000 "," 4,180,000,000 "," 4,470,000,000 "," 4,860,000,000 "," 5,270,000,000 "," 40,712 "," 42,957 "," 44,793 "," 45,985 "," 46,894 "," 47,809 "," 48,898 "," 51,165 "," 53,234 "," 55,051 "," 56,194 "," 57,503 ",,,,
10550,Bega Valley (A)," 17,597 "," 17,845 "," 17,726 "," 17,941 "," 18,447 "," 18,771 ", 50 , 50 , 51 , 51 , 51 , 51 ," 684,000,000 "," 728,000,000 "," 748,000,000 "," 780,000,000 "," 822,000,000 "," 856,000,000 "," 32,124 "," 33,355 "," 34,514 "," 35,737 "," 36,358 "," 37,270 "," 38,883 "," 40,810 "," 42,171 "," 43,457 "," 44,538 "," 45,592 ",,,,
10600,Bellingen (A)," 6,432 "," 6,434 "," 6,380 "," 6,575 "," 6,639 "," 6,774 ", 49 , 50 , 50 , 50 , 51 , 51 ," 227,000,000 "," 243,000,000 "," 252,000,000 "," 269,000,000 "," 282,000,000 "," 304,000,000 "," 28,659 "," 30,259 "," 32,008 "," 32,939 "," 34,248 "," 35,835 "," 35,350 "," 37,728 "," 39,435 "," 40,958 "," 42,495 "," 44,878 ",,,,
10650,Berrigan (A)," 4,488 "," 4,535 "," 4,490 "," 4,556 "," 4,590 "," 4,286 ", 49 , 49 , 49 , 49 , 49 , 48 ," 170,000,000 "," 178,000,000 "," 185,000,000 "," 199,000,000 "," 215,000,000 "," 202,000,000 "," 31,370 "," 32,456 "," 34,409 "," 36,964 "," 38,633 "," 38,513 "," 37,850 "," 39,240 "," 41,303 "," 43,691 "," 46,733 "," 47,182 ",,,,
10750,Blacktown (C)," 150,773 "," 153,738 "," 157,330 "," 162,615 "," 170,908 "," 179,359 ", 39 , 39 , 39 , 39 , 39 , 38 ," 7,190,000,000 "," 7,670,000,000 "," 8,180,000,000 "," 8,650,000,000 "," 9,280,000,000 "," 10,100,000,000 "," 43,716 "," 45,630 "," 47,309 "," 48,236 "," 49,080 "," 50,647 "," 47,689 "," 49,920 "," 51,972 "," 53,203 "," 54,326 "," 56,139 ",,,,
10800,Bland (A)," 3,082 "," 3,156 "," 3,189 "," 3,147 "," 3,132 "," 3,006 ", 46 , 47 , 47 , 48 , 48 , 48 ," 153,000,000 "," 141,000,000 "," 146,000,000 "," 165,000,000 "," 162,000,000 "," 157,000,000 "," 36,957 "," 35,516 "," 35,746 "," 38,576 "," 39,540 "," 40,728 "," 49,512 "," 44,693 "," 45,895 "," 52,290 "," 51,664 "," 52,215 ",,,,
