Australian Bureau of Statistics,,,,,,,,,,
"81550DO001_201617 Australian Industry, 2016-17",,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 25 May 2018,,,,,,,,,,
Table 6 States and territories by industry division,,,,,,,,,,
,Employment at end of June,,,Wages and salaries,,,Sales and service income,,,
,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,
,'000,'000,'000,$m,$m,$m,$m,$m,$m,
NEW SOUTH WALES,,,,,,,,,,
"Agriculture, forestry and fishing",129,127,126,"1,797","1,903","1,946","20,844","22,296","24,658",
Mining,28,25,24,"3,710","3,467","3,271","26,054","24,460","27,902",
Manufacturing,253,248,249,"16,408","16,360","16,476","104,149","105,905","108,133",
"Electricity, gas, water and waste services",33,30,30,"3,439","3,131","3,186","28,822","28,442","30,771",
Construction,323,320,337,"15,923","16,479","17,789","109,326","113,759","122,035",
Wholesale trade,216,210,217,"14,824","15,592","15,940","158,518","167,743","181,639",
Retail trade,410,416,427,"13,072","13,725","14,264","126,305","132,025","137,538",
Accommodation and food services,330,333,343,"8,100","8,482","8,904","33,557","34,630","36,581",
"Transport, postal and warehousing",186,192,201,"10,255","10,802","11,506","49,429","51,332","56,003",
Information media and telecommunications,73,77,79,"6,258","6,843","7,013","33,242","35,158","35,630",
"Rental, hiring and real estate services",141,144,146,"5,191","5,628","5,917","47,879","51,690","55,288",
"Professional, scientific and technical services",347,376,392,"24,929","27,198","28,649","70,850","75,294","82,452",
Administrative and support services,299,308,306,"14,240","14,978","15,313","30,680","32,441","31,997",
Public administration and safety (private),26,23,24,"1,229","1,206","1,238","3,378","3,350","3,359",
Education and training (private),134,138,142,"6,379","6,961","7,099","7,304","8,879","8,937",
Health care and social assistance (private),345,349,359,"14,990","15,454","16,232","31,249","29,921","30,965",
Arts and recreation services,61,61,62,"1,836","1,869","1,944","9,103","9,535","10,109",
Other services,154,160,156,"5,785","6,174","6,211","17,315","17,663","18,943",
Total selected industries,"3,488","3,536","3,619","168,366","176,253","182,897","908,006","944,525","1,002,940",
VICTORIA,,,,,,,,,,
"Agriculture, forestry and fishing",114,109,110,"1,609","1,755","1,808","18,403","18,768","20,518",
Mining,7,7,7,929,"1,013","1,007","6,613","5,611","5,892",
Manufacturing,246,247,250,"16,046","16,411","16,936","102,768","102,823","102,572",
