Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,0,0,0,0,5,5,3,3,6,20,26,27,40,38,31,13,21,14,0,78,7,0,334,
"Barkly (R)",0,0,0,0,0,6,0,4,4,5,9,0,7,3,3,4,6,0,0,5,0,0,13,8,0,65,
"Belyuen (S)",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Central Desert (R)",0,0,0,0,0,0,0,3,8,5,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,39,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,14,
"Darwin (C)",4,5,0,0,0,0,5,11,21,22,35,33,43,105,114,118,101,76,49,91,46,19,237,9,0,1140,
"East Arnhem (R)",0,0,0,5,0,0,0,4,8,10,0,6,0,0,3,0,0,0,0,0,0,0,8,24,0,82,
"Katherine (T)",0,0,0,0,6,0,0,4,0,0,0,11,0,14,12,13,9,9,5,8,4,0,19,3,0,119,
"Litchfield (M)",0,0,0,0,0,0,3,4,6,14,9,15,20,32,35,35,30,30,31,26,14,7,106,8,0,426,
"MacDonnell (R)",0,0,0,4,0,0,3,5,5,3,5,4,0,0,0,0,0,3,0,0,0,0,5,4,0,49,
"Palmerston (C)",0,0,0,0,0,0,0,6,4,9,14,16,15,41,58,41,38,33,26,30,23,5,79,7,0,443,
"Roper Gulf (R)",0,0,0,0,3,0,4,7,3,4,4,5,0,4,3,5,0,0,0,0,0,0,15,0,0,58,
"Tiwi Islands (R)",0,0,0,0,3,0,4,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,
"Victoria Daly (R)",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,19,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,
"West Arnhem (R)",0,0,0,3,0,0,0,9,9,4,8,5,0,3,0,0,0,0,0,0,0,0,4,0,0,46,
"West Daly (R)",0,0,0,0,0,0,4,4,0,4,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,33,
"Unincorporated NT",0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,3,6,7,9,7,0,12,0,0,52,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",4,5,3,19,8,13,33,82,80,97,101,116,115,242,258,270,227,188,130,174,107,28,585,81,0,2966,


" Couple family with: One dependent child"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,3,0,8,6,10,18,29,46,54,57,143,108,78,51,22,16,22,12,0,118,22,0,829,
"Barkly (R)",0,0,4,10,0,29,8,15,10,19,11,8,11,18,13,11,5,7,3,0,4,0,25,11,0,202,
"Belyuen (S)",0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"Central Desert (R)",0,0,0,4,0,23,10,18,19,15,10,3,9,5,0,0,0,0,0,0,0,0,7,0,0,126,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,0,25,
"Darwin (C)",0,9,5,9,7,24,23,50,57,134,175,151,173,444,333,265,235,137,125,136,81,15,340,27,0,2924,
"East Arnhem (R)",0,3,9,14,0,66,18,22,24,12,13,12,5,7,4,0,5,0,0,0,0,0,14,75,0,307,
"Katherine (T)",0,0,0,4,0,4,3,0,10,11,20,15,17,46,40,21,17,9,4,4,10,0,48,3,0,271,
"Litchfield (M)",0,0,3,0,0,5,3,5,11,16,36,30,25,101,81,79,74,32,25,38,20,0,93,8,0,689,
"MacDonnell (R)",0,0,7,12,3,35,13,13,7,9,6,5,0,3,5,4,4,0,0,0,0,0,13,10,0,147,
"Palmerston (C)",0,9,6,3,3,8,16,12,24,45,45,80,97,224,194,158,151,66,63,48,29,4,164,17,0,1467,
"Roper Gulf (R)",0,0,12,17,4,50,18,11,17,18,13,8,6,4,3,0,0,0,0,0,0,0,32,17,0,222,
"Tiwi Islands (R)",0,0,12,8,5,11,3,11,8,7,3,0,3,9,0,0,0,0,0,0,0,0,7,0,0,80,
"Victoria Daly (R)",0,0,0,0,0,14,8,9,3,0,0,3,0,9,0,0,3,0,0,0,0,0,5,0,0,55,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,
"West Arnhem (R)",0,0,13,26,3,40,16,17,25,14,9,10,10,15,10,5,9,3,0,0,0,0,30,20,0,264,
"West Daly (R)",0,0,6,16,4,11,12,8,6,8,0,0,8,0,3,0,0,0,0,0,0,0,6,0,0,84,
"Unincorporated NT",0,0,0,0,0,0,4,3,3,12,11,7,15,45,22,18,14,11,9,4,5,0,21,15,0,215,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",4,22,78,106,28,321,142,205,245,340,392,387,424,1063,829,640,557,287,253,258,153,12,940,216,0,7925,


" Couple family with: Two dependent children"
