Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Adelaide (C)",3,0,0,0,0,0,0,0,3,7,3,3,0,14,8,6,5,6,6,8,4,6,27,0,0,114,
"Adelaide Hills (DC)",0,0,0,0,0,0,9,6,18,36,43,46,48,93,131,95,51,40,36,40,20,8,214,3,0,941,
"Alexandrina (DC)",0,0,0,0,0,0,5,11,24,23,41,36,26,62,53,25,19,5,6,14,4,0,119,9,0,487,
"Anangu Pitjantjatjara (AC)",0,0,0,0,0,0,0,4,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,27,
"Barossa (DC)",0,0,0,3,0,0,10,5,14,27,41,34,39,66,55,36,27,26,6,11,7,6,82,0,0,496,
"Barunga West (DC)",0,0,0,0,0,0,0,0,0,4,0,0,3,9,3,3,0,0,4,0,0,0,7,0,0,43,
"Berri and Barmera (DC)",0,0,0,0,0,0,0,0,9,15,10,17,14,32,31,12,6,8,3,4,0,0,25,5,0,197,
"Burnside (C)",3,0,0,0,0,3,3,4,15,26,21,33,30,69,61,62,41,32,37,56,68,16,177,3,0,768,
"Campbelltown (C)",0,5,0,0,0,9,8,25,37,78,74,77,76,164,137,110,59,46,38,29,23,3,243,16,0,1271,
"Ceduna (DC)",0,0,0,0,0,0,0,0,0,4,4,0,0,3,6,5,3,0,0,0,0,0,8,0,0,49,
