Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Break O'Day (M)",0,0,0,0,0,0,3,0,10,8,11,3,0,11,9,9,0,0,0,0,0,0,22,3,0,93,
"Brighton (M)",0,0,0,0,0,0,5,6,9,27,25,27,23,53,38,16,20,9,3,3,0,0,53,7,0,326,
"Burnie (C)",0,0,0,0,0,0,3,8,17,27,22,26,26,37,27,30,17,10,9,4,0,0,56,10,0,325,
"Central Coast (M)",0,0,0,0,0,0,3,7,20,29,28,32,29,75,46,39,22,12,4,4,0,0,81,9,0,444,
"Central Highlands (M)",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,
"Circular Head (M)",0,0,0,0,0,0,4,3,9,10,12,15,11,19,14,9,3,0,0,0,0,3,15,0,0,130,
"Clarence (C)",0,0,3,3,3,0,6,8,33,57,71,62,71,162,119,110,61,39,34,34,10,0,208,13,0,1104,
"Derwent Valley (M)",0,0,0,0,0,0,4,6,13,24,21,10,28,33,27,16,11,0,3,0,0,3,40,4,0,248,
"Devonport (C)",0,0,0,0,0,0,3,11,13,47,33,41,28,67,47,24,22,10,9,5,0,0,75,3,0,438,
"Dorset (M)",0,0,0,0,4,3,5,5,7,7,6,8,10,12,18,9,7,3,0,0,0,0,20,0,0,116,
"Flinders (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,
"George Town (M)",0,0,0,0,0,0,0,3,3,10,14,11,10,20,4,8,0,0,0,0,0,0,31,0,0,120,
"Glamorgan/Spring Bay (M)",0,0,0,0,0,0,0,0,3,3,0,3,5,4,4,6,0,0,0,0,0,0,16,3,0,58,
"Glenorchy (C)",0,0,0,0,0,5,8,14,28,69,73,59,79,122,103,46,39,12,16,20,4,0,130,12,0,839,
"Hobart (C)",0,0,0,0,0,0,0,3,12,27,32,31,32,66,64,53,43,29,26,25,31,6,133,8,0,625,
"Huon Valley (M)",0,0,0,0,3,0,3,12,17,18,21,21,16,54,33,26,4,3,0,0,0,0,48,11,0,307,
"Kentish (M)",0,0,0,0,0,4,0,0,4,8,14,7,7,24,20,5,3,0,0,0,0,0,27,0,0,130,
"King Island (M)",0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,5,0,0,0,0,3,0,0,25,
"Kingborough (M)",0,0,0,0,0,4,3,3,10,37,36,39,41,92,63,61,44,22,20,14,4,0,123,3,0,631,
"Latrobe (M)",0,0,5,6,0,0,0,9,7,12,11,14,22,29,24,15,10,8,4,0,0,0,43,0,0,214,
"Launceston (C)",0,0,0,0,6,0,7,29,35,83,81,92,80,132,114,79,40,26,10,15,4,5,167,9,0,1031,
"Meander Valley (M)",0,0,0,0,0,0,0,5,11,35,38,32,24,47,51,27,26,5,9,3,0,0,76,11,0,421,
"Northern Midlands (M)",0,0,0,0,0,0,3,8,10,18,22,21,22,36,43,23,10,4,4,0,0,0,41,9,0,274,
"Sorell (M)",0,0,0,0,0,7,0,15,5,13,20,21,21,46,27,21,14,9,3,9,4,0,51,7,0,293,
