Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Albany (C)",0,0,0,0,0,4,0,14,18,44,42,36,42,99,68,62,26,20,15,12,6,4,112,7,0,642,
"Armadale (C)",0,0,3,4,7,4,16,19,41,89,94,91,75,184,167,146,91,95,59,66,19,3,339,33,0,1650,
"Ashburton (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,7,0,4,3,0,9,0,0,43,
"Augusta-Margaret River (S)",0,0,0,0,0,0,0,0,8,4,9,8,7,26,14,13,4,3,7,0,0,6,40,6,0,167,
"Bassendean (T)",0,0,0,3,0,0,0,4,6,12,15,18,20,32,30,24,25,11,9,8,6,0,63,0,0,289,
"Bayswater (C)",0,0,0,6,0,6,15,23,28,65,73,70,70,160,120,108,73,61,41,48,27,5,230,18,0,1245,
"Belmont (C)",0,0,0,0,0,3,3,10,13,34,22,35,31,80,59,47,33,17,23,18,8,0,105,8,0,565,
"Beverley (S)",0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,13,0,0,27,
"Boddington (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,13,4,0,36,
"Boyup Brook (S)",0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,4,0,0,21,
"Bridgetown-Greenbushes (S)",0,0,0,0,0,0,0,3,0,3,3,3,0,5,7,5,0,4,0,0,0,0,14,0,0,64,
"Brookton (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,12,
"Broome (S)",0,0,0,0,0,0,0,5,7,8,10,5,10,15,22,19,14,4,4,10,3,4,41,0,0,167,
"Broomehill-Tambellup (S)",0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,0,0,0,0,0,0,8,0,0,15,
"Bruce Rock (S)",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,17,
"Bunbury (C)",0,0,0,0,0,0,3,6,16,31,33,37,29,71,38,49,28,20,8,22,12,8,120,7,0,547,
"Busselton (C)",0,0,0,3,3,0,3,6,16,29,31,47,33,62,79,55,34,14,9,9,8,4,147,3,0,591,
"Cambridge (T)",0,0,0,0,0,0,0,0,0,10,11,9,9,20,33,30,32,33,29,34,35,22,114,3,0,434,
"Canning (C)",3,10,0,7,6,4,14,28,41,65,84,104,100,215,180,174,135,82,85,95,50,20,397,20,0,1923,
"Capel (S)",0,0,0,0,0,0,3,3,0,15,8,22,18,34,25,34,17,15,13,13,3,5,82,6,0,308,
"Carnamah (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"Carnarvon (S)",0,0,0,0,0,0,0,0,4,6,5,3,6,6,9,12,4,0,4,0,0,0,22,3,0,93,
"Chapman Valley (S)",0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,0,0,0,7,0,0,26,
"Chittering (S)",0,0,0,0,0,0,0,0,4,0,6,6,9,15,11,7,7,10,10,0,0,0,40,3,0,139,
"Claremont (T)",0,0,0,0,0,0,0,0,0,0,11,0,4,11,14,3,6,8,0,25,21,3,33,0,0,136,
"Cockburn (C)",0,3,3,7,3,10,19,34,57,99,96,103,98,227,258,222,161,108,105,87,59,15,535,22,0,2345,
"Collie (S)",0,0,0,0,0,0,0,9,5,12,14,13,9,20,17,15,17,13,8,18,4,0,44,3,0,218,
"Coolgardie (S)",0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,9,0,3,0,5,0,0,12,0,0,44,
"Coorow (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,
"Corrigin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,10,
"Cottesloe (T)",0,0,0,0,0,0,0,6,4,4,0,0,4,7,5,8,10,11,8,14,13,6,31,0,0,131,
"Cranbrook (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,4,0,0,16,
"Cuballing (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,
"Cue (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Cunderdin (S)",0,0,0,0,0,0,0,0,0,3,5,3,0,5,0,3,0,0,0,7,0,0,8,5,0,35,
"Dalwallinu (S)",5,0,0,0,0,0,0,0,0,0,3,3,0,10,3,0,0,0,0,0,0,3,3,0,0,28,
"Dandaragan (S)",0,0,0,0,0,0,0,7,3,4,0,0,0,8,8,7,5,3,0,0,0,0,10,0,0,49,
"Dardanup (S)",0,0,0,0,0,0,0,0,7,7,8,18,16,31,40,30,25,10,7,8,7,0,56,4,0,268,
"Denmark (S)",0,0,0,0,0,0,0,0,0,9,9,0,5,15,3,6,0,4,0,0,0,0,35,0,0,92,
"Derby-West Kimberley (S)",0,0,0,0,0,0,0,5,6,9,6,3,0,3,5,5,4,0,4,3,0,0,8,0,0,65,
"Donnybrook-Balingup (S)",0,0,0,3,0,0,0,9,0,6,3,3,9,9,7,13,4,5,0,6,0,0,26,0,0,102,
"Dowerin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,
"Dumbleyung (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,13,
"Dundas (S)",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"East Fremantle (T)",0,0,0,0,0,0,0,0,3,6,3,6,5,9,9,8,10,8,7,13,8,3,31,0,0,125,
"East Pilbara (S)",0,0,0,0,0,0,0,0,0,5,3,0,4,6,3,6,4,3,0,4,0,0,10,5,0,58,
"Esperance (S)",0,0,0,0,0,0,0,0,4,3,16,11,6,28,31,19,10,6,5,11,3,5,62,0,0,239,
"Exmouth (S)",0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,0,4,0,0,7,0,0,27,
"Fremantle (C)",0,3,0,6,0,0,3,11,11,21,23,20,26,32,32,38,39,17,24,22,17,7,124,3,0,482,
"Gingin (S)",0,0,0,0,0,6,5,0,0,6,4,5,4,9,7,4,3,4,0,0,0,0,29,0,0,88,
"Gnowangerup (S)",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,9,0,0,23,
"Goomalling (S)",0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,3,0,0,5,3,0,0,19,
"Gosnells (C)",3,8,0,3,4,17,22,32,68,126,164,160,133,339,307,252,174,98,86,77,40,3,500,35,0,2649,
"Greater Geraldton (C)",0,3,0,3,0,8,5,4,21,30,34,33,32,87,64,59,38,27,26,23,8,9,197,9,0,715,
"Halls Creek (S)",0,0,0,0,0,0,0,3,3,7,3,0,0,0,0,0,3,0,0,0,0,0,3,4,0,27,
"Harvey (S)",0,0,0,0,0,0,0,12,7,20,23,33,28,57,48,61,37,16,24,16,3,6,140,14,0,548,
"Irwin (S)",0,0,0,0,0,0,0,4,6,3,7,3,0,3,4,4,3,0,0,4,0,0,26,0,0,65,
"Jerramungup (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,14,
"Joondalup (C)",4,0,3,9,10,10,16,43,69,133,180,166,174,453,440,409,303,252,224,276,148,43,1022,48,0,4441,
"Kalamunda (S)",0,3,0,4,5,4,3,16,18,64,54,70,57,164,145,144,100,88,45,77,43,15,327,23,0,1469,
"Kalgoorlie/Boulder (C)",0,0,0,0,0,4,3,8,0,6,6,12,16,43,45,41,45,41,23,43,22,3,108,3,0,479,
"Karratha (C)",0,0,0,3,0,0,0,0,4,4,5,0,3,15,15,13,21,9,17,35,24,7,54,4,0,237,
"Katanning (S)",0,0,0,0,0,0,0,0,5,4,5,9,3,9,6,3,4,5,0,3,5,0,14,0,0,85,
"Kellerberrin (S)",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,
"Kent (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,12,
"Kojonup (S)",0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,8,3,4,0,0,0,0,4,0,0,36,
"Kondinin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,0,15,
"Koorda (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,
"Kulin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,
"Kwinana (C)",0,0,0,0,0,0,3,7,20,31,51,49,44,74,81,63,23,26,15,21,3,0,132,14,0,655,
"Lake Grace (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,5,0,0,21,
"Laverton (S)",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"Leonora (S)",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"Mandurah (C)",0,6,6,3,4,12,14,21,46,85,72,71,68,143,113,134,92,60,60,48,31,7,385,19,0,1489,
"Manjimup (S)",0,0,0,0,0,0,0,5,4,9,10,12,10,17,17,14,13,0,4,0,0,0,30,4,0,150,
