Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Albury (C)",0,0,0,0,0,3,6,10,24,43,53,50,48,109,95,75,45,27,16,8,6,6,147,20,0,795,
"Armidale Regional (A)",0,0,0,0,0,0,0,16,18,31,21,39,22,51,49,37,16,10,12,10,4,8,67,6,0,414,
"Ballina (A)",0,0,0,0,0,5,7,8,18,54,57,58,64,100,79,53,34,15,12,18,11,8,154,9,0,761,
"Balranald (A)",0,0,0,0,0,0,0,0,4,0,6,3,7,3,4,5,0,0,4,0,0,0,10,0,0,49,
"Bathurst Regional (A)",0,0,0,0,0,3,12,8,23,51,33,40,38,95,87,68,41,28,21,12,11,3,143,11,0,729,
"Bega Valley (A)",0,0,0,0,0,6,4,9,28,48,48,45,50,88,45,29,16,11,13,3,3,4,119,0,0,559,
"Bellingen (A)",0,0,0,0,0,6,0,12,13,15,20,20,19,31,17,13,4,5,0,0,0,6,40,0,0,218,
"Berrigan (A)",0,0,0,0,0,0,6,3,8,8,16,8,6,22,15,4,4,0,0,3,0,0,23,0,0,130,
"Blacktown (C)",14,35,7,24,20,42,68,131,201,432,473,499,554,1116,1020,873,613,455,354,352,168,34,1497,115,0,9098,
"Bland (A)",0,0,0,0,0,0,0,0,3,11,7,5,0,12,8,4,5,3,0,6,0,0,17,0,0,89,
"Blayney (A)",0,0,0,0,0,0,0,5,0,9,11,10,7,14,13,10,9,7,4,0,0,0,25,0,0,140,
"Blue Mountains (C)",0,0,0,4,0,4,12,21,39,83,93,87,93,192,209,147,125,85,77,86,52,11,326,24,0,1768,
"Bogan (A)",0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,4,0,0,0,0,0,0,25,0,0,47,
"Botany Bay (C)",0,3,0,3,3,4,4,14,27,40,64,55,69,139,104,90,70,35,25,37,25,9,200,17,0,1035,
"Bourke (A)",0,0,0,0,0,0,0,0,0,4,5,0,4,0,4,3,0,0,0,0,0,0,6,0,0,28,
"Brewarrina (A)",0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,12,
"Broken Hill (C)",0,0,0,0,0,0,6,7,22,31,22,19,26,28,38,29,15,18,3,17,0,0,74,8,0,369,
"Burwood (A)",0,0,0,0,0,0,10,13,29,42,39,43,31,96,89,82,40,48,30,42,26,11,134,10,0,815,
"Byron (A)",0,0,0,3,4,5,0,3,19,30,33,39,22,63,53,38,16,6,7,5,0,3,112,9,0,473,
"Cabonne (A)",0,6,0,0,0,0,5,5,4,20,18,15,10,39,43,29,20,11,3,0,0,6,44,8,0,278,
