Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Aurukun (S)",0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
"Balonne (S)",0,0,0,0,0,0,0,3,0,7,5,0,4,4,9,4,4,3,0,0,0,0,21,3,0,74,
"Banana (S)",0,0,0,4,0,0,0,10,7,11,17,19,12,19,24,34,20,13,5,12,4,0,55,7,0,265,
"Barcaldine (R)",0,0,0,0,0,0,0,0,0,0,4,0,3,10,5,6,3,0,0,3,0,0,13,0,0,57,
"Barcoo (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,
"Blackall-Tambo (R)",0,0,0,0,0,0,0,0,0,8,3,0,0,3,5,0,0,0,0,0,0,0,6,0,0,34,
"Boulia (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,
"Brisbane (C)",20,42,20,41,33,68,106,243,426,880,939,976,1005,2263,1838,1619,1223,963,753,963,703,240,3450,195,0,19023,
"Bulloo (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Bundaberg (R)",0,0,4,6,4,11,20,52,86,184,141,148,96,204,159,83,70,42,17,15,11,6,283,32,0,1665,
"Burdekin (S)",0,0,0,0,0,0,3,4,10,23,23,37,26,63,36,40,26,22,9,7,4,5,78,9,0,427,
"Burke (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,6,
"Cairns (R)",0,4,4,6,3,14,18,39,57,132,133,148,127,334,257,194,141,71,42,65,24,12,478,27,0,2334,
"Carpentaria (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,8,0,0,21,
"Cassowary Coast (R)",0,0,0,0,5,0,6,10,24,36,41,41,32,58,53,39,21,19,14,12,8,3,69,11,0,495,
