Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alpine (S)",0,0,0,0,0,3,0,6,5,3,9,17,9,33,29,14,10,0,0,3,0,0,61,4,0,219,
"Ararat (RC)",0,0,0,0,0,0,4,7,7,10,12,12,18,25,20,15,4,3,0,4,0,0,49,0,0,200,
"Ballarat (C)",6,5,3,0,7,3,14,33,64,106,106,130,105,230,157,136,63,68,32,28,24,8,298,27,0,1649,
"Banyule (C)",0,7,0,9,8,10,14,42,47,137,145,153,175,332,271,255,183,128,112,156,117,24,572,49,0,2931,
"Bass Coast (S)",0,0,0,0,4,4,6,13,28,48,41,42,38,50,32,16,20,10,0,4,6,8,99,9,0,478,
"Baw Baw (S)",0,0,0,0,6,5,10,8,35,62,71,63,54,135,111,72,40,39,21,25,7,9,177,15,0,974,
"Bayside (C)",0,4,0,0,0,9,12,10,26,44,50,75,65,169,161,145,121,116,98,145,117,57,435,29,0,1882,
"Benalla (RC)",0,0,0,0,0,0,0,6,13,18,25,8,19,28,29,19,3,14,3,5,0,0,47,0,0,246,
"Boroondara (C)",0,15,8,6,3,11,8,23,44,100,76,106,109,247,246,185,183,176,164,260,238,97,763,41,0,3128,
"Brimbank (C)",3,34,13,24,19,37,57,147,224,411,443,403,380,754,580,416,275,176,108,96,55,12,1027,122,0,5808,
"Buloke (S)",0,3,0,0,0,0,0,0,3,9,5,5,4,9,9,4,0,4,0,0,0,0,12,3,0,83,
"Campaspe (S)",0,0,0,7,0,0,9,23,26,51,65,56,52,97,66,65,14,13,12,11,8,11,130,14,0,723,
"Cardinia (S)",0,10,4,6,0,7,11,21,47,101,107,100,112,267,260,185,98,86,55,62,26,8,386,36,0,1994,
"Casey (C)",9,28,3,18,10,23,59,109,198,414,400,464,440,1029,877,632,461,315,188,193,95,25,1301,124,0,7420,
"Central Goldfields (S)",0,3,0,0,0,0,6,13,18,26,18,18,16,44,21,16,0,9,0,0,0,0,34,8,0,241,
"Colac-Otway (S)",0,0,0,0,0,0,7,8,13,24,25,24,30,63,48,28,11,10,0,9,3,0,65,0,0,390,
"Corangamite (S)",3,0,3,0,0,0,5,8,3,22,26,15,21,40,24,24,5,7,5,8,0,8,55,10,0,302,
"Darebin (C)",5,9,7,15,5,15,22,59,109,180,210,193,179,309,230,157,119,86,63,74,26,3,518,49,0,2637,
"East Gippsland (S)",0,7,0,10,7,4,4,26,31,70,65,64,46,93,71,27,32,10,10,16,5,5,148,17,0,755,
"Frankston (C)",3,5,3,0,0,11,22,38,80,146,180,208,196,398,385,265,197,122,79,88,32,6,601,54,0,3144,
"Gannawarra (S)",0,0,0,0,0,0,0,0,11,19,17,14,21,28,24,12,5,3,0,0,0,7,38,3,0,212,
