Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by POA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"2600, ACT",0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,7,0,4,10,10,13,5,21,0,0,90,
"2601, ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,16,
"2602, ACT",0,0,0,0,0,0,0,0,3,8,10,9,10,23,25,23,22,31,17,21,25,4,73,0,0,312,
"2603, ACT",0,0,0,0,0,0,0,0,0,0,3,4,0,8,9,9,10,9,3,19,21,7,34,0,0,136,
"2604, ACT",0,0,0,0,0,0,0,0,4,5,5,3,6,9,5,14,8,0,5,4,0,0,15,0,0,88,
"2605, ACT",0,0,0,0,0,0,0,0,7,3,6,8,4,23,13,6,13,17,5,16,23,0,46,0,0,180,
"2606, ACT",0,0,0,0,0,0,5,0,0,8,4,5,4,11,7,6,7,11,0,5,10,0,18,0,0,111,
"2607, ACT",0,0,0,0,0,0,0,0,3,7,4,9,12,23,24,20,23,24,14,24,14,5,47,0,0,255,
"2609, ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,
