Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by POA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,0,4,0,0,8,15,23,22,14,12,4,4,0,3,0,3,0,0,0,0,9,5,0,136,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"2540 crosses NSW/OT",0,0,0,0,0,0,10,21,44,80,77,75,70,103,96,47,40,19,10,10,4,5,175,11,0,904,
"2611 crosses ACT/NSW",0,0,0,0,0,0,3,8,0,4,10,21,21,50,32,47,32,31,19,40,28,6,83,0,0,439,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,5,3,3,6,12,0,0,45,
"2620 crosses NSW/ACT",0,0,0,0,0,0,7,0,8,24,20,27,45,61,106,102,66,56,46,50,37,7,147,12,0,836,
"3644 crosses VIC/NSW",0,0,0,0,0,0,0,4,6,8,14,6,12,24,17,7,7,5,0,0,0,0,35,4,0,171,
"3691 crosses VIC/NSW",0,0,0,0,0,0,0,3,8,9,12,17,4,28,17,18,12,0,8,4,3,0,38,3,0,181,
"3707 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,24,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,21,
"4380 crosses QLD/NSW",0,0,0,0,0,0,0,0,14,15,13,11,6,22,8,4,4,0,0,0,0,0,18,0,0,133,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,
"4385 crosses QLD/NSW",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,
"4825 crosses QLD/NT",0,0,0,0,0,0,0,6,5,3,14,11,12,16,22,36,20,14,18,28,10,0,36,3,0,256,
"Total",0,3,4,6,5,4,26,62,107,176,184,187,185,322,307,275,185,145,105,144,88,28,567,54,0,3173,


" Couple family with: One dependent child"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,20,19,6,94,31,48,49,37,25,13,7,21,8,8,4,4,0,0,0,0,46,30,0,480,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,0,0,3,0,0,0,4,0,0,21,
"2540 crosses NSW/OT",0,0,3,10,4,14,18,49,51,100,105,99,88,179,106,72,33,23,19,14,5,0,157,11,0,1153,
"2611 crosses ACT/NSW",0,4,0,0,0,7,5,11,15,27,35,43,45,129,156,110,90,69,81,48,46,0,104,11,0,1034,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,4,4,4,10,3,6,3,4,0,3,0,3,0,0,44,
"2620 crosses NSW/ACT",3,3,3,0,0,9,19,21,52,65,95,67,83,201,179,150,104,52,58,50,40,3,156,7,0,1427,
"3644 crosses VIC/NSW",0,0,0,0,0,0,7,10,11,21,23,13,21,34,14,6,9,0,0,7,0,0,30,3,0,214,
"3691 crosses VIC/NSW",0,0,0,0,0,0,5,0,7,9,25,25,30,44,44,22,15,8,5,8,0,0,36,5,0,288,
"3707 crosses VIC/NSW",0,0,0,0,0,0,0,0,4,4,5,3,0,3,4,3,0,0,0,0,0,0,4,0,0,46,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
"4380 crosses QLD/NSW",0,0,0,0,0,0,3,11,16,19,18,16,21,19,19,4,14,4,4,0,0,0,29,0,0,202,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,
"4385 crosses QLD/NSW",4,5,0,0,0,3,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,3,0,0,32,
"4825 crosses QLD/NT",0,0,0,4,0,13,3,9,9,18,24,30,39,106,80,76,67,30,33,24,19,0,76,12,0,675,
"Total",9,20,26,35,15,137,93,167,226,315,365,333,339,746,623,455,335,186,206,157,116,11,645,79,0,5641,


" Couple family with: Two dependent children"
