Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by POA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"2000, NSW",4,4,0,0,0,0,0,0,0,4,5,5,7,11,14,9,9,5,4,11,9,10,30,0,0,135,
"2006, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2007, NSW",0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,4,0,0,39,
"2008, NSW",0,3,0,0,0,0,0,0,0,0,3,5,0,3,0,5,0,0,0,0,0,0,11,0,0,25,
"2009, NSW",0,4,0,0,0,0,0,0,0,10,0,0,4,9,6,5,3,6,5,18,4,5,26,0,0,108,
"2010, NSW",0,0,0,0,0,0,0,0,8,4,0,3,5,5,5,4,3,7,6,4,11,4,22,0,0,106,
"2011, NSW",0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,4,4,4,8,4,7,16,0,0,60,
"2015, NSW",0,0,0,0,0,0,0,0,4,4,0,0,3,6,7,10,6,3,6,4,0,0,11,0,0,65,
"2016, NSW",0,0,0,0,5,0,3,9,0,4,3,7,0,9,4,0,9,0,0,3,0,0,14,0,0,76,
"2017, NSW",0,0,0,0,0,0,0,0,4,4,9,12,8,8,11,3,5,5,4,3,0,0,21,0,0,115,
"2018, NSW",0,0,0,0,0,0,3,9,14,15,21,21,35,49,45,23,28,8,10,19,8,5,53,5,0,374,
"2019, NSW",0,0,0,0,0,0,0,0,5,6,13,9,11,27,19,23,25,10,13,8,5,0,63,7,0,233,
"2020, NSW",0,0,0,0,0,4,0,6,8,11,23,22,13,40,28,33,13,8,5,6,6,0,45,3,0,276,
"2021, NSW",0,0,0,0,0,0,0,0,0,0,4,0,3,11,11,16,10,5,7,10,20,13,34,4,0,138,
"2022, NSW",0,0,0,0,0,0,0,3,0,4,9,6,3,7,12,4,10,14,3,6,10,6,23,0,0,123,
"2023, NSW",0,0,0,0,0,0,0,0,3,0,5,3,3,13,9,16,8,5,10,18,16,18,42,0,0,177,
"2024, NSW",0,0,0,0,0,0,0,0,0,4,9,8,5,11,11,6,3,3,3,5,13,4,31,0,0,131,
"2025, NSW",0,0,0,0,0,0,0,0,0,3,0,6,0,7,5,8,9,3,11,3,11,13,17,0,0,92,
"2026, NSW",0,0,0,0,0,0,0,3,0,8,11,7,12,22,28,32,22,16,23,6,10,11,72,3,0,288,
"2027, NSW",0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,3,0,10,10,12,19,0,0,77,
"2028, NSW",0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,5,6,4,12,4,12,0,0,63,
"2029, NSW",0,0,0,0,0,0,0,4,3,0,4,5,8,10,12,11,3,5,4,12,5,7,49,0,0,142,
"2030, NSW",0,0,0,0,0,0,5,7,4,13,7,3,6,26,22,14,9,16,9,28,25,12,73,5,0,273,
"2031, NSW",0,0,0,0,0,4,4,0,3,12,5,27,20,28,37,33,22,25,24,28,25,12,104,0,0,424,
"2032, NSW",0,0,0,0,0,0,3,0,4,18,16,14,9,28,28,12,8,13,12,13,18,0,58,4,0,266,
"2033, NSW",0,0,0,0,0,0,0,0,3,5,9,3,7,12,13,18,10,0,3,13,6,4,30,5,0,147,
"2034, NSW",0,0,0,0,0,0,0,4,3,13,9,4,15,21,22,25,19,7,12,16,19,14,59,6,0,267,
"2035, NSW",0,8,0,0,0,0,3,10,6,35,34,25,49,85,73,58,43,36,30,49,42,17,168,12,0,777,
"2036, NSW",0,3,0,5,0,4,3,7,24,28,33,51,41,92,69,68,60,43,30,32,33,11,177,7,0,820,
"2037, NSW",0,0,0,0,0,0,0,0,0,5,10,8,3,8,7,4,3,7,3,3,11,5,43,0,0,143,
"2038, NSW",0,0,0,0,0,0,0,0,0,5,0,3,3,8,9,7,7,3,5,10,12,5,19,0,0,99,
"2039, NSW",0,0,0,0,0,0,0,0,0,0,4,3,3,4,7,11,0,6,4,6,4,0,25,0,0,90,
"2040, NSW",0,0,0,0,0,0,0,6,5,13,14,14,9,30,28,11,21,19,13,16,8,8,61,0,0,285,
"2041, NSW",0,0,0,0,0,0,0,4,0,3,3,0,10,11,13,20,9,16,8,11,20,9,59,0,0,201,
"2042, NSW",0,0,0,0,0,0,0,7,4,14,0,4,4,17,13,11,6,13,6,6,3,3,22,0,0,157,
"2043, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,0,0,0,6,0,0,3,0,0,34,
"2044, NSW",0,0,0,0,0,0,0,0,8,13,12,9,8,23,12,7,4,11,0,4,3,0,24,0,0,133,
"2045, NSW",0,4,0,0,0,0,0,0,0,9,13,7,7,19,25,13,14,15,9,11,12,0,32,0,0,202,
"2046, NSW",0,4,0,4,0,4,4,10,11,30,32,34,30,75,62,47,45,30,20,35,27,12,131,7,0,657,
"2047, NSW",0,0,0,0,0,0,0,0,8,5,6,9,8,23,16,17,15,16,11,18,18,5,40,5,0,207,
"2048, NSW",0,0,0,0,0,0,0,0,3,7,3,6,9,14,4,5,6,5,3,0,3,0,13,3,0,93,
"2049, NSW",0,0,0,0,0,0,3,7,4,7,5,11,3,13,18,12,13,5,5,10,8,3,33,0,0,170,
"2050, NSW",0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,6,0,11,0,0,43,
"2052, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2060, NSW",0,0,0,0,0,0,0,0,0,0,5,4,8,8,11,14,12,7,3,21,16,12,43,0,0,163,
"2061, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,0,8,6,5,16,5,0,54,
"2062, NSW",0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,6,0,6,3,10,11,0,11,0,0,62,
"2063, NSW",0,0,0,0,0,0,0,0,0,3,6,3,0,5,12,6,10,5,6,6,16,0,37,0,0,140,
"2064, NSW",0,0,0,0,0,0,0,0,3,3,6,6,7,5,12,3,9,9,5,6,12,0,12,0,0,113,
"2065, NSW",0,0,0,0,0,0,0,4,0,8,8,8,12,35,29,36,17,20,13,31,31,21,81,3,0,356,
"2066, NSW",0,5,0,0,4,0,5,9,0,17,20,19,18,35,34,24,30,22,31,37,46,13,112,10,0,479,
"2067, NSW",0,7,0,0,0,0,0,10,6,16,18,19,14,40,42,24,27,21,23,35,31,9,113,4,0,446,
"2068, NSW",0,0,0,0,0,0,3,3,0,10,18,10,17,28,23,18,23,12,17,27,29,8,69,4,0,318,
"2069, NSW",0,0,0,0,0,0,5,0,0,10,7,4,8,25,26,31,28,13,10,22,30,21,64,3,0,317,
"2070, NSW",0,0,0,0,3,0,0,0,8,7,5,12,7,14,19,20,22,15,16,34,36,12,68,0,0,301,
"2071, NSW",0,7,0,4,0,0,0,6,6,10,10,7,8,14,19,28,22,17,14,22,36,15,81,7,0,331,
"2072, NSW",0,0,0,0,0,0,0,0,4,6,3,3,10,13,15,12,11,6,12,23,13,4,40,4,0,173,
"2073, NSW",0,0,0,0,0,0,0,3,4,10,11,14,6,39,29,25,19,18,13,42,32,17,88,12,0,384,
"2074, NSW",0,0,0,0,0,3,0,7,3,13,11,11,14,42,37,35,31,27,27,53,60,19,101,5,0,508,
"2075, NSW",0,0,0,0,0,0,4,0,3,14,28,10,15,39,50,37,31,23,26,36,35,17,113,6,0,491,
"2076, NSW",0,0,0,0,0,0,0,3,0,15,15,11,19,53,47,40,32,31,41,42,51,15,127,4,0,554,
"2077, NSW",0,0,0,0,0,3,7,11,18,26,42,38,35,74,64,57,45,36,31,34,29,5,136,9,0,697,
"2079, NSW",0,0,0,0,5,0,0,3,0,9,10,17,13,37,24,31,16,25,16,18,7,0,50,4,0,278,
"2080, NSW",0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,9,0,0,7,0,0,10,0,0,48,
"2081, NSW",0,0,0,0,0,0,0,0,0,0,4,4,8,13,15,17,20,8,9,10,7,0,40,0,0,153,
"2082, NSW",0,0,0,0,0,0,0,0,0,8,6,6,7,23,17,17,16,11,9,3,3,0,28,3,0,165,
"2083, NSW",0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,3,0,0,0,0,0,3,0,0,26,
"2084, NSW",0,0,0,0,0,0,0,0,0,3,4,6,0,15,15,8,5,5,3,12,4,4,23,0,0,106,
"2085, NSW",0,0,0,0,0,0,0,0,0,8,9,12,11,36,27,28,23,15,16,27,18,5,58,5,0,306,
"2086, NSW",0,0,0,0,0,0,0,0,3,9,15,7,24,36,40,29,24,25,15,32,21,0,86,4,0,375,
"2087, NSW",0,0,0,0,0,0,0,4,3,6,15,17,18,29,19,29,13,18,18,20,14,0,49,3,0,285,
"2088, NSW",0,0,0,0,0,0,4,0,0,9,3,6,3,14,25,27,20,21,17,55,65,43,105,3,0,422,
"2089, NSW",0,0,0,0,0,0,0,0,5,7,0,8,0,4,8,9,8,7,3,4,16,6,24,4,0,109,
"2090, NSW",0,0,0,0,0,0,0,0,0,9,3,0,0,13,8,5,15,8,14,18,11,11,22,0,0,139,
"2092, NSW",0,0,0,0,0,0,0,0,0,6,4,3,6,15,16,7,15,18,16,18,8,5,37,0,0,169,
"2093, NSW",0,0,0,0,0,5,3,0,8,3,10,14,16,40,49,33,24,18,21,30,22,7,92,3,0,400,
"2094, NSW",0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,3,3,8,10,7,0,30,0,0,87,
"2095, NSW",0,0,0,4,0,0,0,0,0,0,8,0,0,19,9,5,3,15,11,22,25,8,42,0,0,171,
"2096, NSW",0,0,0,0,0,0,0,3,0,4,8,6,13,15,25,16,13,3,17,11,12,0,57,0,0,223,
"2097, NSW",0,0,0,0,0,0,0,4,5,14,10,18,21,35,37,40,16,26,16,25,26,7,85,5,0,392,
"2099, NSW",0,0,0,0,3,0,0,10,16,32,36,43,36,111,79,59,43,45,28,43,34,4,170,10,0,803,
"2100, NSW",0,0,0,3,0,0,3,0,14,17,15,17,27,41,64,46,44,34,16,31,26,5,105,4,0,518,
"2101, NSW",0,3,0,0,0,0,3,3,3,14,17,19,22,41,41,44,27,24,14,34,20,11,97,7,0,436,
"2102, NSW",0,0,0,0,0,0,0,0,3,3,6,11,8,21,13,11,11,8,7,7,3,0,38,0,0,163,
"2103, NSW",0,0,0,0,0,0,0,0,3,7,8,11,11,28,25,23,32,13,13,12,21,8,52,4,0,282,
"2104, NSW",0,0,0,0,0,0,0,0,0,0,0,3,4,10,9,9,3,9,4,3,7,0,29,0,0,102,
"2105, NSW",0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,3,8,3,3,0,9,0,10,0,0,51,
"2106, NSW",0,0,0,0,0,0,0,5,0,3,11,3,10,17,20,16,19,13,9,13,10,5,60,3,0,224,
"2107, NSW",0,0,0,0,0,0,0,5,3,11,12,5,15,37,45,31,25,13,20,23,17,12,105,4,0,394,
"2108, NSW",0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,4,4,0,4,3,0,13,0,0,40,
"2109, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,
"2110, NSW",0,0,0,0,0,0,0,0,5,3,0,4,4,15,16,15,5,13,9,24,23,20,43,6,0,202,
"2111, NSW",0,0,0,0,0,0,0,5,0,8,6,9,11,31,26,33,16,16,19,22,18,8,68,10,0,315,
"2112, NSW",0,0,4,0,0,4,4,14,6,33,39,40,52,106,80,50,43,38,36,45,30,18,169,0,0,819,
"2113, NSW",0,4,0,0,0,0,5,9,15,18,10,28,25,45,41,46,31,24,26,24,18,6,69,4,0,433,
"2114, NSW",0,3,0,0,0,3,3,0,13,22,23,22,30,62,48,49,44,25,18,23,20,0,91,3,0,509,
"2115, NSW",0,3,0,4,0,0,0,3,8,16,7,22,17,36,41,22,23,15,8,9,6,5,59,6,0,321,
"2116, NSW",0,0,0,0,0,0,0,5,0,8,11,9,6,22,22,13,17,7,10,7,3,0,25,0,0,160,
"2117, NSW",0,0,0,0,3,0,0,8,11,31,28,40,27,58,48,48,37,30,12,23,23,11,98,8,0,551,
"2118, NSW",4,7,0,3,0,6,3,13,19,26,29,32,37,81,78,60,57,35,21,43,39,6,135,5,0,744,
"2119, NSW",0,0,0,0,0,0,0,0,0,5,7,11,9,26,21,27,31,28,19,44,39,6,66,4,0,346,
"2120, NSW",0,0,0,0,0,4,0,3,6,15,18,18,24,68,61,34,26,33,34,58,17,7,127,6,0,568,
"2121, NSW",0,0,0,4,0,3,3,10,8,24,31,32,34,66,82,63,34,42,32,60,52,19,142,3,0,753,
"2122, NSW",0,4,0,0,0,5,0,8,14,35,26,44,40,61,68,74,45,29,27,51,19,11,141,7,0,710,
"2123, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2125, NSW",0,0,0,3,0,0,5,3,7,13,18,20,14,36,55,70,50,55,39,61,60,24,130,3,0,671,
"2126, NSW",0,0,0,4,0,6,0,6,8,12,20,20,22,58,64,58,56,55,53,51,52,12,137,0,0,701,
"2127, NSW",0,3,0,0,0,0,0,0,4,4,6,9,4,24,13,14,16,15,4,9,10,0,26,0,0,167,
"2128, NSW",0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,7,0,0,0,0,0,0,4,0,0,34,
"2129, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2130, NSW",0,0,0,0,0,0,0,0,0,5,7,0,0,7,10,10,8,0,0,6,4,0,18,4,0,82,
"2131, NSW",0,0,0,3,4,3,3,3,12,21,23,15,16,54,33,33,15,23,8,21,10,4,74,0,0,382,
"2132, NSW",0,0,0,0,0,0,0,3,11,9,14,19,16,25,24,23,11,11,15,20,12,0,44,0,0,278,
"2133, NSW",0,0,0,0,0,0,8,8,9,22,19,7,20,49,42,35,19,16,16,15,5,0,60,6,0,351,
"2134, NSW",0,0,0,0,0,0,3,3,6,9,8,24,14,37,19,23,12,20,11,13,14,3,34,3,0,267,
"2135, NSW",0,0,8,4,3,0,0,10,7,14,18,26,23,52,50,46,34,41,27,48,54,33,141,7,0,646,
"2136, NSW",0,0,0,0,0,0,0,6,3,11,13,15,5,23,26,16,11,13,10,17,8,8,51,4,0,233,
"2137, NSW",0,3,0,0,0,0,8,9,11,32,26,23,29,65,62,72,47,34,42,35,44,13,150,9,0,723,
"2138, NSW",0,0,3,0,0,3,4,13,3,16,14,13,14,35,35,24,24,19,12,17,12,6,56,0,0,334,
"2139, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2140, NSW",0,0,0,3,0,0,3,6,3,12,10,15,7,34,19,16,6,6,7,14,8,6,42,0,0,215,
