Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by POA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0800, NT",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,26,
"0810, NT",0,0,0,0,0,0,4,6,13,9,19,19,16,41,53,59,36,32,26,38,12,7,104,7,0,501,
"0812, NT",0,0,0,0,0,0,0,0,7,3,14,14,18,42,47,42,46,29,20,30,16,3,80,7,0,411,
"0815, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0820, NT",0,0,0,0,0,0,0,0,0,5,0,4,7,13,13,9,16,14,4,27,20,10,44,0,0,198,
"0822, NT",0,0,0,9,3,0,12,36,23,20,19,20,8,12,12,7,4,5,11,5,3,0,45,22,0,283,
"0828, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,8,0,0,20,
"0829, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,
"0830, NT",0,0,0,0,0,0,0,4,0,9,7,13,12,21,37,29,28,17,13,19,12,0,51,5,0,286,
"0832, NT",0,0,0,0,0,0,0,0,4,0,4,3,7,13,20,20,9,13,13,12,7,0,23,3,0,161,
"0834, NT",0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,6,5,0,3,4,0,5,3,0,46,
"0835, NT",0,0,0,0,0,0,0,0,0,0,0,3,7,8,13,9,4,0,5,5,5,0,30,5,0,91,
"0836, NT",0,0,0,0,0,0,0,0,0,0,0,6,6,18,12,11,18,17,14,5,8,3,39,8,0,161,
"0837, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"0838, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,17,
"0839, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"0840, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0841, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"0845, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"0846, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"0847, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
"0850, NT",0,0,0,0,0,0,0,4,0,0,0,7,0,14,12,12,10,10,5,9,4,0,20,3,0,106,
"0852, NT",0,0,0,4,3,0,4,8,5,9,5,0,0,0,6,5,0,4,0,0,0,0,11,0,0,67,
"0853, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0854, NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,
