Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Albury (C)",54,172,146,510,766,1616,1123,1697,1586,1727,1611,1149,1068,1865,1079,661,452,175,165,125,110,11,1280,592,3715,23462,
"Armidale Regional (A)",37,100,85,292,373,815,612,938,815,890,798,620,592,957,505,318,250,99,100,83,58,7,768,348,2266,12738,
"Ballina (A)",35,122,99,324,568,1443,960,1654,1292,1627,1305,891,929,1482,784,493,348,177,160,124,127,17,1120,562,2503,19151,
"Balranald (A)",4,10,12,23,41,56,40,69,62,76,76,68,46,64,41,15,9,3,6,9,3,0,86,51,350,1222,
"Bathurst Regional (A)",32,129,98,346,432,1122,762,1105,1024,1216,1157,884,825,1440,933,639,406,182,156,92,94,10,1059,398,2891,17426,
"Bega Valley (A)",30,130,146,354,556,1504,813,1433,1183,1376,1124,649,627,1023,492,277,204,74,80,42,45,8,1034,461,3908,17570,
"Bellingen (A)",20,46,36,149,213,524,332,533,449,548,381,251,278,364,181,94,76,26,33,23,10,3,392,162,971,6086,
"Berrigan (A)",16,36,27,117,138,375,200,377,257,336,237,152,180,252,114,53,48,16,26,16,13,0,217,181,947,4326,
"Blacktown (C)",230,1109,552,1777,2418,4715,3308,5916,5736,7319,7355,6402,6468,13014,8691,5875,4056,2231,1805,1664,864,125,7588,2250,9451,110903,
"Bland (A)",12,22,16,55,105,192,116,202,166,239,154,108,132,172,83,56,60,12,17,12,26,0,173,113,696,2936,
