Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",9,83,54,131,205,282,235,374,437,590,577,536,581,1150,759,494,464,228,165,164,105,6,874,370,2335,11224,
"Barkly (R)",3,16,25,58,40,141,83,131,163,199,163,132,139,187,96,61,49,9,11,18,10,0,149,110,900,2914,
"Belyuen (S)",0,0,0,0,0,4,0,11,0,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,7,41,
"Central Desert (R)",3,3,5,20,11,56,25,69,78,101,90,54,47,81,27,25,21,3,5,0,5,0,55,28,341,1162,
"Coomalie (S)",3,9,10,21,23,56,19,49,45,51,57,22,30,56,24,19,13,4,0,0,3,0,39,82,261,891,
"Darwin (C)",53,208,111,324,544,832,614,894,1048,1578,1638,1538,1630,3540,2194,1749,1957,857,878,965,674,104,2572,845,6248,33592,
"East Arnhem (R)",0,0,9,27,15,55,35,54,107,115,108,78,90,111,62,29,17,9,4,0,3,0,131,312,430,1805,
"Katherine (T)",5,31,27,48,86,106,83,188,180,212,234,189,195,373,281,155,113,60,55,35,32,0,323,228,835,4072,
"Litchfield (M)",14,88,33,80,112,219,133,273,340,435,440,323,356,836,565,504,409,210,254,220,180,36,659,330,1374,8440,
"MacDonnell (R)",4,5,25,74,29,70,61,124,105,117,114,81,69,88,35,21,33,14,7,7,11,0,132,114,666,2007,
"Palmerston (C)",12,79,40,118,211,290,222,330,394,589,628,646,679,1513,1045,810,788,359,337,346,177,27,1013,279,2177,13119,
"Roper Gulf (R)",4,27,27,66,50,133,79,155,156,180,158,106,94,131,69,30,36,20,20,3,14,0,176,160,375,2291,
"Tiwi Islands (R)",5,6,34,64,26,49,54,46,42,69,38,29,32,30,7,7,4,3,10,0,3,0,33,19,126,733,
"Victoria Daly (R)",8,21,18,38,19,51,34,65,63,67,54,48,44,85,34,16,17,4,5,0,3,0,70,87,386,1234,
"Wagait (S)",0,0,0,4,9,17,4,9,12,14,15,6,14,14,11,10,4,0,6,3,0,0,27,8,85,289,
"West Arnhem (R)",4,7,15,34,19,43,44,85,95,125,119,103,90,135,78,65,46,21,19,10,19,0,144,163,560,2050,
"West Daly (R)",0,0,11,28,7,36,26,38,47,49,42,27,20,52,20,8,3,0,0,3,3,0,51,13,150,636,
"Unincorporated NT",12,32,14,34,41,94,66,167,147,205,205,158,183,378,194,156,180,71,74,66,43,6,202,280,1196,4206,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,
"Total",147,628,464,1163,1456,2540,1836,3059,3484,4708,4677,4078,4283,8768,5502,4158,4154,1876,1839,1853,1278,193,6653,3439,18501,90735,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
