Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Aurukun (S)",0,0,0,24,3,37,16,22,28,32,30,12,17,17,10,8,7,5,0,0,0,0,8,4,104,378,
"Balonne (S)",8,24,12,35,56,129,87,125,124,169,131,101,110,151,82,44,36,13,17,4,16,0,127,85,557,2240,
"Banana (S)",30,56,52,101,139,317,181,369,314,394,343,287,315,648,354,254,212,91,99,72,53,12,432,264,1590,6987,
"Barcaldine (R)",3,18,15,27,45,131,53,134,109,126,90,60,73,97,66,35,31,3,16,6,10,0,114,69,308,1645,
"Barcoo (S)",0,6,0,5,7,8,3,12,22,30,11,5,18,11,11,6,0,0,5,5,7,0,19,3,76,249,
"Blackall-Tambo (R)",12,8,11,28,23,97,35,86,56,103,69,32,38,41,32,19,9,5,4,3,3,0,66,54,177,1014,
"Boulia (S)",0,4,0,5,0,7,7,16,20,18,18,14,11,12,14,8,0,0,0,0,0,0,13,13,62,254,
"Brisbane (C)",868,5927,2664,6624,8722,19673,14722,21002,22670,29832,27849,24549,23416,46765,30554,21778,20925,10682,10309,10212,8088,1131,31211,7951,56199,464327,
"Bulloo (S)",0,6,0,0,0,7,4,12,13,15,17,9,14,14,4,8,0,4,3,0,0,0,10,10,34,186,
"Bundaberg (R)",110,353,323,976,1290,3806,2264,4498,3266,3460,2803,1926,1687,2640,1353,775,546,206,226,145,160,20,2457,1543,7193,44020,
"Burdekin (S)",19,62,69,148,239,589,336,665,510,640,536,372,384,628,349,207,126,67,52,38,38,7,451,369,1473,8384,
"Burke (S)",0,5,9,6,4,6,10,22,20,23,18,7,11,16,9,4,4,0,0,0,5,3,14,14,44,252,
"Cairns (R)",130,708,408,1248,1706,3602,2825,4239,4283,5045,4582,3677,3325,6104,3483,2000,1547,641,612,533,371,48,4926,1759,11239,69047,
"Carpentaria (S)",4,14,16,21,43,91,37,116,99,103,110,56,53,93,49,37,15,7,10,7,0,4,89,96,180,1347,
"Cassowary Coast (R)",43,140,140,271,421,1036,572,1232,1065,1186,993,671,640,913,446,235,176,72,94,47,52,8,786,543,2693,14477,
"Central Highlands (R)",27,98,77,185,215,484,285,564,524,709,680,562,645,1267,693,428,521,266,225,173,118,19,902,378,3886,13940,
"Charters Towers (R)",32,49,53,139,197,430,218,487,333,382,320,246,193,341,205,125,89,27,39,21,16,5,460,260,1145,5812,
"Cherbourg (S)",0,0,5,29,19,22,28,27,32,37,25,11,11,10,4,4,0,0,0,0,0,0,8,3,27,309,
"Cloncurry (S)",9,20,12,21,38,79,39,73,80,99,77,71,60,124,58,62,44,20,24,12,13,0,91,139,460,1711,
"Cook (S)",10,34,17,59,74,190,97,135,156,174,142,107,106,171,79,66,41,10,21,16,13,0,131,257,537,2642,
"Croydon (S)",0,0,0,5,0,12,3,14,4,11,8,3,5,13,3,0,6,0,0,0,4,0,14,9,71,194,
"Diamantina (S)",0,0,0,6,0,10,3,8,6,21,11,5,13,12,15,4,4,0,0,4,0,0,10,13,57,216,
"Doomadgee (S)",0,0,3,8,10,27,21,25,16,41,30,22,16,18,15,0,3,4,0,0,0,0,12,3,39,322,
"Douglas (S)",19,59,38,129,164,350,255,412,389,464,416,271,297,485,217,119,100,36,53,30,50,19,369,300,1521,6573,
"Etheridge (S)",3,11,9,27,27,62,34,70,44,48,35,19,26,33,12,9,9,3,3,0,3,0,40,58,124,714,
"Flinders (S)",14,11,11,21,26,47,22,57,54,67,41,30,48,56,28,18,6,0,11,4,8,0,56,30,237,915,
"Fraser Coast (R)",110,458,358,1048,1619,4586,2603,5469,3734,4105,3117,1884,1729,2613,1289,692,496,243,184,143,131,28,2588,1675,7472,48389,
"Gladstone (R)",66,325,207,491,632,1339,895,1503,1309,1520,1447,1186,1209,2637,1551,984,1079,510,428,376,207,20,1986,601,6557,29078,
"Gold Coast (C)",479,2747,1335,3383,4826,12413,9339,14947,14281,17745,15903,12717,12264,21651,13226,7939,6311,2931,2773,2426,1901,280,15192,5684,36862,239549,
"Goondiwindi (R)",27,33,32,79,117,342,169,344,311,390,335,228,249,393,201,93,81,28,32,27,28,8,282,189,997,5001,
"Gympie (R)",67,198,177,495,743,2166,1263,2351,1748,1871,1535,983,894,1260,687,335,252,102,95,54,56,15,1312,766,3935,23362,
"Hinchinbrook (S)",16,40,37,123,191,473,218,504,379,411,371,232,216,357,201,104,73,32,31,21,23,5,320,228,1134,5730,
"Hope Vale (S)",0,6,4,20,15,22,27,25,11,23,29,10,4,25,3,0,0,0,0,0,0,0,17,4,51,294,
"Ipswich (C)",125,510,325,949,1499,3661,2926,4646,4772,5916,5621,4594,4112,7498,4451,2594,1520,787,567,464,229,38,4815,1351,8842,72808,
"Isaac (R)",23,57,49,88,110,260,154,315,275,405,401,336,425,1106,535,316,535,266,224,153,124,17,563,242,3971,10937,
"Kowanyama (S)",0,0,0,26,3,15,22,14,36,22,30,21,11,20,7,5,4,0,0,0,0,0,8,0,38,295,
"Livingstone (S)",32,154,110,289,384,983,602,1161,896,1072,906,702,704,1227,764,516,378,199,184,116,99,12,1405,508,3172,16581,
"Lockhart River (S)",3,0,3,11,0,16,7,5,10,13,10,17,4,10,3,3,8,0,0,3,0,0,36,33,48,252,
"Lockyer Valley (R)",28,138,94,257,355,1043,640,1209,1077,1182,1079,797,735,1175,752,394,210,121,95,69,53,5,1081,471,1868,14933,
