Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Adelaide (C)",58,712,167,395,373,460,385,422,547,645,583,486,483,924,361,236,482,130,163,131,175,15,536,350,2451,11669,
"Adelaide Hills (DC)",30,101,100,191,272,650,492,847,853,1063,988,773,798,1502,1153,729,609,331,349,308,212,26,1296,199,1615,15483,
"Alexandrina (DC)",20,97,79,257,360,988,669,1223,993,1049,843,551,484,800,359,208,143,64,52,46,21,4,797,289,4987,15399,
"Anangu Pitjantjatjara (AC)",0,4,5,24,8,46,22,35,52,47,50,35,36,63,24,6,8,3,0,0,0,0,60,39,268,831,
"Barossa (DC)",20,59,71,161,257,724,426,774,704,873,722,560,570,952,556,288,181,111,90,66,60,11,636,185,1229,10270,
"Barunga West (DC)",0,8,9,39,50,163,70,125,89,92,86,37,51,52,36,34,13,4,9,10,3,4,59,52,774,1867,
"Berri and Barmera (DC)",9,37,52,150,215,456,238,477,364,411,310,231,198,344,183,74,59,23,21,14,16,0,263,201,769,5117,
"Burnside (C)",37,272,124,306,383,882,690,888,970,1247,1014,940,827,1518,994,780,912,522,612,604,602,98,1398,317,2395,19340,
"Campbelltown (C)",49,300,149,441,658,1621,930,1613,1430,1705,1381,1107,1099,1985,1194,825,514,249,194,183,110,17,1293,405,2186,21621,
"Ceduna (DC)",5,12,9,30,51,96,73,122,90,135,127,93,83,184,78,42,73,10,13,7,12,5,133,190,409,2078,
"Charles Sturt (C)",100,519,346,1213,1754,3730,2188,3588,3300,3886,3237,2657,2317,4242,2799,1657,1218,558,520,436,303,45,3024,1140,6439,51207,
"Clare and Gilbert Valleys (DC)",11,20,33,93,133,317,208,349,288,370,308,197,208,324,166,115,68,15,24,12,27,0,260,87,799,4433,
"Cleve (DC)",3,7,12,17,22,79,49,63,64,84,69,59,32,53,39,23,14,11,3,8,12,0,38,53,246,1068,
"Coober Pedy (DC)",4,25,4,49,39,94,37,70,64,72,57,45,37,43,17,11,11,4,7,0,0,0,43,75,581,1395,
"Copper Coast (DC)",16,38,43,193,287,729,328,773,524,534,447,249,258,382,189,100,70,32,29,10,20,6,389,270,2770,8687,
"Elliston (DC)",0,8,3,18,15,47,26,65,42,49,40,23,19,37,13,12,5,7,4,0,9,3,26,21,338,817,
"Flinders Ranges (DC)",5,6,4,23,33,70,44,66,65,65,54,29,27,52,19,20,10,8,4,3,0,0,93,57,221,983,
"Franklin Harbour (DC)",4,5,5,19,17,56,21,64,43,45,51,29,24,48,26,13,15,5,4,3,0,0,33,48,293,862,
"Gawler (T)",20,62,60,232,359,817,592,872,749,834,653,541,557,808,477,272,169,74,57,38,20,0,608,262,1169,10297,
"Goyder (DC)",10,24,28,63,86,190,97,191,146,169,148,81,69,100,49,23,16,3,13,0,12,0,131,61,508,2218,
"Grant (DC)",14,21,17,46,59,187,101,207,212,252,234,164,202,287,179,98,82,31,40,20,28,8,207,81,929,3684,
"Holdfast Bay (C)",28,140,108,324,421,1079,824,1051,1117,1302,1035,811,802,1424,904,673,550,312,264,269,218,28,1028,373,2979,18078,
"Kangaroo Island (DC)",3,18,36,72,80,189,131,186,171,195,162,110,98,124,56,26,26,8,8,5,4,4,124,81,1262,3184,
"Karoonda East Murray (DC)",3,4,12,19,23,53,20,50,39,40,42,17,14,29,7,8,0,0,5,0,0,0,24,16,167,597,
"Kimba (DC)",0,0,6,14,14,33,21,37,20,40,45,24,18,41,18,8,9,5,5,0,9,0,19,20,180,589,
"Kingston (DC)",6,8,12,24,29,107,60,126,93,101,71,46,51,68,31,18,17,3,8,3,7,5,64,24,646,1622,
"Light (RegC)",14,26,30,101,91,273,219,374,358,425,439,333,350,595,393,222,139,78,55,33,26,4,433,82,574,5654,
"Lower Eyre Peninsula (DC)",16,15,15,33,68,140,90,151,167,190,175,124,136,216,89,67,37,14,17,10,13,0,162,69,772,2793,
"Loxton Waikerie (DC)",11,46,48,124,163,497,282,529,373,423,396,240,237,393,187,85,53,15,27,12,21,3,287,166,1003,5617,
"Mallala (DC)",4,30,24,56,76,187,127,228,244,292,289,218,197,332,175,126,42,28,24,7,9,4,262,73,552,3611,
"Maralinga Tjarutja (AC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,4,16,
"Marion (C)",77,412,339,922,1351,2711,1833,2672,2744,3061,2712,2272,2023,3787,2298,1415,789,389,288,240,114,13,2336,788,4220,39791,
"Mid Murray (DC)",8,41,46,127,169,487,227,460,322,320,259,205,142,209,100,59,46,10,13,7,8,3,241,130,3123,6763,
"Mitcham (C)",41,234,181,434,501,1394,1086,1468,1428,1872,1697,1338,1306,2418,1813,1297,1018,603,606,531,421,53,1883,385,2674,26682,
"Mount Barker (DC)",25,77,75,215,290,734,569,885,863,1043,924,794,830,1365,854,466,329,184,153,113,81,18,1032,237,1404,13541,
"Mount Gambier (C)",20,76,78,324,457,1085,634,1005,874,965,820,661,587,904,470,220,147,60,51,37,41,0,620,331,1860,12328,
"Mount Remarkable (DC)",8,14,17,38,49,122,78,137,92,117,76,54,63,68,59,23,22,3,12,6,0,0,106,63,456,1677,
"Murray Bridge (RC)",22,75,55,256,375,820,487,908,709,791,633,441,407,616,282,140,94,36,22,38,19,0,525,274,1627,9660,
