Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Break O'Day (M)",12,36,36,117,160,393,199,349,238,244,175,84,83,114,53,19,20,5,9,5,15,3,195,107,1853,4527,
"Brighton (M)",9,43,36,138,269,470,337,569,521,571,494,369,338,563,259,132,87,25,25,13,12,0,403,193,671,6553,
"Burnie (C)",9,65,62,229,354,822,500,814,616,756,564,418,392,565,318,147,113,49,37,25,40,3,482,259,1267,8904,
"Central Coast (M)",12,73,50,218,349,941,511,910,762,732,645,470,463,659,356,206,113,60,51,32,35,5,609,279,1345,9869,
"Central Highlands (M)",0,12,10,31,47,136,49,121,81,89,69,40,48,43,23,17,8,4,3,3,3,0,58,44,1646,2581,
"Circular Head (M)",8,16,22,71,111,261,185,320,242,271,253,179,170,264,126,57,38,11,15,7,18,0,218,110,864,3840,
"Clarence (C)",34,141,102,408,659,1548,1134,1659,1649,1937,1674,1377,1211,2146,1365,833,563,260,237,198,110,15,1473,541,2616,23893,
"Derwent Valley (M)",3,31,24,98,195,392,248,391,341,359,326,227,212,293,137,73,38,14,12,12,13,0,275,124,604,4453,
"Devonport (C)",25,75,64,303,478,1159,712,1063,864,989,775,551,453,680,345,195,146,55,59,23,29,0,624,326,1562,11566,
"Dorset (M)",5,27,31,96,125,362,179,357,220,241,190,149,121,155,71,38,31,13,11,5,9,0,185,87,1083,3776,
"Flinders (M)",0,8,3,20,23,41,23,32,44,54,29,23,21,34,20,10,8,0,0,3,3,0,32,18,216,648,
"George Town (M)",8,41,16,97,137,335,165,320,241,226,170,122,126,175,91,47,25,11,10,8,6,0,197,78,929,3587,
"Glamorgan/Spring Bay (M)",3,21,20,62,77,221,140,227,205,163,130,87,92,117,47,19,18,5,11,0,14,3,136,93,2126,4045,
"Glenorchy (C)",36,141,120,505,886,1953,1247,1828,1666,1796,1548,1151,947,1532,816,381,243,67,64,50,26,8,1078,574,2392,21058,
"Hobart (C)",46,288,169,543,598,1221,1039,1180,1286,1713,1462,1200,1134,1992,1190,899,832,388,407,427,313,28,1537,401,3520,23810,
"Huon Valley (M)",16,53,70,184,278,688,362,679,558,570,517,390,291,515,234,117,66,41,36,16,28,3,440,190,1692,8031,
"Kentish (M)",9,23,21,71,86,240,122,261,186,256,180,119,102,161,90,28,25,19,8,10,9,4,180,81,442,2730,
"King Island (M)",0,4,9,18,19,70,41,46,52,60,56,29,31,77,36,18,16,5,4,4,5,0,51,26,192,861,
"Kingborough (M)",16,94,84,239,349,937,705,1009,978,1243,1037,851,806,1472,868,561,408,191,150,123,79,21,997,243,2397,15884,
"Latrobe (M)",11,29,32,91,142,399,244,451,347,394,345,257,226,334,186,88,84,33,22,11,14,5,301,124,945,5123,
"Launceston (C)",54,265,187,910,1111,2472,1720,2468,2115,2390,1987,1514,1273,2051,1107,614,443,182,173,173,135,21,1621,756,4255,30012,
"Meander Valley (M)",23,63,61,214,281,756,466,799,606,682,562,411,386,628,372,174,136,35,44,32,16,3,526,199,1195,8670,
"Northern Midlands (M)",16,45,40,124,188,493,294,534,431,470,402,304,234,389,245,100,74,21,26,20,24,3,372,161,953,5947,
"Sorell (M)",6,38,25,143,198,500,320,520,501,514,493,371,310,522,257,144,93,32,20,19,10,4,390,151,1539,7120,
"Southern Midlands (M)",4,18,23,66,79,238,122,238,185,219,179,147,121,182,84,46,29,17,13,3,7,0,180,57,437,2712,
"Tasman (M)",0,7,3,46,48,121,64,142,85,84,71,45,33,53,13,6,9,8,4,0,4,0,85,49,1266,2252,
"Waratah/Wynyard (M)",14,46,49,199,246,639,313,620,464,449,406,271,254,420,237,107,69,35,25,18,27,3,385,165,1156,6611,
"West Coast (M)",6,36,22,80,105,242,90,151,140,130,134,93,110,158,67,32,50,15,5,3,3,0,122,82,1060,2945,
"West Tamar (M)",17,75,56,207,293,735,457,906,750,819,646,506,489,789,484,231,159,91,77,64,34,4,616,221,1774,10499,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,
"Total",389,1808,1463,5519,7894,18794,11984,18974,16368,18424,15540,11746,10496,17087,9492,5361,3952,1681,1558,1294,1043,142,13782,5744,42003,242514,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
