Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alpine (S)",10,52,48,112,203,490,339,515,440,470,398,293,240,386,217,122,99,37,48,40,34,13,379,283,1969,7239,
"Ararat (RC)",18,27,28,119,161,426,281,474,412,412,339,218,203,324,177,92,86,26,22,19,20,0,328,186,1009,5407,
"Ballarat (C)",88,388,266,945,1418,3384,2214,3500,3167,3416,3061,2405,2081,3560,1969,1112,815,387,364,293,225,26,2538,1176,6438,45230,
"Banyule (C)",85,571,293,790,1109,2393,1681,2741,2596,3347,2954,2690,2550,5113,3395,2305,1947,1058,1031,961,700,85,3255,1064,5495,50228,
"Bass Coast (S)",37,164,132,398,586,1518,967,1510,1171,1322,1047,704,622,861,405,221,212,77,80,40,54,12,892,585,12186,25813,
"Baw Baw (S)",53,178,160,401,541,1417,890,1611,1437,1647,1376,1087,1035,1631,961,496,388,228,167,143,79,21,1264,553,3162,20919,
"Bayside (C)",90,428,239,501,765,1569,1258,1528,1594,2009,1794,1540,1483,3295,2104,1611,2641,1538,1596,1736,1845,254,3021,927,5732,41092,
"Benalla (RC)",16,48,66,141,256,593,359,658,527,503,418,308,261,384,214,101,65,34,38,12,27,0,381,234,1155,6812,
"Boroondara (C)",154,1403,524,1043,1096,2099,2030,2303,2699,3515,3404,2916,2861,5931,3793,2807,3907,2288,2559,2914,3216,480,5241,1330,8908,69419,
"Brimbank (C)",201,1145,575,1645,1781,4226,2675,4901,4597,5562,4929,3915,3578,6024,3735,2116,1377,732,539,462,282,52,5021,1827,7396,69274,
