Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Albany (C)",33,118,105,276,485,1136,729,1212,957,1276,997,828,825,1256,765,454,291,146,138,89,91,11,1048,430,3228,16926,
"Armadale (C)",53,314,181,531,601,1448,1141,1751,1739,2377,2193,1848,1669,3276,1983,1176,929,475,372,300,196,21,2477,600,4227,31867,
"Ashburton (S)",3,23,9,24,35,71,37,73,81,118,96,105,137,497,181,137,245,99,120,88,63,5,176,210,943,3590,
"Augusta-Margaret River (S)",20,63,36,109,151,336,287,385,414,454,403,304,328,519,297,156,133,64,56,45,45,6,560,174,2453,7799,
"Bassendean (T)",16,86,46,128,196,413,248,355,351,410,397,371,333,654,442,291,203,126,100,69,61,3,489,145,914,6843,
"Bayswater (C)",84,355,180,535,732,1537,1003,1644,1578,1933,1747,1477,1385,2727,1711,1225,1080,552,502,384,273,15,1984,546,4705,29903,
"Belmont (C)",43,228,133,374,506,989,536,940,924,1238,1024,901,878,1631,930,665,550,226,219,188,114,14,1247,366,3576,18457,
"Beverley (S)",0,11,7,10,34,76,36,68,53,58,63,25,29,38,34,12,10,5,6,5,10,0,68,30,247,921,
"Boddington (S)",0,10,9,9,25,42,18,36,36,29,30,31,41,89,45,33,40,28,13,5,3,0,55,14,248,896,
"Boyup Brook (S)",5,13,11,25,24,58,30,62,46,64,47,23,31,62,34,18,13,4,17,4,9,0,60,29,229,901,
"Bridgetown-Greenbushes (S)",5,32,23,52,75,192,110,211,122,160,127,113,77,150,98,54,32,20,17,3,4,0,168,49,522,2413,
"Brookton (S)",0,8,4,8,15,26,19,41,32,31,25,14,21,33,21,17,8,3,0,0,10,0,30,24,134,514,
"Broome (S)",18,102,56,149,201,313,244,450,482,588,500,370,431,783,504,371,290,120,176,97,93,21,600,474,1437,8857,
"Broomehill-Tambellup (S)",0,0,0,8,9,17,15,32,36,31,33,17,20,30,12,14,8,3,5,0,9,0,36,17,132,500,
"Bruce Rock (S)",0,3,0,16,6,36,20,36,36,27,25,18,21,23,24,14,9,5,4,5,7,0,36,9,95,478,
"Bunbury (C)",23,132,90,316,482,1024,677,1091,951,1022,915,687,646,1147,675,414,341,167,157,111,79,12,1026,381,2866,15440,
"Busselton (C)",31,150,99,274,392,901,654,1092,926,1067,981,761,744,1285,782,497,366,145,182,120,108,17,1363,365,5457,18753,
