Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Albury (C)",5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,4,0,125,150,
"Armidale Regional (A)",23,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,139,
"Ballina (A)",3,0,6,0,6,0,5,3,0,0,0,0,0,0,0,0,4,5,0,3,0,91,120,
"Balranald (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,
"Bathurst Regional (A)",8,0,0,0,3,0,5,0,0,0,0,0,5,0,0,4,4,0,0,0,0,94,123,
"Bega Valley (A)",17,0,5,0,3,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,82,114,
"Bellingen (A)",6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,51,
"Berrigan (A)",12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,26,47,
"Blacktown (C)",0,0,12,0,19,0,32,22,11,3,4,5,12,7,0,6,11,0,7,29,19,1407,1599,
"Bland (A)",18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,35,
"Blayney (A)",10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,
"Blue Mountains (C)",0,0,7,0,0,0,12,4,0,0,0,0,0,5,0,3,3,0,0,10,0,164,216,
"Bogan (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,
"Botany Bay (C)",0,0,5,0,4,0,5,6,0,0,0,0,3,0,3,0,0,0,0,3,0,178,207,
"Bourke (A)",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,
"Brewarrina (A)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,
"Broken Hill (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,61,
"Burwood (A)",0,0,0,0,3,0,6,10,0,0,0,0,0,0,0,0,0,0,4,0,6,225,263,
"Byron (A)",3,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,3,5,0,3,5,67,98,
"Cabonne (A)",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,34,65,
"Camden (A)",3,0,4,0,7,0,4,0,0,0,0,0,7,0,0,0,3,4,0,0,6,162,216,
"Campbelltown (C) (NSW)",0,0,5,0,6,0,8,11,0,0,0,0,3,0,0,0,9,0,0,11,9,539,620,
"Canada Bay (A)",0,0,3,0,6,0,10,3,5,0,3,0,12,0,0,3,6,0,0,10,0,348,413,
"Canterbury-Bankstown (A)",0,0,6,0,27,5,22,30,7,5,0,6,18,5,6,0,27,0,20,21,26,1795,2043,
"Carrathool (A)",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,
"Central Coast (C) (NSW)",14,0,11,0,20,11,20,27,0,0,0,0,17,3,4,7,16,0,4,21,18,887,1081,
"Central Darling (A)",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
"Cessnock (C)",0,0,3,0,8,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,133,171,
"Clarence Valley (A)",33,0,0,0,4,0,0,4,0,0,0,0,3,3,0,0,4,0,3,0,3,136,209,
"Cobar (A)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,
"Coffs Harbour (C)",24,0,3,0,3,0,6,6,0,0,4,0,0,3,0,0,11,5,0,5,0,239,307,
"Coolamon (A)",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,
"Coonamble (A)",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,
"Cowra (A)",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,
"Cumberland (A)",0,0,10,0,28,0,22,15,10,0,5,4,10,9,4,3,14,0,6,9,27,1477,1645,
"Dungog (A)",8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,
"Edward River (A)",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41,
"Eurobodalla (A)",6,0,0,0,4,0,4,3,0,0,0,0,0,3,0,0,0,5,0,0,0,107,135,
"Fairfield (C)",0,0,9,0,16,0,20,20,10,0,3,0,11,10,3,7,11,0,10,18,25,1280,1446,
"Federation (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,
"Forbes (A)",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,
"Georges River (A)",0,0,0,0,13,0,5,14,5,0,5,0,4,4,0,0,8,0,6,8,0,583,680,
"Gilgandra (A)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,
"Glen Innes Severn (A)",12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,37,58,
"Goulburn Mulwaree (A)",7,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,77,107,
"Greater Hume Shire (A)",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,53,
"Griffith (C)",17,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,115,
"Gundagai (A)",9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,62,
"Gunnedah (A)",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,71,
"Gwydir (A)",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,51,
"Hawkesbury (C)",3,0,0,4,15,0,0,3,3,0,0,0,0,4,0,0,3,3,3,3,5,208,263,
"Hay (A)",4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,
"Hilltops (A)",35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,60,105,
"Hornsby (A)",0,0,0,0,5,0,7,7,3,6,5,0,8,0,0,4,12,3,6,5,11,337,432,
"Hunters Hill (A)",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,55,67,
"Inner West (A)",0,0,8,0,5,4,11,18,0,0,5,7,22,6,6,4,4,5,4,11,9,473,599,
"Inverell (A)",15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,56,91,
"Junee (A)",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,
"Kempsey (A)",11,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,74,105,
"Kiama (A)",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,39,51,
"Ku-ring-gai (A)",0,0,0,0,0,4,9,6,0,0,0,5,13,3,0,7,6,0,5,13,5,287,365,
