Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,60,70,
"Barkly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,
"Coomalie (S)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,
"Darwin (C)",0,0,0,0,8,0,13,4,4,0,0,0,0,0,8,8,0,0,4,5,4,248,299,
"East Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,
"Katherine (T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,
"Litchfield (M)",3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,64,
"MacDonnell (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,
"Palmerston (C)",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,4,0,111,130,
"Roper Gulf (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,
"Tiwi Islands (R)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,
"Victoria Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
"West Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Unincorporated NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,
"No usual address (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
"Total",21,0,4,0,16,0,17,14,3,0,0,0,3,9,7,10,10,0,6,3,8,634,763,


" Nil income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,0,3,0,5,0,5,6,0,0,0,0,0,0,6,4,4,3,6,9,3,1152,1216,
"Barkly (R)",0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,5,0,197,214,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,
"Central Desert (R)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,95,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,
"Darwin (C)",3,3,0,0,14,0,20,31,6,0,5,3,10,10,16,13,16,15,11,10,22,4416,4625,
"East Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,502,505,
"Katherine (T)",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,386,402,
"Litchfield (M)",3,0,5,0,9,0,6,5,3,0,0,3,4,3,0,0,0,0,3,14,0,1139,1197,
"MacDonnell (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,170,184,
