Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,
"Brighton (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,47,58,
"Burnie (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,
"Central Coast (M)",9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,54,
"Central Highlands (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,
"Circular Head (M)",8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,
"Clarence (C)",6,0,3,0,3,0,5,3,0,0,0,0,3,6,0,0,0,0,6,4,0,104,149,
"Derwent Valley (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,
"Devonport (C)",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,67,90,
"Dorset (M)",7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,26,
"Flinders (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"George Town (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,32,
"Glamorgan/Spring Bay (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,
"Glenorchy (C)",0,0,0,0,6,0,6,3,5,0,0,0,0,0,4,0,0,0,4,0,6,116,146,
"Hobart (C)",4,0,4,0,0,0,6,7,0,0,0,0,0,4,0,5,0,0,0,7,0,139,160,
"Huon Valley (M)",8,0,0,0,0,0,5,8,0,0,0,3,0,0,0,0,0,0,0,0,0,43,70,
"Kentish (M)",9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,
"King Island (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
"Kingborough (M)",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,53,70,
"Latrobe (M)",3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,
"Launceston (C)",3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,3,6,4,4,173,209,
"Meander Valley (M)",13,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,69,
"Northern Midlands (M)",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,
"Sorell (M)",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,
"Southern Midlands (M)",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,19,
"Tasman (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,
"Waratah/Wynyard (M)",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54,
"West Coast (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,
"West Tamar (M)",11,0,0,0,4,0,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,50,74,
"No usual address (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",106,0,25,0,27,5,44,45,19,0,3,4,9,12,3,10,15,5,21,29,30,1190,1610,


" Nil income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",7,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,5,0,293,318,
"Brighton (M)",0,0,0,0,4,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,795,820,
"Burnie (C)",5,0,0,0,7,0,5,8,0,0,0,0,0,0,0,0,3,0,0,0,0,1019,1055,
"Central Coast (M)",9,0,3,0,0,0,5,5,0,0,4,3,0,0,0,0,0,0,0,3,0,1085,1132,
"Central Highlands (M)",7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,93,111,
"Circular Head (M)",15,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,358,392,
"Clarence (C)",5,0,9,0,3,0,14,17,3,5,0,0,6,5,0,7,5,6,10,9,4,2493,2590,
"Derwent Valley (M)",3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,562,575,
"Devonport (C)",3,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,4,0,1132,1168,
"Dorset (M)",5,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,3,305,326,
"Flinders (M)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,
"George Town (M)",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,407,416,
"Glamorgan/Spring Bay (M)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,186,
"Glenorchy (C)",0,0,0,0,6,0,16,9,3,0,0,0,0,0,0,5,0,0,4,5,10,2253,2322,
"Hobart (C)",5,0,3,0,3,0,14,17,0,4,3,0,9,4,0,8,9,3,3,7,6,3480,3579,
"Huon Valley (M)",3,0,5,0,4,0,3,12,0,0,0,0,3,4,0,0,0,0,3,4,5,876,923,
"Kentish (M)",6,0,6,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,328,353,
"King Island (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,50,
"Kingborough (M)",5,0,9,0,3,0,9,10,0,0,0,5,6,3,4,5,0,3,5,0,3,1941,2014,
"Latrobe (M)",4,0,4,0,0,0,7,5,0,0,0,0,0,0,0,0,4,0,0,0,0,478,495,
"Launceston (C)",13,0,12,0,0,0,20,19,0,0,0,3,9,0,0,3,6,0,8,4,8,3464,3574,
"Meander Valley (M)",17,0,3,0,0,0,4,5,5,0,0,0,4,0,0,0,3,0,5,4,0,1021,1075,
"Northern Midlands (M)",15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,620,652,
"Sorell (M)",0,0,3,0,5,0,7,0,0,0,0,0,0,0,0,5,0,6,0,6,0,681,708,
"Southern Midlands (M)",9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,293,322,
"Tasman (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,78,
"Waratah/Wynyard (M)",15,0,5,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,6,7,0,680,726,
"West Coast (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,261,
"West Tamar (M)",7,0,0,0,0,3,4,5,0,0,0,0,0,3,0,3,3,0,0,10,0,1323,1362,
"No usual address (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,68,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
"Total",163,5,81,3,52,14,149,169,25,9,11,14,51,36,20,33,50,21,49,67,50,26620,27695,


" $1-$149 ($1-$7,799)"
