Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",70,1216,560,925,803,862,923,1233,1708,2197,1650,1452,1109,1388,531,2930,5186,24751,
"Barkly (R)",13,214,329,1216,393,303,255,233,256,280,189,156,124,140,50,786,1742,6654,
"Belyuen (S)",0,13,5,65,26,0,8,10,0,0,5,0,0,0,0,0,38,166,
"Central Desert (R)",5,95,86,991,240,191,167,92,81,93,67,47,37,73,23,318,1077,3672,
"Coomalie (S)",13,65,23,89,83,81,67,70,67,66,42,50,34,34,18,270,242,1318,
"Darwin (C)",299,4625,1670,2415,2865,2898,3212,3766,5123,6661,5162,4650,3695,5602,3188,8422,14550,78799,
"East Arnhem (R)",12,505,517,2081,480,234,258,128,84,80,60,64,63,65,9,1783,2589,9026,
"Katherine (T)",21,402,253,389,341,327,359,431,553,674,592,546,334,388,120,1793,2191,9719,
"Litchfield (M)",64,1197,417,647,649,733,825,969,1402,1740,1502,1273,941,1755,977,4543,4224,23857,
"MacDonnell (R)",13,184,476,1054,331,185,186,127,113,109,102,42,51,54,17,1758,1239,6031,
"Palmerston (C)",130,2045,687,975,997,1005,1161,1478,2132,2725,2302,2020,1422,2210,1106,2672,8713,33786,
"Roper Gulf (R)",23,295,485,1296,396,238,287,185,167,128,88,88,69,84,24,762,1880,6504,
"Tiwi Islands (R)",17,121,424,422,194,96,116,64,34,52,38,29,25,43,6,165,615,2452,
"Victoria Daly (R)",15,161,121,378,113,105,112,116,106,89,76,50,26,43,13,523,764,2815,
"Wagait (S)",3,26,9,27,28,23,26,20,23,30,33,31,16,27,11,36,67,460,
"West Arnhem (R)",30,199,514,1257,311,140,220,155,119,135,120,103,90,160,34,953,1636,6192,
"West Daly (R)",0,148,352,665,169,118,119,31,39,28,40,28,16,19,6,331,1037,3167,
"Unincorporated NT",24,288,86,173,179,210,240,431,395,505,392,322,284,570,298,1025,1474,6908,
"No usual address (NT)",9,134,56,241,310,233,134,148,128,88,72,55,28,55,38,545,204,2485,
"Migratory - Offshore - Shipping (NT)",3,0,6,10,6,3,0,0,0,0,11,3,0,4,0,22,4,73,
"Total",763,11930,7077,15319,8927,7989,8671,9685,12545,15696,12548,11008,8361,12721,6486,29637,49474,228838,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
