Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Aurukun (S)",4,72,35,435,112,43,47,26,18,24,15,14,10,8,5,47,367,1275,
"Balonne (S)",29,230,114,227,307,283,306,295,325,312,206,164,91,88,64,405,940,4378,
"Banana (S)",114,826,464,693,794,851,828,847,841,888,557,505,417,874,373,1271,3166,14315,
"Barcaldine (R)",22,120,82,161,212,184,193,195,233,189,141,107,67,84,56,234,585,2863,
"Barcoo (S)",0,9,5,10,18,20,26,27,21,31,22,10,10,4,8,15,39,271,
"Blackall-Tambo (R)",28,76,56,127,188,189,135,145,128,148,61,55,30,23,18,156,330,1903,
"Boulia (S)",3,11,5,25,18,15,29,52,34,31,14,13,9,8,11,72,74,425,
"Brisbane (C)",4196,87458,38679,57335,61528,64425,63931,64263,75033,82467,60915,56032,38428,61718,42317,73151,199274,1131155,
"Bulloo (S)",8,12,9,6,19,14,16,27,37,30,21,16,14,16,4,38,58,352,
"Bundaberg (R)",381,4941,3138,7353,10480,8941,7024,6270,5811,5172,2883,2461,1404,1660,903,7667,16410,92894,
"Burdekin (S)",60,846,559,915,1395,1441,1347,1230,1252,1153,813,617,344,373,212,1479,3033,17075,
"Burke (S)",0,18,0,22,13,8,25,29,27,28,12,4,0,8,5,67,53,328,
"Cairns (R)",654,9082,4667,7986,9298,10029,10300,10889,12009,11230,7217,6124,3810,4722,2375,14422,32105,156900,
"Carpentaria (S)",11,64,38,119,161,125,122,123,117,147,94,68,46,60,35,229,412,1958,
"Cassowary Coast (R)",172,1433,850,1787,2594,2521,2158,2303,2154,1733,973,751,418,549,251,2818,5265,28725,
"Central Highlands (R)",137,1659,812,1077,1184,1217,1197,1327,1424,1628,1315,1066,909,1817,1065,3241,6919,28002,
"Charters Towers (R)",94,795,389,708,969,990,732,690,634,604,400,381,225,352,142,1225,2549,11881,
"Cherbourg (S)",8,61,37,246,132,120,55,35,29,11,6,5,4,0,4,53,462,1266,
"Cloncurry (S)",15,149,49,114,118,104,98,155,167,190,150,173,142,268,93,422,613,3031,
"Cook (S)",27,175,103,276,299,362,257,277,258,258,148,123,73,91,29,682,785,4222,
"Croydon (S)",0,9,0,20,26,18,19,9,14,23,3,7,4,5,4,68,62,292,
"Diamantina (S)",0,5,5,11,6,15,34,22,21,24,10,13,8,8,5,39,49,287,
"Doomadgee (S)",6,108,48,246,97,49,97,65,29,25,19,14,6,7,4,48,544,1398,
"Douglas (S)",52,468,312,593,759,878,870,995,1087,875,398,356,187,209,161,1577,1933,11716,
"Etheridge (S)",18,31,26,48,71,81,59,53,47,34,31,12,10,18,18,90,149,801,
"Flinders (S)",34,86,44,96,112,102,123,87,124,108,57,38,32,54,25,152,266,1537,
"Fraser Coast (R)",397,5538,3322,8211,12911,10699,7848,6601,5770,5098,2842,2368,1404,1501,846,9106,17043,101503,
"Gladstone (R)",336,5025,2164,3378,3649,3420,3070,2907,2883,3157,2531,2360,1995,4084,2235,4502,13941,61642,
"Gold Coast (C)",2193,36447,17619,29559,37885,38704,38394,39055,41270,40084,25607,21259,13263,17724,10969,44822,100861,555724,
"Goondiwindi (R)",94,490,302,578,757,722,683,721,799,805,460,338,181,221,146,1080,2267,10628,
"Gympie (R)",211,2560,1698,3789,5861,4957,3853,3291,2998,2432,1418,1140,716,805,397,4391,9051,49555,
"Hinchinbrook (S)",52,558,375,754,1082,1042,828,781,728,646,431,352,198,188,129,1025,1706,10884,
