Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Adelaide (C)",167,3666,882,1490,1286,1181,1205,1025,1217,1313,975,921,730,1117,1016,2668,1213,22064,
"Adelaide Hills (DC)",126,2660,1623,2014,2373,2184,2376,2370,2534,2706,2023,1841,1444,1986,1330,2025,7262,38864,
"Alexandrina (DC)",80,1323,860,1868,2786,2598,2242,1833,1803,1512,916,658,427,547,233,2144,4039,25871,
"Anangu Pitjantjatjara (AC)",5,110,41,611,179,109,71,51,28,37,55,30,28,38,7,334,549,2270,
"Barossa (DC)",66,1303,865,1302,1819,1878,1715,1622,1816,1786,1151,872,571,742,315,1364,4379,23560,
"Barunga West (DC)",5,107,80,210,322,302,198,166,154,125,79,76,59,70,23,226,346,2542,
"Berri and Barmera (DC)",43,468,326,770,1158,973,830,769,789,654,385,261,146,185,84,797,1892,10545,
"Burnside (C)",171,3869,1858,2155,2113,2336,2324,2250,2610,2847,2182,2190,1674,2723,3033,2078,7495,43912,
"Campbelltown (C)",206,4026,1994,3307,4194,4113,3391,3294,3540,3617,2326,1994,1380,1688,621,2287,8192,50159,
"Ceduna (DC)",10,147,76,170,233,199,225,198,201,269,174,150,77,71,49,447,704,3406,
"Charles Sturt (C)",501,7268,4097,7762,9353,9184,7590,7435,8235,8125,5398,4554,2961,3723,1782,6456,17341,111761,
"Clare and Gilbert Valleys (DC)",30,421,285,530,776,810,762,677,647,629,370,309,193,215,122,618,1627,9021,
"Cleve (DC)",7,70,87,114,133,123,121,117,146,139,65,52,39,47,24,134,357,1770,
"Coober Pedy (DC)",11,100,31,145,155,143,83,109,99,96,70,44,35,26,10,314,278,1766,
"Copper Coast (DC)",31,616,462,1165,1931,1475,1082,980,899,741,413,309,219,267,111,1245,2189,14138,
"Elliston (DC)",9,56,34,74,99,99,74,64,64,77,30,30,9,32,21,61,203,1045,
"Flinders Ranges (DC)",7,75,59,116,169,156,108,100,103,99,70,68,37,44,26,157,250,1640,
"Franklin Harbour (DC)",6,56,42,93,134,115,86,116,77,60,39,28,22,41,15,141,220,1298,
"Gawler (T)",89,1306,891,1560,2122,1922,1696,1551,1681,1663,1038,768,505,547,161,1451,4081,23035,
"Goyder (DC)",24,221,167,324,493,383,316,274,257,231,141,106,57,54,38,335,713,4134,
"Grant (DC)",50,366,296,409,567,536,551,525,608,596,345,282,182,228,131,990,1537,8201,
"Holdfast Bay (C)",101,1881,1259,1925,2117,2700,2561,2268,2560,2734,1911,1761,1231,1797,1249,2551,4753,35361,
"Kangaroo Island (DC)",28,181,171,329,443,441,414,377,367,290,151,112,65,67,40,465,776,4702,
"Karoonda East Murray (DC)",9,65,38,99,118,121,90,74,82,58,22,16,8,16,5,69,199,1088,
"Kimba (DC)",12,35,29,38,77,80,73,79,69,82,45,40,23,25,24,76,254,1055,
"Kingston (DC)",13,101,83,163,224,212,200,172,186,137,75,71,47,62,46,190,367,2347,
"Light (RegC)",53,907,598,843,1033,904,959,947,1097,1150,719,594,392,475,149,729,3191,14733,
"Lower Eyre Peninsula (DC)",31,273,176,279,369,378,331,370,420,414,220,181,116,160,61,627,1091,5507,
"Loxton Waikerie (DC)",52,513,415,760,1131,1087,944,935,851,764,418,270,183,158,105,875,2020,11481,
"Mallala (DC)",48,614,308,555,674,634,575,629,678,651,378,310,162,208,74,622,1700,8801,
"Maralinga Tjarutja (AC)",0,0,0,7,0,0,0,0,0,0,0,6,0,3,0,32,8,62,
"Marion (C)",331,6032,3438,5813,6838,7026,6246,6038,6612,6980,4463,3784,2381,2817,869,4569,14385,88618,
