Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",20,318,205,641,863,804,460,421,310,239,132,106,74,91,47,521,863,6104,
"Brighton (M)",58,820,526,1083,1471,1241,1183,1193,1218,1109,594,437,241,211,83,1167,3885,16512,
"Burnie (C)",33,1055,740,1388,1924,1684,1358,1334,1250,1180,681,530,391,354,177,1360,3449,18894,
"Central Coast (M)",54,1132,683,1575,2255,2140,1677,1518,1419,1316,792,712,425,447,178,1421,3626,21362,
"Central Highlands (M)",13,111,63,199,269,235,143,134,146,117,65,57,26,26,20,188,341,2145,
"Circular Head (M)",38,392,212,513,728,634,584,574,603,568,289,220,119,121,70,629,1621,7920,
"Clarence (C)",149,2590,1871,3131,4089,4249,4065,3690,4174,4210,2739,2332,1616,1759,737,3567,9852,54818,
"Derwent Valley (M)",23,575,316,764,1062,940,793,694,701,619,309,277,160,126,57,723,1873,10022,
"Devonport (C)",90,1168,808,1876,2606,2515,2019,1794,1655,1442,858,607,448,411,201,1705,4493,24702,
"Dorset (M)",26,326,235,541,806,684,554,463,404,374,189,147,85,78,45,520,1140,6619,
"Flinders (M)",3,35,38,77,90,89,67,62,64,76,41,30,14,20,11,62,135,899,
"George Town (M)",32,416,202,570,836,695,453,402,359,296,194,189,123,96,53,591,1247,6763,
"Glamorgan/Spring Bay (M)",13,186,110,325,565,534,406,358,325,231,127,85,57,71,70,405,538,4400,
"Glenorchy (C)",146,2322,1518,3226,4172,4393,3621,3493,3647,3266,1905,1321,689,623,200,3281,8426,46246,
"Hobart (C)",160,3579,1964,3020,3012,3393,3453,3013,3198,3652,2689,2505,1881,2701,1698,3308,7233,50443,
"Huon Valley (M)",70,923,626,1302,1670,1533,1133,1136,1039,1027,615,398,205,290,144,1188,2911,16199,
"Kentish (M)",29,353,230,534,681,642,436,414,364,368,188,144,89,106,50,487,1020,6126,
"King Island (M)",8,50,30,88,102,137,120,141,122,115,79,66,40,56,21,157,247,1583,
"Kingborough (M)",70,2014,1417,1997,2454,2662,2548,2391,2501,2639,1905,1570,1031,1253,565,1714,7129,35852,
"Latrobe (M)",34,495,337,780,1124,957,924,795,732,684,421,349,185,220,112,757,1789,10700,
"Launceston (C)",209,3574,2272,5031,5596,5597,5058,4722,4527,4210,2491,1991,1304,1345,840,4928,11565,65274,
"Meander Valley (M)",69,1075,707,1342,2023,1744,1537,1385,1330,1215,766,604,380,346,155,1273,3328,19281,
"Northern Midlands (M)",49,652,428,870,1302,1110,986,985,961,842,495,335,193,196,136,1066,2205,12821,
"Sorell (M)",38,708,426,964,1332,1272,1103,1061,1135,1067,628,466,244,244,93,948,2680,14415,
"Southern Midlands (M)",19,322,213,461,592,545,415,489,479,404,186,164,73,77,48,428,1131,6042,
"Tasman (M)",8,78,57,226,340,261,193,166,110,112,70,53,23,20,29,303,327,2372,
"Waratah/Wynyard (M)",54,726,474,1000,1513,1366,989,944,850,767,485,431,275,238,132,988,2339,13575,
"West Coast (M)",9,261,116,400,448,406,221,196,210,193,145,121,108,156,46,353,767,4152,
"West Tamar (M)",74,1362,844,1576,2121,1974,1609,1532,1634,1454,907,782,542,587,281,1465,3988,22719,
"No usual address (Tas.)",0,68,36,156,100,98,54,50,38,35,21,8,7,21,8,135,81,911,
"Migratory - Offshore - Shipping (Tas.)",0,3,0,0,5,8,8,4,3,11,0,10,9,11,0,7,0,75,
"Total",1610,27695,17695,35654,46142,44520,38177,35549,35525,33831,21022,17032,11038,12296,6316,35646,90205,509961,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
