Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Alpine (S)",49,532,477,762,1229,1150,1042,907,937,772,489,361,201,237,119,1114,1953,12335,
"Ararat (RC)",59,483,331,804,1005,1073,919,878,797,634,403,306,198,189,116,1616,1805,11599,
"Ballarat (C)",358,5612,3671,6753,8209,8556,7217,6974,6996,6714,4358,3350,2213,2564,1491,7178,19469,101689,
"Banyule (C)",435,8786,4762,6497,7343,7725,7187,6933,7924,8575,6522,5877,4155,6227,3815,7097,22011,121869,
"Bass Coast (S)",150,1567,1097,2382,3584,3383,2850,2408,2079,1817,1014,835,483,559,374,2881,5347,32806,
"Baw Baw (S)",220,2938,1773,3014,3887,3925,3466,3349,3326,3040,1973,1503,1059,1299,685,3727,9290,48477,
"Bayside (C)",311,7422,3885,4051,4323,4810,4566,4388,5086,5655,4411,4401,3264,6609,9305,6187,18416,97092,
"Benalla (RC)",54,680,454,984,1437,1316,1114,1051,1005,836,506,359,231,236,148,1277,2170,13863,
"Boroondara (C)",582,15943,7102,7677,6966,7341,7767,7701,9128,10461,8230,7955,5788,11305,14544,9946,28805,167232,
"Brimbank (C)",1369,19771,7709,15579,16343,13147,11434,12916,13814,12443,7313,4999,3017,3448,1266,13899,35863,194315,
"Buloke (S)",75,365,218,460,640,692,466,376,401,352,171,149,72,56,50,661,1002,6202,
"Campaspe (S)",201,1895,1296,2239,3463,3262,2902,2774,2686,2443,1315,1015,618,646,352,3301,6633,37054,
"Cardinia (S)",329,6536,3255,4733,5684,5573,5865,6219,7139,7179,4652,3458,2148,2590,1065,5977,21724,94130,
"Casey (C)",1589,27186,11131,16727,17876,16543,17095,20321,23319,22375,13975,9884,6144,7295,2809,17180,67849,299296,
"Central Goldfields (S)",67,668,455,1133,1799,1560,1095,927,840,572,281,189,106,121,60,1107,2011,12993,
"Colac-Otway (S)",139,947,789,1283,1896,1874,1721,1570,1678,1451,812,513,343,332,221,1709,3700,20971,
"Corangamite (S)",142,824,641,1048,1399,1407,1240,999,1148,1008,588,443,242,271,240,1470,2924,16053,
"Darebin (C)",634,10959,5127,9630,11263,9938,8353,8634,9749,10278,7334,6216,4147,6192,3398,11434,23442,146722,
"East Gippsland (S)",206,2127,1544,3302,4883,4481,3756,3279,2980,2631,1423,1045,599,680,437,4504,7151,45041,
"Frankston (C)",484,8460,4749,7531,9148,9674,8943,9208,10459,10292,6705,5032,3235,3742,1522,9929,25029,134144,
"Gannawarra (S)",79,531,391,753,1142,1104,906,850,756,602,297,215,117,124,92,912,1682,10548,
"Glen Eira (C)",514,12612,5033,6625,7284,7771,7295,7158,8446,9540,7236,6708,4953,8544,7062,8322,25772,140875,
"Glenelg (S)",82,1032,800,1414,1806,1763,1434,1299,1166,1174,678,588,452,569,238,1889,3178,19556,
"Golden Plains (S)",100,1365,822,1299,1591,1339,1327,1366,1444,1519,956,825,491,595,267,1447,4923,21687,
"Greater Bendigo (C)",327,5699,4064,7114,8979,8628,8021,8121,8023,7169,4785,3622,2281,2691,1247,8508,21193,110479,
"Greater Dandenong (C)",1149,16874,5473,12018,13156,11065,9506,11272,11392,9386,5034,3367,1817,1882,702,10507,27448,152052,
"Greater Geelong (C)",791,14331,9062,14838,18462,18484,16336,15266,15786,15534,10303,8358,5584,7079,3740,17217,42260,233426,
"Greater Shepparton (C)",336,3541,2237,3945,5056,4817,4473,4484,4569,4261,2550,1835,1119,1274,659,5981,12706,63839,
"Hepburn (S)",65,813,485,1035,1414,1639,1212,1080,1049,871,530,434,248,342,207,1512,2393,15327,
"Hindmarsh (S)",54,318,211,385,641,586,467,419,424,329,185,129,86,79,56,464,866,5725,
