Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Albany (C)",142,1961,1272,2066,3078,2843,2619,2470,2473,2364,1478,1279,925,1126,533,3177,6780,36585,
"Armadale (C)",352,6438,2655,4318,4605,4336,4305,4327,5217,5896,4047,3447,2267,3251,1333,5082,17729,79596,
"Ashburton (S)",34,452,119,198,120,133,131,166,229,444,419,482,656,2522,2986,2217,1717,13026,
"Augusta-Margaret River (S)",64,692,468,734,934,954,1035,970,989,1020,575,492,333,484,297,1109,3103,14257,
"Bassendean (T)",62,1051,514,845,984,934,859,801,950,1035,817,785,570,843,327,1008,2699,15093,
"Bayswater (C)",337,4889,2065,3539,4231,4032,3755,3709,4214,4719,3583,3193,2239,3629,1623,4732,10198,64674,
"Belmont (C)",236,2943,1119,2070,2481,2469,2157,2219,2821,2939,2031,1776,1173,1885,777,4200,6388,39685,
"Beverley (S)",5,88,45,117,208,143,106,119,106,115,61,40,43,55,28,201,272,1749,
"Boddington (S)",7,156,42,89,93,97,77,84,62,56,84,86,97,187,72,151,404,1846,
"Boyup Brook (S)",10,107,52,119,127,116,124,109,92,127,73,55,31,59,26,149,322,1702,
"Bridgetown-Greenbushes (S)",20,283,187,329,489,384,307,315,249,237,150,133,122,201,53,373,821,4661,
"Brookton (S)",0,47,25,60,75,63,63,68,65,54,40,41,24,26,23,132,169,974,
"Broome (S)",82,722,306,892,667,598,678,771,968,1186,842,762,629,932,354,1949,3883,16217,
"Broomehill-Tambellup (S)",6,40,22,70,94,77,66,78,76,55,48,31,24,35,29,136,277,1142,
"Bruce Rock (S)",4,37,25,59,63,75,51,52,61,48,36,35,36,40,33,78,187,926,
"Bunbury (C)",121,1896,985,1860,2602,2372,2175,2058,2090,1966,1323,1143,920,1305,707,2841,5541,31920,
"Busselton (C)",129,2091,1205,1869,2697,2500,2616,2470,2416,2374,1496,1336,902,1399,811,2897,7478,36688,
"Cambridge (T)",64,1962,1100,1027,950,1178,1096,969,1256,1469,1158,1226,951,2086,3102,1540,5646,26782,
"Canning (C)",534,10449,3663,5475,5508,5314,4977,4947,5611,6132,4330,3614,2686,4182,2109,4827,15850,90187,
"Capel (S)",61,1348,653,752,972,896,895,915,988,1033,754,712,606,939,432,1014,4152,17121,
"Carnamah (S)",6,28,15,31,31,49,28,39,37,38,33,20,12,17,10,56,102,551,
"Carnarvon (S)",32,276,123,293,314,299,327,349,393,334,222,161,131,197,89,856,1125,5524,
"Chapman Valley (S)",8,79,50,66,72,75,71,74,71,91,63,62,52,50,41,156,329,1416,
"Chittering (S)",36,508,194,262,382,319,285,266,310,365,241,206,153,258,156,471,1057,5474,
"Claremont (T)",34,927,400,365,382,429,456,407,505,539,475,445,355,726,1171,849,1596,10055,
"Cockburn (C)",493,8222,3584,5240,6024,5369,5457,5297,6435,7439,5678,4913,3686,6007,2804,6931,20891,104472,
"Collie (S)",39,659,318,646,804,660,509,445,372,359,256,216,203,628,217,801,1672,8798,
"Coolgardie (S)",25,327,87,182,175,163,125,135,144,139,120,141,147,362,92,425,831,3613,
"Coorow (S)",8,70,30,68,123,85,69,45,63,78,41,51,26,42,25,77,149,1038,
"Corrigin (S)",4,45,30,48,82,66,74,71,86,89,57,54,34,35,22,111,230,1147,
"Cottesloe (T)",36,521,269,284,260,246,319,261,324,389,314,404,288,630,1187,522,1340,7594,
"Cranbrook (S)",13,40,21,77,101,76,74,75,84,74,44,38,13,27,18,119,200,1084,
"Cuballing (S)",9,45,18,44,92,58,48,44,44,74,24,27,16,38,13,103,157,864,
"Cue (S)",3,9,3,14,15,16,7,6,3,10,12,5,0,6,4,42,31,192,
"Cunderdin (S)",10,153,46,71,76,95,68,83,110,100,60,59,38,47,25,143,277,1456,
"Dalwallinu (S)",13,78,31,70,68,63,87,87,103,122,84,80,39,44,33,122,294,1428,
"Dandaragan (S)",28,183,118,178,256,232,249,180,195,228,136,111,76,171,86,303,495,3212,
"Dardanup (S)",69,1002,475,670,932,861,849,846,835,863,598,531,443,698,270,1065,3028,14028,
"Denmark (S)",21,332,251,336,554,513,452,378,368,309,198,179,132,167,97,550,1011,5850,
"Derby-West Kimberley (S)",8,271,206,1061,711,312,280,236,305,389,246,252,157,220,55,1024,1982,7728,
"Donnybrook-Balingup (S)",44,416,214,386,465,432,376,358,313,312,231,210,137,226,116,575,1053,5871,
"Dowerin (S)",3,27,15,47,47,52,59,39,33,53,26,21,15,15,26,50,161,693,
"Dumbleyung (S)",0,20,9,49,42,57,54,46,52,53,40,28,12,7,13,78,124,673,
"Dundas (S)",5,33,17,38,62,71,31,47,44,34,22,29,19,36,19,150,115,767,
"East Fremantle (T)",17,492,264,360,338,312,336,351,407,404,340,369,301,544,668,518,1349,7375,
"East Pilbara (S)",20,332,148,539,181,123,149,145,258,446,491,486,534,1974,1080,2074,1608,10591,
"Esperance (S)",91,754,440,677,927,895,879,836,806,896,635,565,402,592,299,1599,2933,14238,
"Exmouth (S)",8,110,77,131,156,121,169,173,186,206,129,124,91,165,73,239,565,2727,
"Fremantle (C)",124,1663,937,1683,1898,1917,1628,1407,1560,1868,1425,1345,1159,2014,1494,2672,4096,28893,
"Gingin (S)",39,402,154,345,448,373,335,339,345,332,161,134,134,164,117,508,887,5218,
"Gnowangerup (S)",10,55,30,70,70,69,62,70,78,96,69,55,29,48,35,126,244,1219,
"Goomalling (S)",4,48,27,53,87,87,50,61,66,77,46,34,23,36,26,101,205,1036,
"Gosnells (C)",730,11469,4267,6652,7395,6522,6457,6790,7935,8707,5743,4536,2966,4118,1607,7518,24657,118073,
"Greater Geraldton (C)",171,2540,1254,2041,2626,2382,2268,2166,2177,2384,1639,1548,1212,1770,746,3680,8037,38632,
"Halls Creek (S)",6,137,121,474,210,131,109,64,85,105,72,65,68,66,21,673,871,3267,
"Harvey (S)",140,1971,950,1363,1754,1488,1537,1504,1419,1570,1103,1033,820,1401,587,2020,5890,26549,
"Irwin (S)",31,256,110,244,351,273,251,202,192,196,128,113,100,165,86,270,608,3569,
"Jerramungup (S)",17,32,25,51,53,48,75,71,78,100,49,46,37,36,29,121,231,1106,
"Joondalup (C)",488,12447,6535,7615,8323,8152,8592,7935,8939,10562,8208,7519,5949,10159,6252,7247,29519,154443,
"Kalamunda (S)",241,4658,2083,2779,3413,3247,3225,3124,3667,4296,3067,2550,1880,3022,1476,3555,11180,57451,
"Kalgoorlie/Boulder (C)",134,2093,772,1075,1134,1265,1124,1251,1436,1714,1478,1598,1375,2775,981,2951,6898,30053,
"Karratha (C)",105,1475,441,497,469,400,528,654,757,1067,944,970,957,2485,1795,2629,5309,21472,
"Katanning (S)",14,210,115,232,317,224,230,390,291,230,159,140,83,111,32,530,839,4150,
"Kellerberrin (S)",9,69,29,82,105,122,55,72,75,61,43,45,23,30,22,156,217,1224,
"Kent (S)",5,27,9,20,24,28,27,29,32,42,29,28,14,21,12,65,132,563,
"Kojonup (S)",10,62,55,86,128,123,146,134,147,140,89,76,44,62,51,202,417,1981,
"Kondinin (S)",6,33,18,45,46,57,60,59,76,77,47,29,21,42,25,68,168,875,
"Koorda (S)",4,22,7,26,39,21,28,24,25,30,16,23,6,14,11,25,87,415,
"Kulin (S)",0,31,18,43,37,54,68,47,56,62,48,40,15,15,18,62,156,764,
"Kwinana (C)",218,3088,1154,2152,2214,2062,1945,1999,2437,2879,1957,1498,1043,1425,520,3650,8682,38921,
"Lake Grace (S)",12,52,24,38,61,60,73,67,108,114,69,42,41,59,46,120,280,1266,
"Laverton (S)",5,27,12,91,43,27,28,27,36,34,50,72,97,205,61,204,149,1156,
"Leonora (S)",8,53,11,48,41,41,38,43,39,51,69,76,90,172,71,328,232,1406,
"Mandurah (C)",392,6306,2719,5144,7454,6080,5488,4388,4278,4436,2966,2571,2190,3820,2000,6026,14552,80808,
"Manjimup (S)",44,467,318,601,824,707,602,689,617,601,365,309,181,238,121,847,1731,9253,
"Meekatharra (S)",5,39,19,51,37,45,43,37,55,42,37,45,48,110,46,227,187,1066,
"Melville (C)",367,8301,4431,5135,5304,5444,5353,4849,5253,5968,4721,4536,3634,6671,5690,5628,16793,98076,
"Menzies (S)",0,18,3,78,40,15,20,17,11,21,16,28,32,51,26,60,61,490,
"Merredin (S)",14,245,136,151,220,215,200,199,209,222,134,145,92,151,54,307,653,3353,
"Mingenew (S)",3,20,12,25,33,33,24,23,32,39,20,19,13,15,12,49,87,459,
"Moora (S)",5,106,65,132,174,150,145,151,173,177,104,110,68,80,39,231,514,2433,
"Morawa (S)",5,71,18,46,45,50,46,45,32,45,28,29,22,18,13,71,158,746,
