Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Albury (C)",146,58,72,170,146,328,530,639,856,669,707,416,537,182,77,239,221,55,44,252,17126,23462,
"Armidale Regional (A)",112,15,42,79,77,145,214,294,313,275,260,136,208,55,29,111,129,39,43,116,10046,12738,
"Ballina (A)",152,49,72,125,88,153,234,298,349,328,401,285,487,194,105,324,304,105,72,177,14830,19151,
"Balranald (A)",13,3,3,13,16,28,27,24,23,3,10,6,4,0,0,0,0,3,4,12,1026,1222,
"Bathurst Regional (A)",126,38,40,93,90,190,279,371,491,486,532,379,539,199,122,342,263,84,41,184,12549,17426,
"Bega Valley (A)",119,44,93,138,109,232,327,352,409,355,344,221,262,104,55,137,143,41,35,180,13896,17570,
"Bellingen (A)",51,7,32,60,34,79,94,109,151,130,131,77,113,31,20,53,58,8,13,72,4762,6086,
"Berrigan (A)",59,9,9,50,45,81,95,94,88,56,67,42,46,15,5,8,25,13,15,57,3456,4326,
"Blacktown (C)",1098,247,274,585,483,868,1255,1782,2393,2588,3324,2671,5402,2600,2303,4558,6015,1521,858,1693,68393,110903,
"Bland (A)",41,0,8,37,39,50,84,66,47,28,24,11,35,6,9,6,15,12,9,39,2369,2936,
"Blayney (A)",36,5,17,16,29,46,74,90,92,86,74,44,69,32,14,55,54,18,17,50,2269,3198,
"Blue Mountains (C)",289,127,145,273,227,385,489,625,821,827,1094,855,1409,564,428,952,999,320,160,390,22932,34306,
"Bogan (A)",20,0,0,12,14,14,29,28,24,20,14,7,6,4,0,4,10,5,0,13,1090,1317,
"Botany Bay (C)",143,27,36,62,58,91,147,186,194,199,250,196,459,182,230,431,917,413,276,216,14008,18719,
"Bourke (A)",5,0,0,19,13,25,33,28,12,17,10,5,8,0,0,4,10,0,3,9,1175,1369,
"Brewarrina (A)",12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,687,734,
"Broken Hill (C)",66,13,67,168,161,298,306,265,223,131,104,50,67,24,8,31,25,16,14,109,7507,9654,
"Burwood (A)",160,32,34,47,43,58,101,110,125,117,129,101,299,101,120,211,464,236,223,156,10680,13540,
"Byron (A)",142,30,55,107,68,125,175,192,253,180,252,188,337,131,115,237,294,97,91,212,12354,15643,
"Cabonne (A)",63,12,13,36,51,91,140,156,166,115,132,77,138,44,33,98,117,56,39,100,4050,5707,
"Camden (A)",231,64,72,126,107,184,291,381,549,545,863,812,1608,909,724,1825,2005,487,288,481,13643,26197,
"Campbelltown (C) (NSW)",455,121,174,324,300,512,817,1070,1544,1598,2089,1639,2598,1146,713,1584,1484,414,258,779,35698,55324,
"Canada Bay (A)",427,85,61,112,110,148,269,364,342,330,398,286,937,321,478,698,1676,928,1099,402,27310,36799,
