Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",40,12,16,33,33,69,126,153,204,228,295,231,362,171,130,273,282,80,48,104,8323,11224,
"Barkly (R)",8,0,3,12,8,10,15,25,20,20,19,6,3,3,0,0,0,0,4,7,2752,2914,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,
"Central Desert (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,1162,
"Coomalie (S)",10,0,0,7,3,8,9,0,16,0,11,3,9,0,0,7,11,8,5,9,772,891,
"Darwin (C)",184,44,65,107,102,173,257,372,422,395,520,445,811,380,337,909,1197,470,290,323,25787,33592,
"East Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799,1805,
"Katherine (T)",17,0,5,9,21,28,38,52,62,63,85,47,78,23,23,60,54,15,11,28,3344,4072,
"Litchfield (M)",50,4,13,40,28,61,104,111,170,160,164,134,301,124,109,351,661,235,115,182,5330,8440,
"MacDonnell (R)",0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,1995,2007,
"Palmerston (C)",66,19,16,42,23,70,93,192,202,225,323,265,478,258,219,631,753,185,96,176,8796,13119,
"Roper Gulf (R)",9,0,0,3,6,0,0,0,5,9,3,6,5,0,6,3,5,3,0,10,2230,2291,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,733,
"Victoria Daly (R)",0,0,0,0,0,0,4,0,0,8,4,0,0,0,0,0,0,0,0,0,1206,1234,
"Wagait (S)",0,0,0,5,3,3,0,6,13,7,7,6,14,0,6,7,8,0,0,3,201,289,
"West Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2040,2050,
"West Daly (R)",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,636,
"Unincorporated NT",9,0,4,5,12,14,10,14,18,11,25,6,19,3,9,3,16,4,3,18,3998,4206,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,
"Total",390,88,128,274,240,451,658,938,1129,1123,1464,1150,2083,961,838,2245,2984,1000,572,864,71152,90735,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
