Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Aurukun (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,378,
"Balonne (S)",46,3,6,17,10,30,33,43,41,17,24,14,19,8,7,9,14,6,7,31,1854,2240,
"Banana (S)",101,7,11,34,37,45,102,113,145,122,145,60,121,45,31,71,86,28,26,84,5576,6987,
"Barcaldine (R)",31,0,7,6,7,22,18,23,20,14,10,5,10,0,4,7,3,6,9,22,1421,1645,
"Barcoo (S)",10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,231,249,
"Blackall-Tambo (R)",23,0,0,13,15,22,23,19,18,9,0,3,5,5,0,0,0,0,3,13,852,1014,
"Boulia (S)",4,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,6,235,254,
"Brisbane (C)",4333,1289,1219,2383,2029,3451,4675,6472,8030,8723,10695,8505,15819,7137,6142,12030,16388,6149,4828,4938,329097,464327,
"Bulloo (S)",5,0,0,0,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,3,156,186,
"Bundaberg (R)",316,90,160,394,332,674,846,1043,1271,1100,1025,556,716,269,148,338,303,80,79,474,33807,44020,
"Burdekin (S)",78,4,15,55,65,120,191,193,221,155,169,85,128,34,26,70,53,22,21,102,6580,8384,
"Burke (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,252,
"Cairns (R)",485,136,165,378,345,782,1098,1350,1856,1831,2121,1535,2129,762,426,1111,1034,336,222,717,50219,69047,
"Carpentaria (S)",5,0,3,4,4,9,7,12,12,3,3,5,0,0,0,0,0,0,0,8,1260,1347,
"Cassowary Coast (R)",103,21,40,88,79,188,268,294,353,239,278,131,197,60,56,93,90,28,21,146,11711,14477,
"Central Highlands (R)",109,0,20,35,47,93,128,160,188,190,213,190,301,149,95,222,222,68,48,130,11336,13940,
"Charters Towers (R)",65,7,17,32,35,78,115,116,136,112,109,54,76,33,20,39,54,12,18,71,4603,5812,
"Cherbourg (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,309,
"Cloncurry (S)",13,0,0,4,0,7,16,11,21,9,14,9,22,6,10,8,3,3,0,8,1546,1711,
"Cook (S)",19,0,9,14,11,17,22,33,30,28,23,12,20,0,5,5,9,6,4,30,2347,2642,
"Croydon (S)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,194,
"Diamantina (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,216,
"Doomadgee (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,322,
"Douglas (S)",31,3,21,25,44,58,88,87,129,121,118,86,122,35,36,62,72,27,20,71,5312,6573,
"Etheridge (S)",15,0,3,0,7,7,8,0,7,0,0,0,3,0,0,0,0,0,0,8,660,714,
"Flinders (S)",23,0,0,8,10,13,13,10,8,3,0,4,11,0,0,0,0,0,0,12,794,915,
"Fraser Coast (R)",302,96,203,394,381,696,843,1088,1246,1056,1036,615,765,265,158,330,321,79,58,455,38005,48389,
"Gladstone (R)",192,47,62,146,130,221,355,410,551,613,743,559,973,503,375,816,849,217,114,342,20859,29078,
"Gold Coast (C)",1929,502,638,1219,1001,1909,2698,3528,4900,4761,6127,4737,8220,3785,2673,5849,6099,2029,1536,3062,172334,239549,
"Goondiwindi (R)",73,4,8,35,26,67,88,91,105,84,84,56,86,21,14,31,42,10,16,56,3997,5001,
"Gympie (R)",177,42,117,251,200,390,533,633,666,578,548,330,418,123,77,188,146,56,46,264,17571,23362,
"Hinchinbrook (S)",55,5,12,43,29,89,86,93,113,84,80,36,75,22,11,31,23,9,8,59,4759,5730,
"Hope Vale (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,294,
"Ipswich (C)",473,143,232,462,425,771,1233,1863,2636,2621,2939,1834,2345,950,509,1166,1074,270,171,913,49794,72808,
