Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Adelaide (C)",80,20,15,25,20,59,60,114,123,106,142,76,162,55,43,98,121,67,80,54,10145,11669,
"Adelaide Hills (DC)",190,67,101,169,141,281,362,433,479,486,502,387,658,281,241,441,545,203,162,228,9113,15483,
"Alexandrina (DC)",125,44,61,142,108,219,315,326,398,335,323,201,279,96,44,124,160,49,39,146,11868,15399,
"Anangu Pitjantjatjara (AC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,831,
"Barossa (DC)",91,28,56,113,97,173,279,344,419,401,406,277,296,99,49,137,138,56,21,117,6662,10270,
"Barunga West (DC)",9,0,7,25,16,26,26,23,15,20,10,6,11,0,0,6,3,3,0,7,1654,1867,
"Berri and Barmera (DC)",40,11,16,69,64,139,183,174,160,99,100,43,61,16,8,16,21,8,5,69,3830,5117,
"Burnside (C)",273,59,66,129,88,165,190,257,289,306,323,230,476,182,198,356,711,401,389,186,14065,19340,
"Campbelltown (C)",196,71,94,173,157,275,361,467,527,478,540,429,681,285,210,416,377,137,70,206,15484,21621,
"Ceduna (DC)",13,0,0,12,14,27,31,37,53,37,24,24,23,4,0,14,15,6,7,20,1720,2078,
"Charles Sturt (C)",395,148,173,369,341,588,796,973,1131,1116,1182,878,1454,604,430,941,1028,319,208,454,37675,51207,
"Clare and Gilbert Valleys (DC)",40,7,21,61,59,108,116,123,141,120,89,58,57,24,20,40,27,13,18,44,3263,4433,
"Cleve (DC)",32,0,4,8,19,26,39,20,20,16,6,3,12,6,0,0,4,0,0,6,852,1068,
"Coober Pedy (DC)",6,3,12,20,23,16,8,9,15,4,9,0,3,0,0,0,0,0,0,10,1261,1395,
"Copper Coast (DC)",46,23,37,96,84,123,185,193,188,146,139,57,81,27,19,39,29,10,3,72,7072,8687,
"Elliston (DC)",17,4,8,6,8,9,5,9,5,7,7,0,9,0,0,0,4,3,0,4,713,817,
"Flinders Ranges (DC)",9,9,11,10,25,28,27,14,22,16,13,8,10,5,0,0,0,0,0,14,771,983,
"Franklin Harbour (DC)",4,0,3,7,9,10,18,14,16,18,9,3,8,3,0,0,5,0,0,7,726,862,
"Gawler (T)",77,44,47,117,109,206,282,323,441,418,382,232,248,95,37,110,88,27,7,123,6901,10297,
"Goyder (DC)",30,9,12,39,43,68,65,62,38,33,22,3,17,0,4,3,0,0,4,23,1730,2218,
"Grant (DC)",36,9,10,43,38,87,112,117,126,97,100,65,97,30,14,36,32,15,15,59,2542,3684,
"Holdfast Bay (C)",157,71,75,106,94,171,202,287,316,277,312,211,457,166,133,328,417,180,138,149,13819,18078,
"Kangaroo Island (DC)",41,5,11,35,18,49,63,66,64,47,41,24,27,7,0,11,17,5,0,29,2623,3184,
"Karoonda East Murray (DC)",24,0,0,11,7,20,9,10,5,0,0,0,8,0,0,0,4,0,0,4,484,597,
"Kimba (DC)",20,0,0,3,0,15,9,6,9,3,0,0,0,0,0,0,0,3,0,4,500,589,
"Kingston (DC)",16,0,8,12,11,30,34,24,25,24,11,12,10,6,0,0,4,0,0,7,1384,1622,
"Light (RegC)",73,27,45,87,78,148,183,233,297,248,281,166,218,97,54,103,93,21,30,91,3091,5654,
"Lower Eyre Peninsula (DC)",31,4,10,32,21,45,65,79,83,74,71,33,47,21,14,37,33,16,6,33,2031,2793,
"Loxton Waikerie (DC)",54,17,31,83,84,152,201,181,148,103,97,33,46,9,12,12,24,4,11,50,4255,5617,
