Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Break O'Day (M)",26,8,32,55,36,67,73,71,49,43,33,20,20,5,7,6,9,3,0,36,3909,4527,
"Brighton (M)",29,25,39,89,70,189,239,288,329,270,268,139,149,49,17,74,38,7,10,85,4154,6553,
"Burnie (C)",61,25,54,92,126,223,340,413,325,226,177,69,100,29,16,48,47,10,8,97,6416,8904,
"Central Coast (M)",81,40,62,104,110,241,302,376,380,259,251,111,164,52,24,74,66,21,16,92,7052,9869,
"Central Highlands (M)",10,4,10,19,12,44,27,27,23,15,5,9,3,0,0,0,0,5,5,12,2350,2581,
"Circular Head (M)",55,6,21,31,60,76,146,136,124,76,76,46,37,15,12,12,13,6,8,47,2852,3840,
"Clarence (C)",200,107,143,260,255,443,646,730,875,769,833,549,668,245,127,357,351,119,57,242,15931,23893,
"Derwent Valley (M)",39,10,28,68,73,117,192,213,198,139,103,61,70,17,12,34,22,8,5,43,3003,4453,
"Devonport (C)",64,27,49,124,130,208,354,419,460,293,238,105,159,42,21,50,50,13,12,95,8668,11566,
"Dorset (M)",31,6,18,52,51,70,98,98,73,52,47,19,35,8,10,14,19,0,3,30,3038,3776,
"Flinders (M)",13,0,0,9,5,8,9,3,0,5,3,0,3,0,0,0,0,0,6,5,573,648,
"George Town (M)",20,6,19,42,48,83,94,103,78,54,65,26,31,11,9,10,13,7,0,31,2830,3587,
"Glamorgan/Spring Bay (M)",21,7,13,19,16,40,51,54,45,27,35,23,21,4,4,0,13,4,0,23,3615,4045,
"Glenorchy (C)",144,57,108,227,195,388,611,791,972,781,643,311,331,80,42,135,99,29,21,221,14877,21058,
"Hobart (C)",199,96,92,169,143,277,348,398,430,488,506,348,559,215,148,348,442,188,132,166,18128,23810,
"Huon Valley (M)",66,27,69,123,102,183,213,256,271,245,210,105,147,50,22,62,51,13,11,105,5702,8031,
"Kentish (M)",29,9,26,49,42,84,105,76,79,61,66,22,47,22,9,20,17,12,10,49,1906,2730,
"King Island (M)",4,0,3,7,14,18,15,20,13,16,9,4,3,3,0,0,5,0,4,5,709,861,
"Kingborough (M)",145,51,97,174,132,263,295,446,485,541,538,386,512,178,99,234,255,74,39,164,10784,15884,
"Latrobe (M)",34,16,24,64,58,97,133,167,168,144,129,57,81,21,12,36,30,7,15,51,3785,5123,
"Launceston (C)",187,83,121,304,243,607,914,1063,1159,815,688,348,440,154,88,197,205,60,55,269,22004,30012,
"Meander Valley (M)",89,14,43,99,95,183,265,284,304,287,254,145,147,53,52,66,67,25,11,122,6072,8670,
"Northern Midlands (M)",37,17,28,62,62,126,155,208,234,164,174,80,88,28,11,30,37,17,8,76,4308,5947,
"Sorell (M)",51,23,49,112,82,168,252,281,290,253,244,113,165,47,29,81,41,9,6,99,4729,7120,
"Southern Midlands (M)",32,6,21,53,51,85,100,114,99,85,93,35,46,12,8,16,25,8,6,40,1780,2712,
"Tasman (M)",16,4,9,24,22,34,29,23,26,17,17,4,12,6,0,3,0,0,0,12,1990,2252,
"Waratah/Wynyard (M)",60,14,36,84,77,133,215,238,213,179,134,73,83,23,7,49,33,12,10,69,4872,6611,
"West Coast (M)",8,10,22,69,57,69,51,42,20,14,9,4,8,0,3,4,3,0,0,18,2519,2945,
"West Tamar (M)",64,25,52,118,125,207,287,370,415,323,316,160,220,73,40,93,101,35,21,121,7339,10499,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,
"Total",1802,712,1267,2720,2499,4745,6568,7706,8131,6640,6176,3366,4326,1453,816,2068,2054,695,470,2408,175897,242514,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
