Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Alpine (S)",49,13,29,48,52,98,137,161,171,135,143,66,98,26,19,59,52,14,17,70,5777,7239,
"Ararat (RC)",50,10,21,77,79,137,176,165,130,71,87,34,44,16,9,18,25,10,9,61,4176,5407,
"Ballarat (C)",258,104,177,383,369,701,1141,1455,1737,1383,1301,758,949,290,179,428,408,139,106,463,32487,45230,
"Banyule (C)",526,189,190,345,283,439,632,882,983,1011,1139,895,1680,753,717,1292,1752,626,512,685,34689,50228,
"Bass Coast (S)",111,33,41,144,123,241,299,399,453,360,362,194,287,102,51,129,127,57,36,216,22039,25813,
"Baw Baw (S)",206,74,84,187,156,314,469,683,763,705,686,409,538,203,98,286,270,80,75,329,14294,20919,
"Bayside (C)",506,118,107,200,161,232,315,486,440,456,440,336,1055,335,512,689,1803,1155,1606,665,29463,41092,
"Benalla (RC)",48,16,24,72,60,151,195,240,187,140,125,77,87,28,7,56,39,16,17,99,5137,6812,
"Boroondara (C)",1073,211,182,302,286,338,417,757,619,695,624,490,1528,429,672,806,2457,1798,2792,948,51990,69419,
"Brimbank (C)",758,215,239,559,486,848,1159,1635,1971,2133,2148,1402,2443,750,552,937,1144,338,263,1169,48133,69274,
"Buloke (S)",38,4,33,69,78,109,66,57,27,16,9,10,5,3,3,0,3,5,5,38,2643,3211,
"Campaspe (S)",185,34,58,139,157,351,451,566,597,451,402,196,293,75,45,107,139,39,49,230,12313,16875,
"Cardinia (S)",277,100,132,243,244,416,645,930,1378,1641,1865,1503,1817,769,463,891,844,266,156,676,19841,35102,
"Casey (C)",1176,328,430,907,721,1438,2071,2818,4117,4672,5433,4345,6162,2522,1793,2760,2608,761,541,2004,54427,102049,
"Central Goldfields (S)",45,16,50,117,104,170,250,206,152,100,89,32,59,19,4,17,9,6,7,89,5090,6639,
"Colac-Otway (S)",92,15,40,84,103,182,255,324,325,270,226,116,163,43,30,55,65,20,34,161,9140,11742,
"Corangamite (S)",129,21,34,67,81,181,208,187,191,110,100,55,86,24,16,31,45,19,53,147,5968,7753,
"Darebin (C)",475,171,179,331,265,447,626,879,1062,1083,1105,886,1684,630,582,1109,1778,733,444,695,48404,63556,
"East Gippsland (S)",171,41,117,219,197,361,507,562,637,480,395,226,301,82,58,124,146,42,42,257,19261,24214,
