Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Albany (C)",150,32,34,140,92,175,228,308,430,392,426,318,436,206,99,241,224,70,44,197,12670,16926,
"Armadale (C)",303,64,132,250,235,392,569,744,1024,1135,1450,1166,1765,987,701,1338,1215,303,215,478,17400,31867,
"Ashburton (S)",11,0,0,3,0,5,0,0,4,6,3,3,9,6,4,0,3,6,7,7,3515,3590,
"Augusta-Margaret River (S)",58,10,23,50,49,74,93,111,142,144,175,134,205,89,58,126,185,43,33,98,5899,7799,
"Bassendean (T)",66,16,37,50,50,77,100,133,170,137,195,153,297,121,102,197,225,79,37,82,4524,6843,
"Bayswater (C)",282,80,105,181,161,283,326,479,555,584,676,505,993,482,414,854,1075,342,179,284,21075,29903,
"Belmont (C)",163,45,42,77,70,132,201,223,294,319,412,323,556,288,240,416,473,130,83,140,13831,18457,
"Beverley (S)",14,0,0,12,10,16,20,21,27,15,10,3,7,3,0,5,7,4,0,12,723,921,
"Boddington (S)",5,0,3,4,6,13,17,14,14,21,19,22,32,13,7,12,16,5,6,6,666,896,
"Boyup Brook (S)",16,0,3,7,6,12,12,17,19,12,18,9,6,9,5,11,12,10,4,11,716,901,
"Bridgetown-Greenbushes (S)",28,3,16,29,21,37,33,41,50,60,68,30,55,16,15,28,39,18,6,33,1784,2413,
"Brookton (S)",7,0,0,3,0,5,4,14,10,5,4,0,3,0,3,0,4,0,0,0,441,514,
"Broome (S)",42,6,5,14,19,29,32,48,58,54,65,53,110,51,67,158,272,98,52,82,7539,8857,
"Broomehill-Tambellup (S)",8,0,5,3,3,13,5,4,4,6,0,5,8,0,0,0,0,0,0,7,422,500,
"Bruce Rock (S)",4,0,3,8,9,6,12,9,0,3,0,0,3,0,0,0,0,0,0,3,421,478,
"Bunbury (C)",111,46,57,94,83,172,231,305,400,397,441,275,439,144,85,215,208,63,49,133,11487,15440,
"Busselton (C)",167,27,62,75,88,158,190,253,329,312,425,334,579,277,190,353,394,111,81,194,14157,18753,
"Cambridge (T)",175,33,26,59,46,76,98,118,138,86,101,102,244,68,108,164,538,448,566,149,7426,10771,
"Canning (C)",452,115,120,234,221,354,414,576,620,704,837,737,1293,612,535,896,1221,393,285,392,24678,35683,
"Capel (S)",51,7,22,43,29,67,93,149,199,228,263,251,395,161,115,235,222,69,32,103,3915,6656,
"Carnamah (S)",11,0,6,8,8,5,9,6,5,0,3,3,0,0,0,0,0,0,0,0,322,380,
"Carnarvon (S)",22,7,5,5,14,22,24,38,49,38,33,17,38,14,6,25,41,6,17,37,3284,3727,
"Chapman Valley (S)",8,0,0,6,8,7,8,10,13,10,10,8,17,11,17,20,29,15,7,7,460,653,
"Chittering (S)",27,11,6,12,12,33,41,30,43,59,61,51,111,46,67,93,173,43,23,52,1237,2211,
"Claremont (T)",71,5,12,9,11,18,26,31,35,38,31,25,81,29,31,49,118,116,202,51,3765,4772,
"Cockburn (C)",423,102,123,287,237,434,656,773,997,998,1269,1098,2137,1085,857,1855,2092,588,365,609,25869,42856,
"Collie (S)",31,9,12,51,41,76,76,112,118,114,123,70,125,39,16,56,77,15,12,50,2849,4060,
"Coolgardie (S)",3,3,8,21,33,44,60,61,78,46,30,8,19,5,0,0,13,0,3,22,1309,1765,
"Coorow (S)",10,0,0,0,3,4,0,3,3,3,4,4,11,0,3,0,6,4,0,4,856,922,
"Corrigin (S)",3,5,4,5,0,6,15,12,8,5,0,3,3,0,4,3,0,0,0,7,476,568,
"Cottesloe (T)",62,3,7,16,10,7,21,18,14,16,25,10,64,12,16,16,83,89,219,49,2877,3634,
"Cranbrook (S)",15,0,0,0,4,8,4,8,4,0,3,4,0,0,0,0,0,0,0,6,489,559,
"Cuballing (S)",13,0,3,0,3,4,15,10,9,11,9,0,3,0,0,4,9,0,0,5,311,410,
"Cue (S)",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,198,
