Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Albury (C)",107,57,100,373,362,746,515,730,544,780,537,517,249,328,154,208,27,115,17,4,3,0,8,199,16783,23462,
"Armidale Regional (A)",189,51,60,168,124,282,226,412,231,417,220,376,189,263,136,124,71,109,21,0,0,0,14,107,8956,12738,
"Ballina (A)",131,24,31,299,93,137,84,209,124,276,239,430,255,418,268,381,150,616,218,71,24,9,13,144,14510,19151,
"Balranald (A)",41,19,7,16,25,40,28,32,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,29,961,1222,
"Bathurst Regional (A)",120,61,46,219,108,234,203,367,213,516,399,544,271,378,201,225,81,92,7,4,0,3,3,144,12971,17426,
"Bega Valley (A)",188,33,41,191,83,171,179,339,195,337,226,340,152,232,108,76,27,44,7,4,9,0,13,115,14468,17570,
"Bellingen (A)",71,20,10,74,29,64,47,82,52,134,92,142,71,116,73,54,20,45,11,5,0,0,4,37,4829,6086,
"Berrigan (A)",76,20,45,85,48,98,105,109,48,59,27,28,5,10,0,3,0,0,0,0,4,0,3,39,3508,4326,
"Blacktown (C)",504,390,342,1746,618,1091,701,1016,545,942,775,2215,1536,2994,2420,3955,1651,4980,2153,816,136,34,47,1140,78163,110903,
"Bland (A)",103,37,16,43,22,77,24,43,41,33,8,11,5,6,0,0,0,4,0,0,3,0,0,29,2428,2936,
"Blayney (A)",64,10,8,30,22,44,37,92,43,86,32,47,23,17,12,7,4,8,0,3,0,0,0,25,2577,3198,
"Blue Mountains (C)",188,34,28,81,59,215,141,220,141,341,210,500,277,588,401,549,225,695,203,44,12,3,14,173,28955,34306,
"Bogan (A)",32,24,16,31,17,33,29,47,13,24,0,16,0,0,0,0,0,0,0,0,4,0,0,25,996,1317,
"Botany Bay (C)",135,88,74,546,125,174,93,142,54,98,64,136,113,245,229,550,333,1075,1013,1053,325,157,153,276,11468,18719,
"Bourke (A)",44,69,14,32,15,39,37,35,11,17,5,13,0,0,0,0,0,5,0,3,0,0,6,25,998,1369,
"Brewarrina (A)",44,41,116,38,29,29,16,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,13,396,734,
"Broken Hill (C)",105,73,74,100,99,243,206,265,106,148,61,96,18,38,4,18,4,5,4,0,3,6,9,72,7891,9654,
"Burwood (A)",148,26,23,169,34,81,49,85,56,92,51,123,69,153,100,263,168,1349,856,580,202,87,76,219,8486,13540,
"Byron (A)",182,15,15,51,30,147,82,160,73,150,105,208,81,198,134,279,133,606,417,212,93,61,90,129,12003,15643,
"Cabonne (A)",132,48,19,58,32,85,76,103,50,81,41,49,11,19,3,11,0,10,3,0,0,0,4,61,4821,5707,
"Camden (A)",103,25,19,121,41,65,30,81,60,105,46,157,82,213,195,498,277,1817,778,115,31,3,10,163,21154,26197,
"Campbelltown (C) (NSW)",238,209,185,1078,434,703,460,687,321,563,520,1209,976,2119,1386,1966,636,1811,398,62,25,21,16,540,38772,55324,
"Canada Bay (A)",280,60,49,337,80,159,68,133,75,114,65,186,79,165,114,348,197,2676,2686,2141,829,378,481,362,24724,36799,
"Canterbury-Bankstown (A)",985,490,461,2583,680,1437,743,1297,570,876,637,2135,1650,3724,2224,3910,1443,7048,3251,1281,330,134,126,1503,81925,121434,
"Carrathool (A)",101,30,9,44,10,36,22,34,8,24,3,5,0,0,0,0,0,0,0,0,0,0,3,40,978,1334,
"Central Coast (C) (NSW)",779,242,233,1357,439,1090,777,1419,804,1643,1397,3206,2138,3852,2413,2919,1251,4067,1106,353,148,60,96,927,111887,144591,
"Central Darling (A)",43,55,22,57,21,17,9,10,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,21,791,1058,
"Cessnock (C)",167,54,43,253,94,231,207,339,237,702,633,816,345,460,353,194,24,79,32,13,4,0,10,177,17271,22736,
"Clarence Valley (A)",262,62,72,228,155,321,261,501,319,658,432,660,272,335,108,134,27,131,41,30,12,7,16,179,19706,24929,
"Cobar (A)",55,50,37,54,37,122,53,63,19,54,18,36,9,12,3,4,0,0,0,0,3,0,0,36,1804,2466,
"Coffs Harbour (C)",206,67,50,468,165,310,260,515,408,669,582,799,522,864,627,581,242,692,133,41,13,6,26,289,23973,32494,
"Coolamon (A)",46,18,15,22,7,36,12,31,13,26,8,14,0,0,5,6,0,0,0,0,0,0,0,6,1538,1815,
"Coonamble (A)",73,38,9,37,27,59,52,52,19,32,6,4,0,0,0,0,0,0,0,0,0,0,0,29,1596,2043,
"Cowra (A)",85,30,26,110,91,187,159,188,116,119,33,35,16,8,5,3,0,4,6,3,0,3,5,54,4701,5992,
"Cumberland (A)",551,293,301,1349,370,800,460,715,339,584,354,1032,766,2135,1689,3371,1610,5699,1865,569,183,49,80,977,46032,72147,
"Dungog (A)",65,9,9,31,15,36,28,51,38,73,38,51,36,26,21,11,0,8,4,0,0,0,0,27,3450,4029,
"Edward River (A)",71,19,21,83,94,128,101,129,52,78,38,54,14,17,7,3,0,6,0,5,0,0,5,64,3307,4307,
"Eurobodalla (A)",167,38,36,190,81,281,185,360,247,442,265,447,204,299,122,139,39,71,9,8,9,3,12,142,19646,23448,
"Fairfield (C)",515,209,187,1085,313,868,418,862,438,888,788,1958,893,1637,957,2065,929,3416,680,165,52,20,27,718,42677,62779,
"Federation (A)",103,25,32,56,64,128,107,145,111,121,69,69,18,18,0,3,0,3,0,5,0,0,3,36,5260,6376,
"Forbes (A)",85,29,30,95,69,125,97,160,70,74,22,29,9,9,3,3,0,4,0,0,0,0,3,56,3392,4388,
"Georges River (A)",448,84,88,475,118,238,150,297,152,245,160,430,260,760,808,1575,848,4320,2329,783,286,85,129,512,38421,54018,
"Gilgandra (A)",59,7,3,49,37,85,51,67,12,31,3,3,0,0,0,0,0,0,0,0,3,0,0,25,1531,1974,
"Glen Innes Severn (A)",71,13,14,60,85,111,82,133,114,84,31,45,6,13,3,0,0,3,5,0,0,0,4,45,3452,4379,
"Goulburn Mulwaree (A)",112,59,47,216,102,251,171,263,137,358,239,400,168,207,91,129,34,67,8,0,0,0,4,123,10464,13642,
"Greater Hume Shire (A)",107,13,19,58,33,78,70,95,42,45,27,23,10,9,0,0,0,0,0,0,0,0,4,36,3891,4559,
"Griffith (C)",125,45,42,116,121,307,294,319,184,372,155,226,96,143,61,46,9,24,4,4,3,0,8,103,7500,10312,
"Gundagai (A)",114,47,26,110,73,107,91,146,93,98,39,45,5,10,0,9,0,0,0,0,0,0,0,47,4307,5371,
"Gunnedah (A)",103,30,20,51,51,112,81,172,100,131,94,133,51,101,39,53,22,55,5,3,4,0,8,67,4034,5510,
"Gwydir (A)",159,27,10,57,34,50,32,58,15,29,8,3,4,0,0,0,0,0,0,0,0,0,0,32,2077,2605,
"Hawkesbury (C)",208,45,28,96,36,215,127,219,149,286,173,374,216,470,381,625,248,776,198,81,36,21,21,171,18890,24098,
"Hay (A)",45,20,12,39,52,57,30,39,8,13,0,6,0,5,0,0,0,4,0,0,0,0,0,17,1233,1574,
"Hilltops (A)",196,54,15,95,88,187,160,281,180,222,108,92,32,42,8,3,4,9,6,0,0,0,4,83,7067,8939,
"Hornsby (A)",313,55,70,268,106,133,113,187,112,131,121,251,113,271,194,571,458,2677,1753,957,465,226,167,363,41434,51505,
"Hunters Hill (A)",39,17,17,127,30,43,18,18,11,21,6,23,18,29,23,50,13,148,135,104,61,52,132,41,4092,5262,
"Inner West (A)",556,144,169,856,207,432,341,576,436,655,507,982,687,1433,1094,2168,1268,5797,3923,2868,1859,1159,1511,737,50251,80616,
"Inverell (A)",157,71,31,109,82,177,137,231,128,240,168,166,33,45,14,18,4,6,0,0,0,0,0,77,5392,7284,
"Junee (A)",48,12,18,32,29,37,41,68,28,65,21,30,17,10,3,0,0,0,0,0,0,0,0,25,1850,2342,
"Kempsey (A)",134,35,28,131,81,241,197,346,204,398,251,296,105,163,51,39,13,37,10,4,6,3,6,92,10774,13640,
"Kiama (A)",75,11,15,26,10,46,22,49,28,63,41,101,56,98,96,154,80,322,105,56,11,6,11,61,8433,9962,
"Ku-ring-gai (A)",296,21,31,31,33,50,18,50,38,43,23,92,36,73,44,130,77,990,1169,947,605,471,1321,219,35697,42512,
"Kyogle (A)",94,23,11,51,32,93,64,105,54,118,40,59,11,17,0,9,0,4,0,0,0,0,5,29,3712,4514,
"Lachlan (A)",81,68,28,68,45,135,58,62,29,48,4,13,3,5,0,4,0,0,0,0,0,0,0,39,2227,2917,
"Lake Macquarie (C)",425,164,160,1070,375,848,518,927,478,848,722,1728,1192,1867,1135,1216,551,1640,383,85,33,4,31,521,65658,82595,
"Lane Cove (A)",101,31,38,104,19,29,22,41,13,39,23,72,64,106,75,243,191,1419,859,419,275,173,314,108,10787,15569,
"Leeton (A)",79,24,18,108,54,147,136,156,94,120,31,88,12,20,0,0,0,0,3,0,0,0,3,32,3635,4764,
"Lismore (C)",170,55,51,229,142,286,278,418,311,499,384,606,302,362,139,139,47,121,23,8,6,3,3,148,14374,19100,
"Lithgow (C)",84,51,16,167,71,145,160,218,153,268,146,179,56,85,18,28,5,17,3,0,0,0,3,80,7763,9714,
"Liverpool (C)",442,275,214,1152,309,655,369,557,435,757,609,1370,760,1293,879,1675,869,3923,1274,296,75,16,47,707,46954,65923,
"Liverpool Plains (A)",107,22,19,65,63,87,93,107,55,95,37,38,7,6,0,5,0,0,0,0,0,5,3,62,2851,3717,
"Lockhart (A)",40,14,11,14,9,34,20,24,11,10,5,5,4,3,0,0,0,0,0,0,0,0,0,9,1219,1423,
"Maitland (C)",125,86,75,407,147,371,288,381,272,548,456,1035,656,945,723,803,182,330,56,11,4,0,9,216,22516,30635,
"Mid-Coast (A)",406,77,80,404,271,674,564,923,624,1058,776,1043,487,648,306,285,86,206,22,16,9,7,32,311,38227,47544,
"Mid-Western Regional (A)",193,35,17,69,46,177,109,234,113,237,178,315,123,201,78,129,28,79,15,5,6,0,9,95,9039,11531,
"Moree Plains (A)",235,85,70,176,88,280,177,173,65,124,61,85,20,47,19,25,6,45,6,0,0,0,8,130,4271,6191,
