Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",304,191,131,148,76,84,42,102,67,135,110,206,102,220,133,248,116,550,229,88,43,15,16,352,7522,11224,
"Barkly (R)",235,242,77,114,37,31,28,38,28,35,12,31,3,14,14,26,5,23,4,0,0,3,5,158,1741,2914,
"Belyuen (S)",0,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,
"Central Desert (R)",125,310,72,34,20,5,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,57,510,1162,
"Coomalie (S)",30,20,6,13,7,6,8,11,3,11,6,14,9,12,5,3,0,0,0,0,0,0,0,15,719,891,
"Darwin (C)",365,329,318,263,157,200,143,273,335,512,219,685,362,807,443,867,286,2409,1506,860,397,205,297,663,20702,33592,
"East Arnhem (R)",194,383,104,91,16,119,13,35,12,7,6,0,0,0,0,0,0,0,0,0,0,0,0,259,557,1805,
"Katherine (T)",116,57,49,70,62,67,35,110,122,145,36,65,27,67,49,83,16,117,48,14,6,0,8,110,2584,4072,
"Litchfield (M)",144,21,12,35,11,25,10,63,21,52,37,99,13,83,33,68,13,241,152,87,40,11,27,64,7090,8440,
"MacDonnell (R)",137,390,94,49,13,17,13,7,5,0,0,6,0,0,0,4,0,4,0,0,5,0,3,150,1114,2007,
"Palmerston (C)",145,193,200,168,86,75,56,69,183,216,49,152,120,237,179,372,163,1168,782,337,120,26,15,233,7774,13119,
"Roper Gulf (R)",120,353,62,93,36,30,22,16,7,7,0,9,0,3,0,3,3,4,5,0,5,3,10,137,1367,2291,
"Tiwi Islands (R)",55,273,63,43,27,25,7,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,40,191,733,
"Victoria Daly (R)",117,193,26,28,15,14,10,4,6,3,0,4,4,5,0,0,0,4,0,0,0,0,6,58,740,1234,
"Wagait (S)",3,0,0,0,0,4,0,4,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,3,251,289,
"West Arnhem (R)",175,478,120,58,36,33,20,29,9,8,6,9,0,0,0,4,0,3,0,4,0,0,8,120,928,2050,
"West Daly (R)",63,203,86,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,205,636,
"Unincorporated NT",400,334,209,89,79,67,118,52,24,31,4,21,12,19,8,7,0,62,38,18,21,9,22,238,2331,4206,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,
"Total",2722,3984,1638,1304,669,818,557,814,820,1173,485,1311,645,1470,857,1695,609,4596,2767,1415,640,273,419,2702,56366,90735,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
