Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Adelaide (C)",114,72,123,156,81,143,136,151,127,159,205,353,292,408,383,482,273,935,300,124,60,36,49,152,6364,11669,
"Adelaide Hills (DC)",119,17,16,42,38,57,35,85,47,102,107,192,104,134,89,95,25,116,46,20,11,6,12,63,13897,15483,
"Alexandrina (DC)",117,30,43,79,52,118,117,203,177,332,263,227,147,110,20,13,8,21,4,3,0,0,8,63,13238,15399,
"Anangu Pitjantjatjara (AC)",128,80,210,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,337,831,
"Barossa (DC)",97,26,30,69,42,98,81,184,149,201,191,234,104,95,36,32,4,16,4,0,0,0,4,72,8496,10270,
"Barunga West (DC)",28,7,9,17,13,24,26,34,12,14,5,9,0,0,0,0,0,0,0,3,0,0,0,9,1653,1867,
"Berri and Barmera (DC)",62,34,66,122,84,205,223,182,86,97,29,23,9,14,4,5,0,0,3,5,0,0,3,68,3789,5117,
"Burnside (C)",144,30,64,91,66,83,67,126,143,312,302,471,239,279,153,188,110,453,194,93,49,20,38,95,15520,19340,
"Campbelltown (C)",158,51,168,274,127,167,137,225,229,429,403,646,377,460,259,315,123,240,60,16,9,5,10,178,16565,21621,
"Ceduna (DC)",36,36,48,40,18,39,33,49,28,60,29,44,4,9,7,6,0,4,0,3,3,0,6,97,1481,2078,
"Charles Sturt (C)",290,289,766,1056,405,609,434,707,696,1179,1024,1469,862,1233,747,807,301,760,250,104,38,28,29,483,36650,51207,
"Clare and Gilbert Valleys (DC)",66,10,28,57,35,69,58,113,87,89,57,56,12,24,10,4,0,9,0,3,0,0,0,44,3594,4433,
"Cleve (DC)",29,10,6,20,5,23,20,19,0,6,0,0,0,0,0,0,0,6,3,3,4,0,9,14,902,1068,
"Coober Pedy (DC)",30,12,16,43,20,42,20,29,3,13,0,3,0,0,0,0,0,0,0,0,0,0,0,37,1131,1395,
"Copper Coast (DC)",71,23,77,98,53,132,122,184,161,296,97,136,34,34,10,9,0,7,3,0,4,0,3,62,7075,8687,
"Elliston (DC)",25,3,6,13,6,9,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,720,817,
"Flinders Ranges (DC)",19,19,9,15,15,21,17,23,7,15,5,4,0,0,0,0,0,0,0,0,0,0,3,12,792,983,
"Franklin Harbour (DC)",12,4,6,16,3,13,13,20,9,22,0,0,0,0,0,0,0,3,4,0,0,0,4,8,729,862,
"Gawler (T)",40,32,113,146,61,98,99,189,270,416,325,387,164,133,34,32,8,33,9,3,3,0,5,86,7610,10297,
"Goyder (DC)",55,12,26,54,17,31,31,49,17,24,8,4,0,5,0,0,0,0,0,0,0,0,0,18,1856,2218,
"Grant (DC)",72,15,13,40,25,49,36,44,20,23,7,16,5,6,4,5,0,0,0,0,0,0,0,15,3277,3684,
"Holdfast Bay (C)",118,30,87,138,74,127,98,201,251,489,422,541,284,370,189,270,117,387,160,79,38,19,26,143,13414,18078,
"Kangaroo Island (DC)",66,14,13,45,25,68,56,55,31,44,16,11,4,5,0,0,0,4,0,0,4,5,7,23,2693,3184,
"Karoonda East Murray (DC)",22,9,4,17,3,10,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,504,597,
"Kimba (DC)",25,9,14,12,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,494,589,
"Kingston (DC)",49,3,9,15,26,44,27,43,11,14,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1367,1622,
"Light (RegC)",50,9,12,34,17,38,43,75,63,81,36,76,32,49,21,39,7,25,4,0,0,0,4,35,4910,5654,
"Lower Eyre Peninsula (DC)",58,9,9,24,21,52,21,38,17,28,14,31,9,7,5,5,0,3,0,0,0,0,0,22,2422,2793,
"Loxton Waikerie (DC)",87,43,58,118,85,161,147,152,67,83,30,31,12,9,3,4,4,9,0,0,0,0,0,45,4462,5617,
"Mallala (DC)",48,11,12,16,15,16,15,54,19,52,18,42,14,14,10,13,0,7,5,0,0,0,0,19,3222,3611,
"Maralinga Tjarutja (AC)",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,
"Marion (C)",203,191,550,775,370,605,323,496,333,674,607,1113,792,1060,644,735,320,518,95,32,16,8,21,372,28933,39791,
"Mid Murray (DC)",68,20,19,63,45,107,70,104,48,64,21,22,0,4,0,0,0,0,3,0,0,0,3,37,6064,6763,
"Mitcham (C)",169,30,102,123,93,153,101,199,261,458,354,437,255,340,255,272,106,313,140,58,19,17,23,137,22259,26682,
"Mount Barker (DC)",93,40,65,121,48,99,61,106,92,244,216,422,260,297,179,207,74,103,27,9,3,0,3,86,10694,13541,
