Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Break O'Day (M)",63,29,24,49,18,46,69,128,58,47,18,16,0,0,0,5,0,0,0,0,0,0,0,29,3927,4527,
"Brighton (M)",31,39,61,123,60,141,233,318,189,234,129,117,43,60,19,23,3,17,4,0,0,0,0,80,4617,6553,
"Burnie (C)",55,37,75,152,140,311,294,467,233,278,121,110,19,33,6,17,0,7,6,0,4,0,5,79,6459,8904,
"Central Coast (M)",55,45,69,146,92,163,188,326,186,273,134,112,27,40,9,3,3,9,0,0,6,0,4,67,7907,9869,
"Central Highlands (M)",55,23,9,25,13,20,15,19,11,9,3,0,0,0,0,0,0,0,0,0,0,0,0,19,2380,2581,
"Circular Head (M)",142,25,33,71,42,97,76,112,55,87,19,11,3,3,0,0,0,0,0,0,0,0,3,52,3002,3840,
"Clarence (C)",143,84,170,284,129,239,220,348,303,576,430,540,270,355,174,172,62,145,26,13,0,0,6,128,19063,23893,
"Derwent Valley (M)",45,39,33,73,40,67,93,113,103,151,49,52,12,16,5,6,0,5,0,0,0,0,4,32,3507,4453,
"Devonport (C)",53,71,127,215,171,251,267,506,408,545,242,186,35,46,19,18,5,10,6,6,4,0,0,103,8287,11566,
"Dorset (M)",97,34,37,56,40,73,61,100,31,46,8,16,5,0,0,0,0,5,0,0,0,0,0,37,3133,3776,
"Flinders (M)",32,21,16,27,31,13,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,487,648,
"George Town (M)",29,18,37,78,50,136,126,158,44,46,19,28,6,3,5,0,0,0,0,0,0,0,3,23,2775,3587,
"Glamorgan/Spring Bay (M)",60,13,14,27,18,46,55,83,28,48,15,10,0,0,0,0,0,6,0,0,0,0,6,18,3591,4045,
"Glenorchy (C)",109,105,277,490,291,436,350,591,394,786,640,766,326,314,111,62,19,47,20,7,0,0,12,184,14725,21058,
"Hobart (C)",165,106,170,294,174,324,383,530,390,594,450,647,327,511,322,399,181,659,215,72,35,9,18,156,16669,23810,
"Huon Valley (M)",107,25,13,53,48,93,47,163,87,180,119,105,31,20,9,4,4,8,3,0,0,0,4,30,6890,8031,
"Kentish (M)",31,13,5,22,16,37,26,63,22,33,18,10,3,6,0,0,0,0,0,0,0,0,0,22,2379,2730,
"King Island (M)",29,37,3,24,23,20,21,18,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,16,642,861,
"Kingborough (M)",100,32,70,111,74,114,120,127,112,206,218,424,233,290,168,144,43,116,34,5,0,0,4,85,13047,15884,
"Latrobe (M)",47,5,21,40,26,76,75,146,97,152,102,80,24,29,10,11,0,0,0,0,3,0,0,35,4133,5123,
"Launceston (C)",165,201,279,442,455,735,804,1168,716,1090,710,756,299,297,105,142,32,107,23,9,3,3,15,256,21192,30012,
"Meander Valley (M)",114,37,51,104,60,159,117,218,137,188,100,155,36,38,14,18,7,16,4,3,0,0,0,64,7044,8670,
"Northern Midlands (M)",130,39,45,67,74,122,78,121,81,162,98,64,23,14,3,5,3,10,3,0,0,0,0,58,4744,5947,
"Sorell (M)",67,12,13,27,19,68,62,112,60,155,125,164,62,86,29,22,0,7,6,0,0,0,0,25,5990,7120,
"Southern Midlands (M)",54,22,15,33,15,32,18,39,14,33,16,31,9,9,0,0,0,0,0,0,0,0,0,15,2341,2712,
"Tasman (M)",24,0,0,6,11,27,16,32,16,8,3,5,0,3,0,0,0,0,0,0,0,0,0,6,2083,2252,
"Waratah/Wynyard (M)",64,27,75,116,99,115,132,200,138,184,78,49,20,19,0,9,0,10,3,0,0,0,0,43,5216,6611,
"West Coast (M)",69,87,21,74,83,100,43,42,15,16,5,7,3,0,0,0,0,0,0,3,0,0,0,34,2357,2945,
"West Tamar (M)",71,24,40,74,51,109,120,186,132,209,142,201,72,78,43,27,14,20,4,0,0,0,4,62,8826,10499,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,
"Total",2212,1259,1819,3307,2347,4175,4098,6411,4074,6341,4014,4659,1896,2291,1067,1087,381,1195,363,127,61,21,105,1761,187443,242514,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
