Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Alpine (S)",95,17,28,66,51,112,108,149,91,113,59,60,24,29,21,17,0,16,7,9,3,5,77,54,6021,7239,
"Ararat (RC)",96,34,25,102,63,121,103,138,77,92,39,43,14,3,10,11,0,17,0,3,5,0,6,84,4333,5407,
"Ballarat (C)",239,125,142,718,492,766,663,1244,1249,2049,1156,1175,516,538,196,237,69,171,37,30,6,11,21,351,33029,45230,
"Banyule (C)",284,103,108,534,187,227,172,301,258,415,541,1206,1030,1441,818,868,382,1264,321,127,58,18,100,372,39094,50228,
"Bass Coast (S)",184,32,27,184,63,155,182,426,362,572,286,312,131,155,67,64,11,31,10,0,4,3,19,132,22386,25813,
"Baw Baw (S)",217,37,35,171,102,215,159,355,302,551,311,476,219,194,84,55,8,36,14,5,6,3,9,119,17215,20919,
"Bayside (C)",270,85,52,378,112,135,82,135,113,140,175,334,235,439,370,489,256,1323,790,494,436,301,777,265,32895,41092,
"Benalla (RC)",62,24,27,124,66,155,164,210,131,145,82,58,17,29,3,7,0,0,0,3,0,0,0,63,5442,6812,
"Boroondara (C)",602,77,69,273,113,193,220,426,301,458,469,971,887,1783,1386,1601,785,3052,1531,947,590,388,803,552,50946,69419,
"Brimbank (C)",528,119,88,401,224,461,388,848,664,1280,1651,3308,1788,1718,654,572,143,351,79,45,37,13,119,679,53122,69274,
"Buloke (S)",78,50,16,70,43,65,38,27,11,3,5,3,0,3,0,0,0,0,4,0,5,0,0,24,2766,3211,
"Campaspe (S)",228,69,69,309,194,325,262,437,261,340,183,177,87,105,46,33,12,38,8,5,0,4,12,138,13550,16875,
"Cardinia (S)",199,53,29,150,54,96,91,221,160,610,727,1369,980,990,433,315,89,206,57,24,10,4,25,239,27972,35102,
"Casey (C)",420,109,86,452,229,364,220,450,414,947,1263,3172,2393,3165,1751,1749,470,910,189,70,53,20,118,715,82326,102049,
"Central Goldfields (S)",63,41,21,119,66,133,151,199,148,134,43,22,7,6,0,0,0,6,0,0,0,0,6,44,5423,6639,
