Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Albany (C)",215,52,79,219,109,228,139,262,162,342,304,517,237,324,167,183,78,109,10,7,6,0,10,127,13035,16926,
"Armadale (C)",151,53,59,215,116,192,111,204,107,428,406,956,522,796,397,507,156,504,99,26,9,4,19,189,25644,31867,
"Ashburton (S)",187,1031,48,51,44,32,24,24,9,10,16,29,7,11,0,19,3,27,20,17,17,5,16,154,1779,3590,
"Augusta-Margaret River (S)",130,15,13,67,25,67,39,93,49,99,65,150,73,147,92,138,44,123,16,7,3,4,17,67,6247,7799,
"Bassendean (T)",50,26,29,113,38,66,48,57,23,61,43,173,98,212,111,193,47,183,30,9,3,3,7,52,5172,6843,
"Bayswater (C)",219,63,124,323,132,186,121,328,188,443,354,808,436,827,553,832,322,1245,286,56,20,9,14,235,21777,29903,
"Belmont (C)",126,73,105,407,143,180,117,170,108,189,211,543,288,694,382,695,274,971,169,42,8,16,12,182,12348,18457,
"Beverley (S)",24,4,0,9,11,4,4,12,3,14,0,3,0,0,0,0,0,0,0,0,0,0,0,3,819,921,
"Boddington (S)",10,6,21,11,0,6,3,9,0,22,5,20,4,21,4,17,0,9,0,0,0,0,0,9,705,896,
"Boyup Brook (S)",37,9,6,18,5,10,7,14,9,9,4,8,0,0,0,4,0,0,0,0,0,0,0,7,761,901,
"Bridgetown-Greenbushes (S)",34,13,4,21,14,25,20,30,22,39,31,42,17,26,8,4,0,0,0,0,0,0,0,12,2049,2413,
"Brookton (S)",21,0,5,11,5,8,11,11,0,7,6,4,0,0,0,0,0,0,0,0,0,0,0,6,412,514,
"Broome (S)",200,154,102,180,109,170,122,190,114,153,82,164,69,123,72,110,31,289,195,145,66,29,77,209,5686,8857,
"Broomehill-Tambellup (S)",30,5,8,15,3,11,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,405,500,
"Bruce Rock (S)",18,6,18,14,10,9,8,12,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,367,478,
"Bunbury (C)",104,59,52,240,94,225,127,212,145,496,402,699,386,447,217,161,51,122,32,3,4,0,8,134,11023,15440,
"Busselton (C)",174,22,44,200,85,166,105,138,59,134,83,309,188,400,248,498,198,406,52,17,8,7,21,122,15067,18753,
"Cambridge (T)",83,11,5,21,17,25,17,49,56,99,79,149,83,93,47,101,32,311,233,173,139,67,147,53,8680,10771,
"Canning (C)",272,111,96,438,202,298,139,240,90,221,192,658,461,1094,750,1197,417,1461,376,120,39,20,46,286,26458,35683,
"Capel (S)",51,8,12,53,28,79,29,51,19,44,38,96,74,182,171,150,48,91,18,0,0,0,0,38,5372,6656,
"Carnamah (S)",22,0,10,8,5,5,6,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,308,380,
"Carnarvon (S)",80,51,28,61,54,81,56,64,33,62,60,62,31,26,11,16,3,31,11,12,0,9,20,69,2787,3727,
"Chapman Valley (S)",20,0,0,0,0,0,9,4,0,7,7,0,0,0,0,4,0,0,0,0,0,0,0,5,605,653,
"Chittering (S)",48,4,0,4,11,4,6,5,0,14,0,20,9,13,11,9,5,19,11,0,0,0,0,11,2010,2211,
"Claremont (T)",56,3,0,12,9,13,13,26,11,32,23,63,30,51,53,68,31,177,122,71,59,35,94,40,3660,4772,
"Cockburn (C)",252,91,95,413,155,273,161,232,123,290,206,603,367,964,682,1225,490,1805,336,88,53,22,34,278,33623,42856,
"Collie (S)",37,9,6,58,21,58,50,114,50,121,47,54,26,37,7,11,0,5,0,0,0,0,4,33,3313,4060,
"Coolgardie (S)",20,3,10,35,36,72,43,83,23,60,31,22,8,12,0,0,0,3,0,0,0,0,0,16,1276,1765,
"Coorow (S)",31,9,5,11,3,4,11,12,5,11,5,12,0,5,0,0,0,3,0,0,0,0,0,8,785,922,
"Corrigin (S)",27,6,5,21,3,21,11,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,435,568,
"Cottesloe (T)",33,0,4,21,6,9,4,16,8,16,12,29,8,25,19,35,22,149,92,68,64,45,140,13,2792,3634,
