Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"LGA",
"Albury (C)",5956,6324,15,6573,107,125,85,1701,2586,23462,
"Armidale Regional (A)",3587,2684,12,3600,189,36,60,924,1660,12738,
"Ballina (A)",6834,4305,11,4511,131,147,101,1511,1596,19151,
"Balranald (A)",355,196,6,217,41,0,3,133,275,1222,
"Bathurst Regional (A)",4728,4876,3,4337,120,32,57,1176,2092,17426,
"Bega Valley (A)",6212,3673,10,2918,188,68,100,1244,3169,17570,
"Bellingen (A)",2352,1316,4,1189,71,16,26,410,704,6086,
"Berrigan (A)",1492,868,5,740,76,10,30,432,678,4326,
"Blacktown (C)",22787,42426,91,32237,504,294,290,7083,5198,110903,
"Bland (A)",1029,565,0,408,103,8,18,328,479,2936,
"Blayney (A)",1000,929,0,557,64,8,11,268,359,3198,
"Blue Mountains (C)",11354,11357,22,5168,188,148,125,1644,4317,34306,
"Bogan (A)",402,221,0,286,32,0,9,157,205,1317,
"Botany Bay (C)",3998,4688,21,7111,135,52,60,1402,1256,18719,
"Bourke (A)",305,188,0,320,44,0,19,257,235,1369,
"Brewarrina (A)",142,44,0,300,44,0,9,73,113,734,
"Broken Hill (C)",3110,2139,11,1658,105,8,38,669,1919,9654,
"Burwood (A)",3636,2831,30,4904,148,57,63,944,926,13540,
"Byron (A)",4360,3282,6,3459,182,37,90,2071,2162,15643,
"Cabonne (A)",2001,1655,6,759,132,31,23,392,711,5707,
"Camden (A)",5863,12544,13,4945,103,124,118,1323,1175,26197,
"Campbelltown (C) (NSW)",12149,19576,59,16323,238,272,237,3636,2848,55324,
"Canada Bay (A)",9957,9462,24,11790,280,64,109,2430,2691,36799,
"Canterbury-Bankstown (A)",32638,31908,121,38521,985,295,446,8665,7849,121434,
"Carrathool (A)",399,187,0,259,101,0,21,143,220,1334,
"Central Coast (C) (NSW)",42460,41218,121,31924,779,1139,641,8903,17402,144591,
"Central Darling (A)",255,52,0,228,43,0,19,145,308,1058,
"Cessnock (C)",6434,6859,11,5299,167,58,81,1728,2110,22736,
"Clarence Valley (A)",9137,5306,11,4968,262,44,108,1947,3156,24929,
"Cobar (A)",578,416,0,609,55,3,20,268,520,2466,
"Coffs Harbour (C)",10309,7794,14,8319,206,160,175,2481,3038,32494,
"Coolamon (A)",678,466,0,236,46,14,6,190,183,1815,
"Coonamble (A)",577,304,0,372,73,8,14,318,374,2043,
"Cowra (A)",2072,1321,0,1206,85,11,28,525,735,5992,
"Cumberland (A)",16588,19244,94,25569,551,173,278,5318,4339,72147,
