Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"LGA",
"Aurukun (S)",6,0,0,243,21,0,0,15,100,378,
"Balonne (S)",559,389,4,437,140,5,30,216,467,2240,
"Banana (S)",1877,1402,0,1497,282,10,56,600,1253,6987,
"Barcaldine (R)",662,229,0,263,94,6,29,138,240,1645,
"Barcoo (S)",59,24,0,41,14,0,6,29,75,249,
"Blackall-Tambo (R)",375,160,0,193,50,0,6,70,158,1014,
"Boulia (S)",64,15,0,49,27,0,11,50,36,254,
"Brisbane (C)",108007,134786,440,148365,2607,1864,1487,29091,37674,464327,
"Bulloo (S)",47,24,7,34,17,0,9,23,24,186,
"Bundaberg (R)",14192,10186,31,10217,363,269,203,3282,5279,44020,
"Burdekin (S)",2835,1797,9,1712,179,21,42,658,1132,8384,
"Burke (S)",112,3,0,44,14,0,4,54,27,252,
"Cairns (R)",14016,18784,51,21804,407,220,236,6749,6779,69047,
"Carpentaria (S)",555,84,0,311,65,4,21,154,146,1347,
"Cassowary Coast (R)",4713,2760,13,3405,213,34,69,1425,1853,14477,
"Central Highlands (R)",2435,2599,4,3821,495,22,175,1501,2890,13940,
"Charters Towers (R)",1826,1203,4,1124,184,9,61,630,779,5812,
"Cherbourg (S)",0,0,0,278,5,0,0,8,23,309,
"Cloncurry (S)",390,162,0,427,92,0,26,295,319,1711,
"Cook (S)",651,293,6,566,108,8,54,646,314,2642,
"Croydon (S)",49,11,0,30,7,0,3,39,53,194,
"Diamantina (S)",48,12,0,49,16,0,4,42,42,216,
"Doomadgee (S)",5,0,0,239,8,0,3,37,37,322,
"Douglas (S)",1741,1259,4,1639,88,6,36,762,1036,6573,
"Etheridge (S)",254,50,0,72,24,0,9,190,106,714,
"Flinders (S)",294,128,0,155,37,0,7,96,195,915,
"Fraser Coast (R)",16979,10335,50,11092,338,335,215,3890,5162,48389,
"Gladstone (R)",5754,8199,21,7494,264,27,95,2046,5171,29078,
"Gold Coast (C)",53725,66987,223,72300,1367,806,766,19477,23904,239549,
"Goondiwindi (R)",1390,1000,4,1157,221,15,45,521,649,5001,
"Gympie (R)",7622,5768,21,4895,246,46,108,1945,2709,23362,
"Hinchinbrook (S)",2307,969,6,963,110,7,35,450,888,5730,
"Hope Vale (S)",15,8,0,209,9,0,3,25,36,294,
"Ipswich (C)",13728,22944,71,25100,308,98,166,5304,5087,72808,
"Isaac (R)",1405,929,0,3875,340,10,76,974,3325,10937,
"Kowanyama (S)",0,0,0,230,10,0,3,14,35,295,
"Livingstone (S)",4761,4580,10,3156,171,85,87,1319,2417,16581,
"Lockhart River (S)",18,0,0,140,17,0,9,28,41,252,
"Lockyer Valley (R)",4166,4935,13,3091,136,22,73,1511,975,14933,
"Logan (C)",22515,39158,163,32107,507,327,317,7843,6991,109927,
"Longreach (R)",689,370,5,512,93,5,33,218,439,2360,
"Mackay (R)",11869,14857,32,12547,503,249,197,3865,6487,50612,
"McKinlay (S)",175,52,0,74,38,0,4,37,149,521,
"Mapoon (S)",9,0,0,79,0,0,0,6,20,117,
"Maranoa (R)",1641,1284,5,1387,228,9,55,547,1425,6573,
"Mareeba (S)",3097,2098,8,1913,234,13,58,1197,1047,9661,
"Moreton Bay (R)",40976,55700,216,46377,697,999,552,9703,11766,166978,
"Mornington (S)",9,6,0,237,18,0,3,11,52,332,
"Mount Isa (C)",1134,2037,3,2713,207,9,34,1162,1297,8602,
"Murweh (S)",690,448,0,464,73,3,24,196,419,2316,
"Napranum (S)",6,4,0,232,4,0,4,4,24,274,
"Noosa (S)",8352,6385,32,5139,197,214,144,1641,4819,26926,
"North Burnett (R)",1858,947,9,1009,157,15,28,697,942,5668,
"Northern Peninsula Area (R)",64,14,0,641,23,0,16,149,81,991,
"Palm Island (S)",18,0,0,444,16,0,8,15,37,535,
"Paroo (S)",362,123,3,184,37,0,5,85,131,928,
"Pormpuraaw (S)",12,8,0,203,13,0,3,15,43,294,
"Quilpie (S)",130,84,0,90,18,0,7,42,50,436,
"Redland (C)",16853,20867,75,12723,260,610,250,2804,5379,59815,
"Richmond (S)",140,76,0,82,38,3,9,40,98,485,
"Rockhampton (R)",8447,9595,19,9452,333,105,119,2646,4220,34941,
"Scenic Rim (R)",5193,5062,12,3222,247,42,78,1408,1571,16827,
"Somerset (R)",3145,2978,8,2108,145,24,49,904,1095,10455,
"South Burnett (R)",5013,3436,11,3341,236,25,82,1144,1985,15265,
"Southern Downs (R)",5365,3824,13,3618,231,59,74,1116,2138,16427,
"Sunshine Coast (R)",37462,35963,162,31893,801,1417,630,8096,13961,130380,
"Tablelands (R)",4342,2454,7,2471,188,19,79,1063,1644,12269,
"Toowoomba (R)",19013,18888,61,17989,591,369,271,4764,6530,68488,
"Torres (S)",102,41,0,610,84,0,6,237,104,1191,
"Torres Strait Island (R)",32,0,0,912,29,0,18,100,158,1252,
"Townsville (C)",15740,23190,42,25366,423,353,256,5909,8872,80152,
"Weipa (T)",126,337,0,660,67,3,3,204,245,1649,
