Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"LGA",
"Adelaide (C)",1821,1509,21,5191,114,63,36,1247,1668,11669,
"Adelaide Hills (DC)",5502,6359,5,1462,119,89,87,668,1187,15483,
"Alexandrina (DC)",4244,3525,6,2046,117,149,71,695,4540,15399,
"Anangu Pitjantjatjara (AC)",17,0,0,369,128,0,9,83,220,831,
"Barossa (DC)",3279,3610,0,1675,97,159,47,518,888,10270,
"Barunga West (DC)",585,207,0,181,28,31,13,85,729,1867,
"Berri and Barmera (DC)",1454,1280,4,1268,62,27,22,437,556,5117,
"Burnside (C)",7198,5265,11,3675,144,247,89,761,1948,19340,
"Campbelltown (C)",7419,6117,14,4899,158,273,121,857,1765,21621,
"Ceduna (DC)",480,361,0,559,36,3,42,289,319,2078,
"Charles Sturt (C)",14896,13478,54,14268,290,376,249,2688,4904,51207,
"Clare and Gilbert Valleys (DC)",1457,1173,3,773,66,14,24,293,631,4433,
"Cleve (DC)",367,215,0,139,29,7,10,98,210,1068,
"Coober Pedy (DC)",320,128,0,238,30,5,14,195,472,1395,
"Copper Coast (DC)",2426,1604,4,1540,71,52,39,473,2473,8687,
"Elliston (DC)",257,98,0,67,25,0,9,30,322,817,
"Flinders Ranges (DC)",304,208,4,170,19,0,3,70,202,983,
"Franklin Harbour (DC)",243,133,0,126,12,5,6,93,252,862,
"Gawler (T)",2627,3389,11,2644,40,155,38,594,803,10297,
"Goyder (DC)",782,478,0,307,55,3,13,160,417,2218,
"Grant (DC)",1122,1144,0,334,72,3,19,172,812,3684,
"Holdfast Bay (C)",5406,4254,7,4541,118,320,77,1045,2316,18078,
"Kangaroo Island (DC)",765,560,0,433,66,10,15,214,1131,3184,
"Karoonda East Murray (DC)",204,111,0,72,22,0,12,32,149,597,
"Kimba (DC)",198,91,0,69,25,3,7,35,166,589,
"Kingston (DC)",444,243,0,207,49,7,8,71,602,1622,
"Light (RegC)",1638,2557,4,691,50,8,24,268,410,5654,
"Lower Eyre Peninsula (DC)",824,761,0,311,58,5,11,148,674,2793,
"Loxton Waikerie (DC)",1842,1358,5,1066,87,52,34,353,819,5617,
"Mallala (DC)",914,1659,10,340,48,3,17,252,372,3611,
"Maralinga Tjarutja (AC)",0,0,0,0,15,0,0,0,4,16,
"Marion (C)",10616,12756,39,10653,203,298,123,1931,3161,39791,
